month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,1.0,389490.0,8301360.0,4.69,증가,2
01,helect,전기 사용량,1.0,7546.0,43330.0,17.42,증가,2
01,waterCool,수도 사용량,-1.0,-958310.0,2879260.0,-33.28,감소,2
01,hwaterCool,수도 사용량,-1.0,-1524.0,1636.0,-93.15,감소,2
02,elect,전기 사용량,-1.0,-323850.0,7945410.0,-4.08,감소,2
02,helect,전기 사용량,1.0,3172.0,42351.0,7.49,증가,2
02,waterCool,수도 사용량,-1.0,-1078070.0,2943560.0,-36.62,감소,2
02,hwaterCool,수도 사용량,-1.0,-55.0,1636.0,-3.36,감소,2
07,elect,전기 사용량,1.0,6760990.0,7038170.0,96.06,증가,2
07,helect,전기 사용량,1.0,45851.0,30665.0,149.52,증가,2
07,waterCool,수도 사용량,1.0,3514570.0,295755.0,1188.34,증가,2
07,hwaterCool,수도 사용량,1.0,2132.0,173.0,1232.37,증가,2
08,elect,전기 사용량,1.0,6005400.0,9266700.0,64.81,증가,2
08,helect,전기 사용량,1.0,43121.0,44200.0,97.56,증가,2
08,waterCool,수도 사용량,1.0,2907100.0,931655.0,312.04,증가,2
08,hwaterCool,수도 사용량,1.0,1867.0,451.0,413.97,증가,2
09,elect,전기 사용량,1.0,4150440.0,7037930.0,58.97,증가,2
09,helect,전기 사용량,1.0,25043.0,37197.0,67.33,증가,2
09,waterCool,수도 사용량,1.0,2333885.0,1705990.0,136.81,증가,2
09,hwaterCool,수도 사용량,1.0,1713.0,773.0,221.6,증가,2
10,elect,전기 사용량,1.0,2101840.0,5579110.0,37.67,증가,2
10,helect,전기 사용량,1.0,18727.0,28383.0,65.98,증가,2
10,waterCool,수도 사용량,1.0,2374775.0,1862110.0,127.53,증가,2
10,hwaterCool,수도 사용량,1.0,1676.0,937.0,178.87,증가,2
11,elect,전기 사용량,1.0,829710.0,6554160.0,12.66,증가,2
11,helect,전기 사용량,1.0,11102.0,32440.0,34.22,증가,2
11,waterCool,수도 사용량,1.0,137285.0,2314270.0,5.93,증가,2
11,hwaterCool,수도 사용량,1.0,599.0,1182.0,50.68,증가,2
12,elect,전기 사용량,1.0,460880.0,7919520.0,5.82,증가,2
12,helect,전기 사용량,1.0,8138.0,41131.0,19.79,증가,2
12,waterCool,수도 사용량,-1.0,-341875.0,2827650.0,-12.09,감소,2
12,hwaterCool,수도 사용량,1.0,269.0,1541.0,17.46,증가,2
