month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-1.0,-3133350.0,27192820.0,-11.52,감소,2
01,helect,전기 사용량,1.0,1828.0,96033.0,1.9,증가,2
01,waterCool,수도 사용량,1.0,142500.0,5511590.0,2.59,증가,2
01,hwaterCool,수도 사용량,1.0,188.0,4845.0,3.88,증가,2
02,elect,전기 사용량,-1.0,-1042530.0,25461100.0,-4.09,감소,2
02,helect,전기 사용량,1.0,3173.0,93939.0,3.38,증가,2
02,waterCool,수도 사용량,-1.0,-38480.0,5660280.0,-0.68,감소,2
02,hwaterCool,수도 사용량,1.0,67.0,4881.0,1.37,증가,2
03,elect,전기 사용량,1.0,8218100.0,12592690.0,65.26,증가,2
03,helect,전기 사용량,1.0,58445.0,26630.0,219.47,증가,2
03,waterCool,수도 사용량,1.0,5187960.0,397970.0,1303.61,증가,2
03,hwaterCool,수도 사용량,1.0,4619.0,21.0,21995.24,증가,2
04,elect,전기 사용량,1.0,11385390.0,9726160.0,117.06,증가,2
04,helect,전기 사용량,1.0,78192.0,9530.0,820.48,증가,2
04,waterCool,수도 사용량,1.0,5370480.0,280250.0,1916.32,증가,2
04,hwaterCool,수도 사용량,1.0,4921.0,154.0,3195.45,증가,2
05,elect,전기 사용량,1.0,6031990.0,13042010.0,46.25,증가,2
05,helect,전기 사용량,1.0,46821.0,35113.0,133.34,증가,2
05,waterCool,수도 사용량,1.0,2512990.0,3105390.0,80.92,증가,2
05,hwaterCool,수도 사용량,1.0,2811.0,2092.0,134.37,증가,2
06,elect,전기 사용량,1.0,3110170.0,20241780.0,15.37,증가,2
06,helect,전기 사용량,-1.0,-5545.0,98658.0,-5.62,감소,2
06,waterCool,수도 사용량,1.0,2370860.0,3504740.0,67.65,증가,2
06,hwaterCool,수도 사용량,1.0,1545.0,3648.0,42.35,증가,2
07,elect,전기 사용량,-1.0,-3617926.0,29683746.0,-12.19,감소,2
07,helect,전기 사용량,-1.0,-22759.0,142506.0,-15.97,감소,2
07,waterCool,수도 사용량,1.0,726580.0,5084250.0,14.29,증가,2
07,hwaterCool,수도 사용량,1.0,733.0,4389.0,16.7,증가,2
08,elect,전기 사용량,-1.0,-1131574.0,41637754.0,-2.72,감소,2
08,helect,전기 사용량,-1.0,-22210.0,187578.0,-11.84,감소,2
08,waterCool,수도 사용량,1.0,619660.0,5320810.0,11.65,증가,2
08,hwaterCool,수도 사용량,1.0,581.0,4655.0,12.48,증가,2
09,elect,전기 사용량,1.0,5060580.0,30309030.0,16.7,증가,2
09,helect,전기 사용량,1.0,31440.0,110118.0,28.55,증가,2
09,waterCool,수도 사용량,1.0,405910.0,5534560.0,7.33,증가,2
09,hwaterCool,수도 사용량,1.0,288.0,4898.0,5.88,증가,2
10,elect,전기 사용량,-1.0,-2947890.0,21205320.0,-13.9,감소,2
10,helect,전기 사용량,1.0,4427.0,82959.0,5.34,증가,2
10,waterCool,수도 사용량,1.0,457310.0,5339910.0,8.56,증가,2
10,hwaterCool,수도 사용량,1.0,317.0,4793.0,6.61,증가,2
11,elect,전기 사용량,-1.0,-4850140.0,23215680.0,-20.89,감소,2
11,helect,전기 사용량,1.0,233.0,87186.0,0.27,증가,2
11,waterCool,수도 사용량,-1.0,-105580.0,5935240.0,-1.78,감소,2
11,hwaterCool,수도 사용량,-1.0,-38.0,5165.0,-0.74,감소,2
12,elect,전기 사용량,-1.0,-5430150.0,24980750.0,-21.74,감소,2
12,helect,전기 사용량,1.0,1477.0,90620.0,1.63,증가,2
12,waterCool,수도 사용량,1.0,480480.0,5087860.0,9.44,증가,2
12,hwaterCool,수도 사용량,1.0,307.0,4617.0,6.65,증가,2
