month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,1.0,16911250.0,21728120.0,77.83,증가,2
01,waterCool,수도 사용량,1.0,3923720.0,3892290.0,100.81,증가,2
01,hwaterCool,수도 사용량,1.0,3587.0,3377.0,106.22,증가,2
02,elect,전기 사용량,1.0,9711820.0,11572140.0,83.92,증가,2
02,waterCool,수도 사용량,1.0,2549590.0,1303360.0,195.62,증가,2
03,elect,전기 사용량,1.0,3734880.0,13341890.0,27.99,증가,2
03,waterCool,수도 사용량,1.0,1123280.0,2506600.0,44.81,증가,2
04,elect,전기 사용량,-1.0,-1393640.0,15940920.0,-8.74,감소,2
04,waterCool,수도 사용량,1.0,204950.0,3539330.0,5.79,증가,2
04,hwaterCool,수도 사용량,1.0,339.0,3048.0,11.12,증가,2
05,elect,전기 사용량,1.0,12998130.0,16640310.0,78.11,증가,2
05,waterCool,수도 사용량,1.0,4213460.0,3806920.0,110.68,증가,2
05,hwaterCool,수도 사용량,1.0,3715.0,3282.0,113.19,증가,2
06,elect,전기 사용량,1.0,14124701.0,19145740.0,73.77,증가,2
06,waterCool,수도 사용량,1.0,4163000.0,3965160.0,104.99,증가,2
06,hwaterCool,수도 사용량,-1.0,-53.0,3620.0,-1.46,감소,2
07,elect,전기 사용량,-1.0,-3436116.0,23625920.0,-14.54,감소,2
07,waterCool,수도 사용량,1.0,44290.0,4031710.0,1.1,증가,2
07,hwaterCool,수도 사용량,1.0,165.0,3402.0,4.85,증가,2
08,elect,전기 사용량,-1.0,-539531.0,29697310.0,-1.82,감소,2
08,waterCool,수도 사용량,1.0,34590.0,4141490.0,0.84,증가,2
08,hwaterCool,수도 사용량,1.0,109.0,3567.0,3.06,증가,2
09,elect,전기 사용량,1.0,3191094.0,24337250.0,13.11,증가,2
09,waterCool,수도 사용량,1.0,62430.0,4002120.0,1.56,증가,2
09,hwaterCool,수도 사용량,1.0,113.0,3509.0,3.22,증가,2
10,elect,전기 사용량,1.0,1988312.0,17158050.0,11.59,증가,2
10,waterCool,수도 사용량,1.0,145980.0,3779150.0,3.86,증가,2
10,hwaterCool,수도 사용량,1.0,97.0,3350.0,2.9,증가,2
11,elect,전기 사용량,-1.0,-1357568.0,17313490.0,-7.84,감소,2
11,waterCool,수도 사용량,-1.0,-28140.0,4036900.0,-0.7,감소,2
11,hwaterCool,수도 사용량,-1.0,-39.0,3557.0,-1.1,감소,2
12,elect,전기 사용량,1.0,13528560.0,19474330.0,69.47,증가,2
12,waterCool,수도 사용량,1.0,3821150.0,3807040.0,100.37,증가,2
12,hwaterCool,수도 사용량,1.0,77366.0,3318.0,2331.71,증가,2
