month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.9072,326837.0,2842280.0,11.5,증가,5
01,hheat,난방 사용량,-0.9282,-2242.0,30600.0,-7.33,감소,5
01,waterHot,급탕 사용량,0.9614,112250.0,1771800.0,6.34,증가,5
01,hwaterHot,급탕 사용량,-0.9477,-45.6,616.8,-7.39,감소,5
01,elect,전기 사용량,0.0698,41092.0,7854856.0,0.52,증가,5
01,helect,전기 사용량,-0.4478,-226.6,24019.8,-0.94,감소,5
01,waterCool,수도 사용량,0.159,4477.0,1187976.0,0.38,증가,5
01,hwaterCool,수도 사용량,-0.8954,-61.8,1225.8,-5.04,감소,5
02,heat,난방 사용량,0.5279,184499.4286,2528781.43,7.3,증가,6
02,hheat,난방 사용량,-0.147,-336.5714,19021.43,-1.77,감소,6
02,waterHot,급탕 사용량,0.8588,332925.7143,816619.05,40.77,증가,6
02,hwaterHot,급탕 사용량,0.4081,40.4,328.67,12.29,증가,6
02,elect,전기 사용량,0.4582,210183.4286,6263614.76,3.36,증가,6
02,helect,전기 사용량,0.6574,1682.4286,15544.76,10.82,증가,6
02,waterCool,수도 사용량,0.7235,153128.5714,648528.57,23.61,증가,6
02,hwaterCool,수도 사용량,0.5149,94.9143,674.05,14.08,증가,6
03,heat,난방 사용량,0.0184,4420.0,1688722.0,0.26,증가,5
03,hheat,난방 사용량,-0.5754,-762.0,9566.0,-7.97,감소,5
03,waterHot,급탕 사용량,0.7579,208680.0,1441240.0,14.48,증가,5
03,hwaterHot,급탕 사용량,0.4307,49.2,433.2,11.36,증가,5
03,elect,전기 사용량,0.7374,429448.0,5466834.0,7.86,증가,5
03,helect,전기 사용량,0.6414,1500.6,19864.0,7.55,증가,5
03,waterCool,수도 사용량,0.758,155551.0,799394.0,19.46,증가,5
03,hwaterCool,수도 사용량,0.5034,110.3,934.0,11.81,증가,5
04,heat,난방 사용량,-0.5073,-113301.0,1028784.0,-11.01,감소,5
04,hheat,난방 사용량,-0.8683,-959.0,3590.0,-26.71,감소,5
04,waterHot,급탕 사용량,0.6722,109070.0,1555440.0,7.01,증가,5
04,hwaterHot,급탕 사용량,0.0017,0.1,505.8,0.02,증가,5
