month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.9152,1352220.0,14297316.67,9.46,증가,3
01,waterCool,수도 사용량,0.8319,547990.0,1614803.33,33.94,증가,3
01,hwaterCool,수도 사용량,0.9122,171.0,1296.67,13.19,증가,3
02,elect,전기 사용량,0.7333,898755.0,14953511.67,6.01,증가,3
02,waterCool,수도 사용량,0.8072,36220.0,1413566.67,2.56,증가,3
02,hwaterCool,수도 사용량,0.7712,53.5,1200.5,4.46,증가,3
03,elect,전기 사용량,0.8666,3350165.0,7436458.33,45.05,증가,3
03,waterCool,수도 사용량,0.7673,697480.0,724373.33,96.29,증가,3
03,hwaterCool,수도 사용량,0.8352,548.5,498.5,110.03,증가,3
04,elect,전기 사용량,0.8479,1588510.0,9550890.0,16.63,증가,3
04,waterCool,수도 사용량,0.9054,266625.0,1050601.67,25.38,증가,3
04,hwaterCool,수도 사용량,0.8612,272.5,878.83,31.01,증가,3
05,elect,전기 사용량,0.8134,925820.0,10214896.67,9.06,증가,3
05,waterCool,수도 사용량,0.7035,424370.0,1329746.67,31.91,증가,3
05,hwaterCool,수도 사용량,0.7895,231.0,1029.67,22.43,증가,3
06,elect,전기 사용량,0.7354,2340415.0,9556901.67,24.49,증가,3
06,waterCool,수도 사용량,0.9687,79000.0,1424800.0,5.54,증가,3
06,hwaterCool,수도 사용량,1.0,150.0,1194.0,12.56,증가,2
07,elect,전기 사용량,0.9117,3684895.0,12787631.67,28.82,증가,3
07,waterCool,수도 사용량,0.9974,599095.0,1560498.33,38.39,증가,3
07,hwaterCool,수도 사용량,0.9446,218.5,1345.17,16.24,증가,3
08,elect,전기 사용량,0.9664,4459240.0,14644153.33,30.45,증가,3
08,waterCool,수도 사용량,0.9748,169625.0,1416615.0,11.97,증가,3
08,hwaterCool,수도 사용량,0.9399,62.0,1374.0,4.51,증가,3
09,elect,전기 사용량,0.9999,5229535.0,12452595.0,42.0,증가,3
09,waterCool,수도 사용량,0.9706,796510.0,1312306.67,60.7,증가,3
09,hwaterCool,수도 사용량,0.9368,269.0,1276.0,21.08,증가,3
10,elect,전기 사용량,0.9956,3212970.0,10068026.67,31.91,증가,3
10,waterCool,수도 사용량,0.9784,74100.0,1569476.67,4.72,증가,3
10,hwaterCool,수도 사용량,0.6666,79.0,1334.0,5.92,증가,3
11,elect,전기 사용량,0.9972,2190190.0,10108380.0,21.67,증가,3
11,waterCool,수도 사용량,0.9152,789425.0,1342448.33,58.8,증가,3
11,hwaterCool,수도 사용량,0.8682,194.5,1272.83,15.28,증가,3
12,elect,전기 사용량,0.997,1908630.0,11455896.67,16.66,증가,3
12,waterCool,수도 사용량,0.9623,119400.0,1428993.33,8.36,증가,3
12,hwaterCool,수도 사용량,0.9423,52.0,1351.33,3.85,증가,3
