month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.8035,16348590.2,45053785.7,36.29,증가,4
01,helect,전기 사용량,0.9755,7354.0,265855.0,2.77,증가,3
01,waterCool,수도 사용량,0.8146,3697328.0,3926883.0,94.15,증가,4
01,hwaterCool,수도 사용량,0.9902,345.5,11099.17,3.11,증가,3
02,elect,전기 사용량,0.9217,10100179.7,48611677.7,20.78,증가,4
02,helect,전기 사용량,0.9751,13278.5,227758.17,5.83,증가,3
02,waterCool,수도 사용량,0.1171,48005.0,12347208.33,0.39,증가,3
02,hwaterCool,수도 사용량,0.9765,260.5,11006.83,2.37,증가,3
03,elect,전기 사용량,0.9448,14853959.0,43859620.0,33.87,증가,3
03,helect,전기 사용량,1.0,12532.0,240215.0,5.22,증가,2
03,waterCool,수도 사용량,0.8711,1069330.0,9262763.33,11.54,증가,3
03,hwaterCool,수도 사용량,1.0,323.0,10164.0,3.18,증가,2
04,elect,전기 사용량,0.9221,11420313.0,42803182.33,26.68,증가,3
04,helect,전기 사용량,1.0,5744.0,228899.0,2.51,증가,2
04,waterCool,수도 사용량,-1.0,-236070.0,12432150.0,-1.9,감소,2
04,hwaterCool,수도 사용량,1.0,194.0,11285.0,1.72,증가,2
05,elect,전기 사용량,0.8773,12160826.0,44283588.67,27.46,증가,3
05,helect,전기 사용량,1.0,2486.0,239548.0,1.04,증가,2
05,waterCool,수도 사용량,-0.9236,-2342455.0,15846771.67,-14.78,감소,3
05,hwaterCool,수도 사용량,-0.8843,-2171.5,14717.17,-14.75,감소,3
06,elect,전기 사용량,0.8959,16395766.5,56045306.83,29.25,증가,3
06,helect,전기 사용량,1.0,19340.0,267953.0,7.22,증가,2
06,waterCool,수도 사용량,1.0,68680.0,12530070.0,0.55,증가,2
06,hwaterCool,수도 사용량,1.0,223.0,11544.0,1.93,증가,2
07,elect,전기 사용량,0.8791,16163194.0,88111199.67,18.34,증가,3
07,helect,전기 사용량,1.0,12451.0,378410.0,3.29,증가,2
07,waterCool,수도 사용량,-0.8791,-3537870.0,18476890.0,-19.15,감소,3
07,hwaterCool,수도 사용량,1.0,159.0,11483.0,1.38,증가,2
08,elect,전기 사용량,0.9979,26179355.5,101807245.17,25.71,증가,3
08,helect,전기 사용량,1.0,79336.0,411763.0,19.27,증가,2
08,waterCool,수도 사용량,1.0,133520.0,12425270.0,1.07,증가,2
08,hwaterCool,수도 사용량,1.0,67.0,11641.0,0.58,증가,2
09,elect,전기 사용량,0.9605,13917496.5,71002470.83,19.6,증가,3
09,helect,전기 사용량,1.0,65646.0,281093.0,23.35,증가,2
09,waterCool,수도 사용량,-0.8454,-4787230.0,20586383.33,-23.25,감소,3
09,hwaterCool,수도 사용량,-0.8451,-4551.5,19334.5,-23.54,감소,3
10,elect,전기 사용량,0.8821,3252492.5,59271523.5,5.49,증가,3
10,helect,전기 사용량,1.0,7210.0,240892.0,2.99,증가,2
10,waterCool,수도 사용량,0.4076,503500.0,10506223.33,4.79,증가,3
10,hwaterCool,수도 사용량,0.5088,533.0,9744.33,5.47,증가,3
11,elect,전기 사용량,0.8058,3804250.5,62872591.5,6.05,증가,3
11,helect,전기 사용량,1.0,3067.0,244182.0,1.26,증가,2
11,waterCool,수도 사용량,0.8941,588000.0,11293816.67,5.21,증가,3
11,hwaterCool,수도 사용량,0.9903,1291.0,9491.67,13.6,증가,3
12,elect,전기 사용량,0.7444,1853036.5,78209845.17,2.37,증가,3
12,helect,전기 사용량,-1.0,-10088.0,273359.0,-3.69,감소,2
12,waterCool,수도 사용량,0.2653,270585.0,11200768.33,2.42,증가,3
12,hwaterCool,수도 사용량,-0.1596,-146.0,11075.67,-1.32,감소,3
