month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.1476,2643765.0,29049330.0,9.1,증가,4
01,hheat,난방 사용량,-0.6547,-12.0,366.0,-3.28,감소,3
01,waterHot,급탕 사용량,0.3486,6440386.0,23229616.0,27.72,증가,4
01,hwaterHot,급탕 사용량,0.8878,104.2,3699.2,2.82,증가,4
01,elect,전기 사용량,0.8104,3215583.0,33843219.0,9.5,증가,4
01,helect,전기 사용량,0.9901,3815.1,148546.1,2.57,증가,4
01,waterCool,수도 사용량,0.7884,591914.0,9206689.0,6.43,증가,4
01,hwaterCool,수도 사용량,0.9208,241.7,8998.7,2.69,증가,4
02,heat,난방 사용량,0.2488,3627957.0,20825547.0,17.42,증가,4
02,hheat,난방 사용량,0.866,42.0,201.0,20.9,증가,3
02,waterHot,급탕 사용량,0.3917,5072021.0,19603361.0,25.87,증가,4
02,hwaterHot,급탕 사용량,0.6187,90.9,3386.9,2.68,증가,4
02,elect,전기 사용량,0.3963,418063.5,31575034.0,1.32,증가,4
02,helect,전기 사용량,-0.2537,-1011.2,142893.3,-0.71,감소,4
02,waterCool,수도 사용량,0.7139,291740.0,8870940.0,3.29,증가,4
02,hwaterCool,수도 사용량,0.798,199.2,8220.2,2.42,증가,4
03,heat,난방 사용량,-0.7807,-6126980.0,16877536.67,-36.3,감소,3
03,hheat,난방 사용량,-0.3507,-16.0,150.33,-10.64,감소,3
03,waterHot,급탕 사용량,0.8798,13551440.0,13034073.33,103.97,증가,3
03,hwaterHot,급탕 사용량,-0.6647,-131.0,3856.0,-3.4,감소,3
03,elect,전기 사용량,0.8665,3683600.5,27430346.5,13.43,증가,3
03,helect,전기 사용량,0.947,6056.0,137410.33,4.41,증가,3
03,waterCool,수도 사용량,0.8935,362565.0,9935335.0,3.65,증가,3
03,hwaterCool,수도 사용량,0.9999,230.0,9200.67,2.5,증가,3
04,heat,난방 사용량,-0.7836,-263070.0,4918060.0,-5.35,감소,3
04,hheat,난방 사용량,-1.0,-11.0,22.0,-50.0,감소,2
04,waterHot,급탕 사용량,0.9485,2828325.0,11363825.0,24.89,증가,3
04,hwaterHot,급탕 사용량,-0.5857,-126.0,3446.33,-3.66,감소,3
04,elect,전기 사용량,0.5087,938333.5,28988632.17,3.24,증가,3
04,helect,전기 사용량,-0.8767,-4192.5,145794.17,-2.88,감소,3
04,waterCool,수도 사용량,0.9239,1000500.0,8737320.0,11.45,증가,3
04,hwaterCool,수도 사용량,0.9868,218.0,8865.67,2.46,증가,3
05,heat,난방 사용량,0.9208,411410.0,2882463.33,14.27,증가,3
05,hheat,난방 사용량,-1.0,-1.0,4.0,-25.0,감소,2
05,waterHot,급탕 사용량,0.9691,2693180.0,8193430.0,32.87,증가,3
05,hwaterHot,급탕 사용량,-0.6168,-119.0,3216.33,-3.7,감소,3
05,elect,전기 사용량,0.6787,2959397.0,27102324.33,10.92,증가,3
05,helect,전기 사용량,0.8058,4422.5,136222.5,3.25,증가,3
05,waterCool,수도 사용량,-0.5402,-62030.0,10825150.0,-0.57,감소,3
05,hwaterCool,수도 사용량,0.866,125.5,9276.83,1.35,증가,3
06,heat,난방 사용량,-0.1374,-95880.0,2750463.33,-3.49,감소,3
06,waterHot,급탕 사용량,0.9969,1885700.0,4216946.67,44.72,증가,3
06,hwaterHot,급탕 사용량,-0.7171,-158.0,2723.33,-5.8,감소,3
06,elect,전기 사용량,-0.9722,-7319436.5,50589576.83,-14.47,감소,3
06,helect,전기 사용량,-0.8537,-46603.0,237728.67,-19.6,감소,3
06,waterCool,수도 사용량,0.9725,728410.0,9333173.33,7.8,증가,3
06,hwaterCool,수도 사용량,0.811,180.5,9053.17,1.99,증가,3
07,heat,난방 사용량,-0.866,-77385.0,2288615.0,-3.38,감소,3
07,waterHot,급탕 사용량,0.9814,2044600.0,3810760.0,53.65,증가,3
07,hwaterHot,급탕 사용량,-0.1769,-64.5,2331.83,-2.77,감소,3
07,elect,전기 사용량,0.1862,1262249.5,53472778.17,2.36,증가,3
07,helect,전기 사용량,0.6659,4497.5,228941.17,1.96,증가,3
07,waterCool,수도 사용량,0.9181,341660.0,10341286.67,3.3,증가,3
07,hwaterCool,수도 사용량,0.7049,241.0,9650.0,2.5,증가,3
08,heat,난방 사용량,0.657,56315.2,2157378.2,2.61,증가,4
08,waterHot,급탕 사용량,0.9417,1425015.0,1996420.0,71.38,증가,4
08,hwaterHot,급탕 사용량,0.4578,297.8,1307.3,22.78,증가,4
08,elect,전기 사용량,0.9223,21828311.8,11699297.8,186.58,증가,4
08,helect,전기 사용량,0.9021,83003.2,63203.7,131.33,증가,4
08,waterCool,수도 사용량,0.8389,2149496.0,5838196.0,36.82,증가,4
08,hwaterCool,수도 사용량,0.7975,2099.2,4718.7,44.49,증가,4
09,heat,난방 사용량,-0.2025,-124437.0,2770993.0,-4.49,감소,4
09,waterHot,급탕 사용량,0.8579,841077.0,4093572.0,20.55,증가,4
09,hwaterHot,급탕 사용량,0.0762,28.4,2115.4,1.34,증가,4
09,elect,전기 사용량,0.9939,8741659.2,21970372.2,39.79,증가,4
09,helect,전기 사용량,0.9834,29264.3,108237.3,27.04,증가,4
09,waterCool,수도 사용량,0.9747,853428.0,8328503.0,10.25,증가,4
09,hwaterCool,수도 사용량,0.8474,818.9,7472.9,10.96,증가,4
10,heat,난방 사용량,-0.4464,-1070475.0,8298945.0,-12.9,감소,4
10,waterHot,급탕 사용량,0.5333,1846535.0,6791055.0,27.19,증가,4
10,hwaterHot,급탕 사용량,0.142,39.4286,2892.43,1.36,증가,3
10,elect,전기 사용량,0.2112,357598.7,31735354.2,1.13,증가,4
10,helect,전기 사용량,0.8078,5909.9286,130762.43,4.52,증가,3
10,waterCool,수도 사용량,0.9189,1077391.0,8034771.0,13.41,증가,4
10,hwaterCool,수도 사용량,0.9132,337.3571,8777.86,3.84,증가,3
11,heat,난방 사용량,0.5768,1481323.0,14770673.0,10.03,증가,4
11,hheat,난방 사용량,-1.0,-67.0,152.0,-44.08,감소,2
11,waterHot,급탕 사용량,0.9545,1186752.0,9803412.0,12.11,증가,4
11,hwaterHot,급탕 사용량,0.2505,39.9,3196.9,1.25,증가,4
11,elect,전기 사용량,0.5247,1834773.8,29142400.8,6.3,증가,4
11,helect,전기 사용량,0.8473,2837.2,137101.2,2.07,증가,4
11,waterCool,수도 사용량,0.9215,742946.0,8476816.0,8.76,증가,4
11,hwaterCool,수도 사용량,0.893,327.9,8535.9,3.84,증가,4
12,heat,난방 사용량,0.0686,1166157.0,29372802.0,3.97,증가,4
12,hheat,난방 사용량,-0.8893,-55.0,405.67,-13.56,감소,3
12,waterHot,급탕 사용량,0.3721,6369246.0,20761276.0,30.68,증가,4
12,hwaterHot,급탕 사용량,0.9365,127.4,3524.4,3.61,증가,4
12,elect,전기 사용량,0.7925,3884375.8,30422927.8,12.77,증가,4
12,helect,전기 사용량,0.8596,6376.4,140551.4,4.54,증가,4
12,waterCool,수도 사용량,0.9335,821267.0,8559897.0,9.59,증가,4
12,hwaterCool,수도 사용량,0.9294,311.9,8925.9,3.49,증가,4
