month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.2265,232919.0,7513412.0,3.1,증가,5
01,helect,전기 사용량,-0.6853,-522.0,13743.0,-3.8,감소,4
01,waterCool,수도 사용량,0.3975,75762.0,994434.0,7.62,증가,5
01,hwaterCool,수도 사용량,-0.322,-5.8,726.7,-0.8,감소,4
02,elect,전기 사용량,0.4994,501228.0,5209563.0,9.62,증가,4
02,helect,전기 사용량,-0.9875,-286.0,13506.33,-2.12,감소,3
02,waterCool,수도 사용량,0.1069,45459.0,1106584.0,4.11,증가,4
02,hwaterCool,수도 사용량,-0.9015,-47.5,878.83,-5.4,감소,3
03,elect,전기 사용량,0.9699,525478.0,2560643.0,20.52,증가,4
03,helect,전기 사용량,-1.0,-549.0,12173.0,-4.51,감소,2
03,waterCool,수도 사용량,-0.3089,-15748.0,979937.0,-1.61,감소,4
03,hwaterCool,수도 사용량,-1.0,-30.0,800.0,-3.75,감소,2
04,elect,전기 사용량,0.9543,345906.0,2163572.0,15.99,증가,5
04,helect,전기 사용량,-0.4632,-242.0,12507.33,-1.93,감소,3
04,waterCool,수도 사용량,-0.151,-19356.0,906338.0,-2.14,감소,5
04,hwaterCool,수도 사용량,-0.9961,-42.5,868.17,-4.9,감소,3
05,elect,전기 사용량,0.9405,437137.0,2063700.0,21.18,증가,5
05,helect,전기 사용량,-1.0,-844.0,16054.0,-5.26,감소,2
05,waterCool,수도 사용량,0.8773,99835.0,591210.0,16.89,증가,5
05,hwaterCool,수도 사용량,-1.0,-44.0,827.0,-5.32,감소,2
06,elect,전기 사용량,0.8799,1610983.0,1928220.0,83.55,증가,5
06,helect,전기 사용량,-0.4742,-242.2,23270.8,-1.04,감소,4
06,waterCool,수도 사용량,0.8276,323510.0,660822.0,48.96,증가,5
06,hwaterCool,수도 사용량,-0.7965,-25.5,916.0,-2.78,감소,4
07,elect,전기 사용량,0.3099,331326.4,4727943.8,7.01,증가,5
07,helect,전기 사용량,0.9668,2377.2,19655.7,12.09,증가,4
07,waterCool,수도 사용량,0.0401,12276.0,1171758.0,1.05,증가,5
07,hwaterCool,수도 사용량,-0.5797,-26.8,878.7,-3.05,감소,4
08,elect,전기 사용량,0.8316,793124.0,3366360.0,23.56,증가,5
08,helect,전기 사용량,0.9333,1538.9,13071.4,11.77,증가,4
08,waterCool,수도 사용량,0.3873,29231.0,893382.0,3.27,증가,5
08,hwaterCool,수도 사용량,-0.7936,-27.3,845.7,-3.23,감소,4
09,elect,전기 사용량,0.9619,534884.0,2278934.0,23.47,증가,5
09,helect,전기 사용량,-0.9392,-332.5,12604.83,-2.64,감소,3
09,waterCool,수도 사용량,0.9046,61975.0,778710.0,7.96,증가,5
09,hwaterCool,수도 사용량,-0.2153,-7.0,838.67,-0.83,감소,3
10,elect,전기 사용량,0.8679,306770.0,2449220.0,12.53,증가,5
10,helect,전기 사용량,0.2246,81.0,12175.5,0.67,증가,4
10,waterCool,수도 사용량,0.4709,21114.0,843444.0,2.5,증가,5
10,hwaterCool,수도 사용량,-0.4178,-9.2,803.8,-1.14,감소,4
11,elect,전기 사용량,0.9708,791700.0,2814918.0,28.13,증가,5
11,helect,전기 사용량,-0.1546,-77.2,14307.3,-0.54,감소,4
11,waterCool,수도 사용량,0.7485,219291.0,632592.0,34.67,증가,5
11,hwaterCool,수도 사용량,-0.4347,-18.9,830.6,-2.28,감소,4
12,elect,전기 사용량,0.2729,269836.0,5906628.0,4.57,증가,5
12,helect,전기 사용량,-0.6688,-336.0,14536.33,-2.31,감소,3
12,waterCool,수도 사용량,-0.1349,-17891.0,1026060.0,-1.74,감소,5
12,hwaterCool,수도 사용량,0.5236,5.5,755.83,0.73,증가,3
