month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.8411,9515591.0,121127902.5,7.86,증가,4
01,helect,전기 사용량,0.9985,6758.0,495820.0,1.36,증가,4
01,waterCool,수도 사용량,0.9571,1438334.0,26831939.0,5.36,증가,4
01,hwaterCool,수도 사용량,0.428,85.7,24130.7,0.36,증가,4
02,elect,전기 사용량,0.9312,9456980.7,99183841.2,9.53,증가,4
02,helect,전기 사용량,0.7008,6030.8,444913.3,1.36,증가,4
02,waterCool,수도 사용량,0.8496,836706.0,27593761.0,3.03,증가,4
02,hwaterCool,수도 사용량,-0.3124,-29.2,24201.3,-0.12,감소,4
03,elect,전기 사용량,0.9954,14748278.5,98885372.17,14.91,증가,3
03,helect,전기 사용량,-0.2227,-2136.5,480951.5,-0.44,감소,3
03,waterCool,수도 사용량,0.9378,1363015.0,25232425.0,5.4,증가,3
03,hwaterCool,수도 사용량,0.961,167.5,22266.17,0.75,증가,3
04,elect,전기 사용량,0.997,10397424.0,93150108.33,11.16,증가,3
04,helect,전기 사용량,1.0,5648.5,438924.17,1.29,증가,3
04,waterCool,수도 사용량,0.9074,1827975.0,27932701.67,6.54,증가,3
04,hwaterCool,수도 사용량,0.6803,190.5,24754.5,0.77,증가,3
05,elect,전기 사용량,0.9918,17388504.0,93389717.67,18.62,증가,3
05,helect,전기 사용량,0.9428,9632.5,444284.5,2.17,증가,3
05,waterCool,수도 사용량,0.5103,850870.0,29796220.0,2.86,증가,3
05,hwaterCool,수도 사용량,0.0881,29.5,24105.5,0.12,증가,3
06,elect,전기 사용량,0.94,14893518.5,121234920.83,12.28,증가,3
06,helect,전기 사용량,0.9322,20365.0,488272.67,4.17,증가,3
06,waterCool,수도 사용량,0.7904,1411630.0,31359450.0,4.5,증가,3
06,hwaterCool,수도 사용량,0.6836,202.5,25088.83,0.81,증가,3
07,elect,전기 사용량,0.8934,14137548.5,174788718.83,8.09,증가,3
07,helect,전기 사용량,0.2426,2425.0,718518.67,0.34,증가,3
07,waterCool,수도 사용량,0.8279,1669700.0,31881320.0,5.24,증가,3
07,hwaterCool,수도 사용량,0.9344,162.0,24934.33,0.65,증가,3
08,elect,전기 사용량,0.9737,49759835.0,153197965.67,32.48,증가,3
08,helect,전기 사용량,0.9883,117934.0,675124.33,17.47,증가,3
08,waterCool,수도 사용량,0.9925,3031430.0,30889993.33,9.81,증가,3
08,hwaterCool,수도 사용량,-0.1745,-46.5,25597.5,-0.18,감소,3
09,elect,전기 사용량,0.9687,36234616.5,111408287.83,32.52,증가,3
09,helect,전기 사용량,0.9878,93983.0,467729.67,20.09,증가,3
09,waterCool,수도 사용량,0.298,557520.0,32670720.0,1.71,증가,3
09,hwaterCool,수도 사용량,0.9468,398.5,24812.83,1.61,증가,3
10,elect,전기 사용량,0.9834,12213953.5,100912151.17,12.1,증가,3
10,helect,전기 사용량,0.0005,4.5,464139.83,0.0,증가,3
10,waterCool,수도 사용량,0.9879,1227855.0,28455555.0,4.31,증가,3
10,hwaterCool,수도 사용량,0.7845,238.5,23904.17,1.0,증가,3
11,elect,전기 사용량,0.9981,10414097.5,101071405.83,10.3,증가,3
11,helect,전기 사용량,0.936,4893.0,454390.67,1.08,증가,3
11,waterCool,수도 사용량,0.8876,2017035.0,28101151.67,7.18,증가,3
11,hwaterCool,수도 사용량,-0.5612,-233.5,25319.17,-0.92,감소,3
12,elect,전기 사용량,0.9026,7916817.8,113248907.3,6.99,증가,4
12,helect,전기 사용량,0.8856,6800.9,487911.4,1.39,증가,4
12,waterCool,수도 사용량,0.9241,1410940.0,24855575.0,5.68,증가,4
12,hwaterCool,수도 사용량,0.7866,265.2,23286.7,1.14,증가,4
