month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,gas,가스 사용량,0.7898,53556.0,157388.0,34.03,증가,5
01,elect,전기 사용량,0.8802,10246018.8,106539223.2,9.62,증가,5
01,helect,전기 사용량,-0.6671,-28498.2,615324.4,-4.63,감소,5
01,waterCool,수도 사용량,0.8521,1184899.0,25186212.0,4.7,증가,5
01,hwaterCool,수도 사용량,-0.4724,-101.0,25061.4,-0.4,감소,5
02,gas,가스 사용량,0.8609,81620.0,106838.0,76.4,증가,5
02,elect,전기 사용량,0.9015,10208009.6,83540200.2,12.22,증가,5
02,helect,전기 사용량,-0.639,-19930.8,533388.8,-3.74,감소,5
02,waterCool,수도 사용량,0.8034,1024103.0,25295282.0,4.05,증가,5
02,hwaterCool,수도 사용량,-0.6805,-287.3,25288.2,-1.14,감소,5
03,gas,가스 사용량,0.9543,88087.0,41147.0,214.08,증가,4
03,elect,전기 사용량,0.9946,14456357.7,85974578.2,16.81,증가,4
03,helect,전기 사용량,-0.7837,-33758.8,579130.2,-5.83,감소,4
03,waterCool,수도 사용량,0.9821,1665193.0,23019363.0,7.23,증가,4
03,hwaterCool,수도 사용량,-0.0532,-20.9,22832.6,-0.09,감소,4
04,gas,가스 사용량,0.918,69940.0,40016.67,174.78,증가,3
04,elect,전기 사용량,0.9259,9850645.7,76291196.2,12.91,증가,4
04,helect,전기 사용량,-0.7387,-29075.6,535650.4,-5.43,감소,4
04,waterCool,수도 사용량,0.9371,2081114.0,24766079.0,8.4,증가,4
04,hwaterCool,수도 사용량,-0.5839,-252.9,25575.1,-0.99,감소,4
05,gas,가스 사용량,-0.4623,-7966.0,57599.0,-13.83,감소,4
05,elect,전기 사용량,0.7666,10072399.4,81782135.4,12.32,증가,4
05,helect,전기 사용량,-0.7099,-32691.5,560140.0,-5.84,감소,4
05,waterCool,수도 사용량,0.8451,1409251.0,25008826.0,5.64,증가,4
05,hwaterCool,수도 사용량,-0.8951,-503.3,25412.2,-1.98,감소,4
06,gas,가스 사용량,0.6643,7115.0,10431.67,68.21,증가,3
06,elect,전기 사용량,0.9563,13324171.4,99261497.4,13.42,증가,4
06,helect,전기 사용량,-0.4949,-18352.6,594744.9,-3.09,감소,4
06,waterCool,수도 사용량,0.7072,1086750.0,26753995.0,4.06,증가,4
06,hwaterCool,수도 사용량,-0.8981,-442.3,26748.7,-1.65,감소,4
07,gas,가스 사용량,0.7439,5125.0,8688.33,58.99,증가,3
07,elect,전기 사용량,0.5646,5415020.0,167702620.0,3.23,증가,4
07,helect,전기 사용량,-0.7721,-70093.3,905339.7,-7.74,감소,4
07,waterCool,수도 사용량,0.8866,1335327.0,26188187.0,5.1,증가,4
07,hwaterCool,수도 사용량,-0.7017,-359.8,26360.2,-1.36,감소,4
08,gas,가스 사용량,0.6942,6460.0,7766.67,83.18,증가,3
08,elect,전기 사용량,0.9876,33509403.8,96749782.2,34.64,증가,5
08,helect,전기 사용량,0.7366,56471.1,674324.2,8.37,증가,5
08,waterCool,수도 사용량,0.806,3956423.0,17331422.0,22.83,증가,5
08,hwaterCool,수도 사용량,0.6464,2569.4,18285.0,14.05,증가,5
09,gas,가스 사용량,0.2849,3035.0,9005.0,33.7,증가,3
09,elect,전기 사용량,0.9613,21438068.4,75457512.4,28.41,증가,5
09,helect,전기 사용량,0.2385,9750.2,572498.6,1.7,증가,5
09,waterCool,수도 사용량,0.8783,1699590.0,23781858.0,7.15,증가,5
09,hwaterCool,수도 사용량,0.3962,297.8,24789.6,1.2,증가,5
10,gas,가스 사용량,0.445,2740.0,9933.33,27.58,증가,3
10,elect,전기 사용량,0.7798,6954300.3,83215717.4,8.36,증가,5
10,helect,전기 사용량,-0.8084,-35471.0,602949.8,-5.88,감소,5
10,waterCool,수도 사용량,0.8773,1946357.0,21211626.0,9.18,증가,5
10,hwaterCool,수도 사용량,-0.2578,-92.7,24601.8,-0.38,감소,5
11,gas,가스 사용량,0.2669,3501.1429,24937.43,14.04,증가,4
11,elect,전기 사용량,0.6241,6906815.4,84658183.0,8.16,증가,5
11,helect,전기 사용량,-0.6866,-35012.6,585091.4,-5.98,감소,5
11,waterCool,수도 사용량,0.9078,1365597.0,24068348.0,5.67,증가,5
11,hwaterCool,수도 사용량,-0.2357,-63.1,25184.6,-0.25,감소,5
12,gas,가스 사용량,0.9221,62355.0,27260.0,228.74,증가,5
12,elect,전기 사용량,0.8622,9922198.2,101695637.2,9.76,증가,5
12,helect,전기 사용량,-0.6784,-27397.4,604929.0,-4.53,감소,5
12,waterCool,수도 사용량,0.9542,1152982.0,23623820.0,4.88,증가,5
12,hwaterCool,수도 사용량,-0.8462,-281.7,24742.8,-1.14,감소,5
