month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.8147,5803755.8,64859577.8,8.95,증가,4
01,helect,전기 사용량,0.8207,579.0,301265.5,0.19,증가,4
01,waterCool,수도 사용량,0.4212,220770.1,15800284.6,1.4,증가,4
01,hwaterCool,수도 사용량,-0.5935,-44.4,13215.6,-0.34,감소,4
02,elect,전기 사용량,0.9031,5741787.0,48772852.0,11.77,증가,4
02,helect,전기 사용량,0.2423,961.5,267692.5,0.36,증가,4
02,waterCool,수도 사용량,-0.4697,-283407.0,15561563.0,-1.82,감소,4
02,hwaterCool,수도 사용량,0.5498,75.5,11946.5,0.63,증가,4
03,elect,전기 사용량,0.9923,8729665.0,49650698.33,17.58,증가,3
03,helect,전기 사용량,-0.3454,-1796.0,286737.67,-0.63,감소,3
03,waterCool,수도 사용량,0.1902,70930.0,16653780.0,0.43,증가,3
03,hwaterCool,수도 사용량,-0.9903,-96.5,13514.83,-0.71,감소,3
04,elect,전기 사용량,0.9771,6879470.0,46724126.67,14.72,증가,3
04,helect,전기 사용량,0.9096,254.0,263675.0,0.1,증가,3
04,waterCool,수도 사용량,0.8541,3703807.5,10607894.17,34.92,증가,3
04,hwaterCool,수도 사용량,-0.912,-104.0,13368.0,-0.78,감소,3
05,elect,전기 사용량,0.9383,6507748.0,42583608.0,15.28,증가,4
05,helect,전기 사용량,0.3086,756.9,266368.9,0.28,증가,4
05,waterCool,수도 사용량,0.9274,1389021.0,15525601.0,8.95,증가,4
05,hwaterCool,수도 사용량,0.7913,349.2,13402.7,2.61,증가,4
06,elect,전기 사용량,0.9968,10673819.0,44600099.0,23.93,증가,4
06,helect,전기 사용량,0.9891,9463.7,279730.7,3.38,증가,4
06,waterCool,수도 사용량,0.902,598209.6,15967494.6,3.75,증가,4
06,hwaterCool,수도 사용량,-0.6722,-86.7,13736.3,-0.63,감소,4
07,elect,전기 사용량,0.9012,6931564.0,85718074.0,8.09,증가,4
07,helect,전기 사용량,-0.8691,-14479.9,449789.6,-3.22,감소,4
07,waterCool,수도 사용량,0.6641,400936.0,17282001.0,2.32,증가,4
07,hwaterCool,수도 사용량,-0.9315,-232.6,14750.9,-1.58,감소,4
08,elect,전기 사용량,0.9903,24620986.3,62488855.8,39.4,증가,4
08,helect,전기 사용량,0.9666,49770.5,358804.5,13.87,증가,4
08,waterCool,수도 사용량,0.8417,710303.0,16230533.0,4.38,증가,4
08,hwaterCool,수도 사용량,-0.6879,-127.8,14168.7,-0.9,감소,4
09,elect,전기 사용량,0.9755,18299771.0,40304681.0,45.4,증가,4
09,helect,전기 사용량,0.9374,32774.5,253490.0,12.93,증가,4
09,waterCool,수도 사용량,0.888,844347.0,15391702.0,5.49,증가,4
09,hwaterCool,수도 사용량,-0.3627,-49.2,13519.3,-0.36,감소,4
10,elect,전기 사용량,0.956,5274757.0,47237332.0,11.17,증가,4
10,helect,전기 사용량,-0.9305,-1609.7,271668.8,-0.59,감소,4
10,waterCool,수도 사용량,0.9149,467543.2,15936002.2,2.93,증가,4
10,hwaterCool,수도 사용량,-0.6257,-127.2,13907.8,-0.91,감소,4
11,elect,전기 사용량,0.8839,5178739.0,47550109.0,10.89,증가,4
11,helect,전기 사용량,-0.3012,-619.3,272597.2,-0.23,감소,4
11,waterCool,수도 사용량,0.7643,510056.1,14913230.6,3.42,증가,4
11,hwaterCool,수도 사용량,0.2349,36.9,13165.4,0.28,증가,4
12,elect,전기 사용량,0.8538,5856309.0,61886909.0,9.46,증가,4
12,helect,전기 사용량,-0.2154,-315.9,299398.1,-0.11,감소,4
12,waterCool,수도 사용량,0.7565,636078.0,14433298.0,4.41,증가,4
12,hwaterCool,수도 사용량,-0.5989,-140.9,13379.1,-1.05,감소,4
