month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.9628,2040052.8571,4854459.52,42.02,증가,6
01,hheat,난방 사용량,-0.2709,-2.2571,142.48,-1.58,감소,6
01,waterHot,급탕 사용량,-0.3004,-205990.0,8984903.33,-2.29,감소,6
01,hwaterHot,급탕 사용량,-0.8207,-47.9714,1707.76,-2.81,감소,6
01,elect,전기 사용량,0.7834,711845.1429,8232653.81,8.65,증가,6
01,helect,전기 사용량,-0.2794,-1822.9714,69557.43,-2.62,감소,6
01,waterCool,수도 사용량,-0.1261,-8674.2857,3264669.05,-0.27,감소,6
01,hwaterCool,수도 사용량,-0.7928,-86.1429,3677.86,-2.34,감소,6
02,heat,난방 사용량,0.9126,1762758.8571,3035862.86,58.06,증가,6
02,hheat,난방 사용량,-0.0464,-0.3714,102.76,-0.36,감소,6
02,waterHot,급탕 사용량,0.1523,60241.7143,7321665.71,0.82,증가,6
02,hwaterHot,급탕 사용량,-0.9909,-45.9714,1566.43,-2.93,감소,6
02,elect,전기 사용량,0.8191,723101.7143,8460419.05,8.55,증가,6
02,helect,전기 사용량,-0.2994,-2103.3429,70536.52,-2.98,감소,6
02,waterCool,수도 사용량,-0.3523,-27821.4286,3086335.24,-0.9,감소,6
02,hwaterCool,수도 사용량,-0.9972,-109.4,3450.67,-3.17,감소,6
03,heat,난방 사용량,0.2994,268811.7143,2898172.38,9.28,증가,6
03,hheat,난방 사용량,0.0698,0.3143,55.05,0.57,증가,6
03,waterHot,급탕 사용량,0.7648,1005330.8571,3877042.86,25.93,증가,6
03,hwaterHot,급탕 사용량,0.5406,130.3714,1057.57,12.33,증가,6
03,elect,전기 사용량,0.8899,1461280.4286,3491665.76,41.85,증가,6
03,helect,전기 사용량,0.6259,8085.2857,28637.62,28.23,증가,6
03,waterCool,수도 사용량,0.6542,339890.5714,2135425.24,15.92,증가,6
03,hwaterCool,수도 사용량,0.5429,318.2857,2325.29,13.69,증가,6
04,heat,난방 사용량,-0.4418,-142528.8571,1182493.81,-12.05,감소,6
04,hheat,난방 사용량,-0.916,-4.3429,31.19,-13.92,감소,6
04,waterHot,급탕 사용량,0.7469,549835.7143,3947185.71,13.93,증가,6
04,hwaterHot,급탕 사용량,0.3752,48.2,1200.0,4.02,증가,6
04,elect,전기 사용량,0.9556,1044395.5714,4917808.9,21.24,증가,6
04,helect,전기 사용량,0.5847,5791.3429,39132.81,14.8,증가,6
04,waterCool,수도 사용량,0.6259,165229.1429,2670310.48,6.19,증가,6
04,hwaterCool,수도 사용량,0.4653,152.6286,2835.76,5.38,증가,6
05,heat,난방 사용량,0.4896,31141.7143,101735.71,30.61,증가,6
05,hheat,난방 사용량,0.1631,0.1714,3.9,4.39,증가,6
05,waterHot,급탕 사용량,0.9239,525826.0,2683410.0,19.6,증가,6
05,hwaterHot,급탕 사용량,0.2622,22.6,1200.67,1.88,증가,6
05,elect,전기 사용량,0.9516,908094.0,4718000.0,19.25,증가,6
05,helect,전기 사용량,0.5697,3586.9429,42829.48,8.37,증가,6
05,waterCool,수도 사용량,0.5903,105881.4286,2999954.76,3.53,증가,6
05,hwaterCool,수도 사용량,0.1901,43.4286,3352.76,1.3,증가,6
06,heat,난방 사용량,0.2077,4000.8571,20496.19,19.52,증가,6
06,waterHot,급탕 사용량,0.9659,460158.0,1561783.33,29.46,증가,6
06,hwaterHot,급탕 사용량,0.3614,22.7143,999.38,2.27,증가,6
06,elect,전기 사용량,0.8813,760326.7143,5530677.38,13.75,증가,6
06,helect,전기 사용량,0.4581,2411.2857,49300.62,4.89,증가,6
06,waterCool,수도 사용량,0.7655,132596.0,2851073.33,4.65,증가,6
06,hwaterCool,수도 사용량,0.2012,34.6571,3320.52,1.04,증가,6
07,heat,난방 사용량,0.5991,5855.7143,6965.36,84.07,증가,4
07,waterHot,급탕 사용량,0.924,446366.0,1323713.33,33.72,증가,6
07,hwaterHot,급탕 사용량,0.313,17.1143,928.05,1.84,증가,6
07,elect,전기 사용량,0.9034,1247807.7143,6857549.05,18.2,증가,6
07,helect,전기 사용량,0.6082,4541.9714,56812.57,7.99,증가,6
07,waterCool,수도 사용량,0.6371,113182.0,2957873.33,3.83,증가,6
07,hwaterCool,수도 사용량,0.1178,19.8,3517.67,0.56,증가,6
08,heat,난방 사용량,0.2795,1627.0,5457.0,29.81,증가,4
08,waterHot,급탕 사용량,0.8365,267039.1429,1456167.14,18.34,증가,6
08,hwaterHot,급탕 사용량,-0.0189,-1.3143,910.95,-0.14,감소,6
08,elect,전기 사용량,0.9543,1983773.8571,8763474.19,22.64,증가,6
08,helect,전기 사용량,0.7133,7039.7429,71900.48,9.79,증가,6
08,waterCool,수도 사용량,0.7174,111762.0,2951006.67,3.79,증가,6
08,hwaterCool,수도 사용량,-0.0754,-10.7714,3612.76,-0.3,감소,6
09,heat,난방 사용량,-0.5517,-8993.4286,64235.24,-14.0,감소,6
09,hheat,난방 사용량,,-0.0,1.0,-0.0,유지,2
09,waterHot,급탕 사용량,0.8142,250836.0,1859716.67,13.49,증가,6
09,hwaterHot,급탕 사용량,-0.3225,-22.8571,1031.81,-2.22,감소,6
09,elect,전기 사용량,0.8902,1788118.2857,8572629.62,20.86,증가,6
