month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.8918,4536775.6,46266994.1,9.81,증가,4
01,helect,전기 사용량,0.7131,4455.7,187128.7,2.38,증가,4
01,waterCool,수도 사용량,-0.2811,-121017.0,11959178.0,-1.01,감소,4
01,hwaterCool,수도 사용량,-0.8503,-337.4,11047.1,-3.05,감소,4
02,elect,전기 사용량,0.9264,5285716.2,45971152.7,11.5,증가,4
02,helect,전기 사용량,0.3003,1283.5,186908.5,0.69,증가,4
02,waterCool,수도 사용량,0.8132,315615.0,11945965.0,2.64,증가,4
02,hwaterCool,수도 사용량,0.1978,60.3,10948.8,0.55,증가,4
03,elect,전기 사용량,0.9566,4573562.5,35517425.83,12.88,증가,3
03,helect,전기 사용량,-0.7648,-3058.5,169598.5,-1.8,감소,3
03,waterCool,수도 사용량,-0.055,-14605.0,11285738.33,-0.13,감소,3
03,hwaterCool,수도 사용량,-0.9894,-327.0,10422.67,-3.14,감소,3
04,elect,전기 사용량,0.8884,2955765.7,33895126.2,8.72,증가,4
04,helect,전기 사용량,0.4973,1318.9,174427.9,0.76,증가,4
04,waterCool,수도 사용량,0.9633,611678.0,10964288.0,5.58,증가,4
04,hwaterCool,수도 사용량,-0.3871,-115.7,11274.8,-1.03,감소,4
05,elect,전기 사용량,0.9213,3697895.5,28486298.0,12.98,증가,4
05,helect,전기 사용량,-0.4297,-1075.8,164572.2,-0.65,감소,4
05,waterCool,수도 사용량,0.6919,239632.0,11061037.0,2.17,증가,4
05,hwaterCool,수도 사용량,-0.9476,-441.0,11369.0,-3.88,감소,4
06,elect,전기 사용량,0.7525,3248378.7,33549804.2,9.68,증가,4
06,helect,전기 사용량,0.5556,1644.1,172643.6,0.95,증가,4
06,waterCool,수도 사용량,0.8746,661925.0,10987955.0,6.02,증가,4
06,hwaterCool,수도 사용량,-0.5957,-69.3,11293.2,-0.61,감소,4
07,elect,전기 사용량,0.7102,5079477.7,43636248.2,11.64,증가,4
07,helect,전기 사용량,0.2171,2290.9,211231.4,1.08,증가,4
07,waterCool,수도 사용량,0.6136,344018.0,11314778.0,3.04,증가,4
07,hwaterCool,수도 사용량,-0.8095,-273.5,11408.5,-2.4,감소,4
08,elect,전기 사용량,0.7712,5747279.9,64076314.4,8.97,증가,4
08,helect,전기 사용량,0.0641,1213.0,299331.5,0.41,증가,4
08,waterCool,수도 사용량,0.9952,535893.0,11376223.0,4.71,증가,4
08,hwaterCool,수도 사용량,-0.4054,-104.8,11468.2,-0.91,감소,4
09,elect,전기 사용량,0.9841,13897993.7,36051894.2,38.55,증가,4
09,helect,전기 사용량,0.9398,26529.8,192468.8,13.78,증가,4
09,waterCool,수도 사용량,0.9006,333132.0,11569492.0,2.88,증가,4
09,hwaterCool,수도 사용량,-0.9473,-305.3,11692.7,-2.61,감소,4
10,elect,전기 사용량,0.9793,4590039.0,33199465.5,13.83,증가,4
10,helect,전기 사용량,0.8637,10286.5,165626.5,6.21,증가,4
10,waterCool,수도 사용량,0.9307,369193.0,10935538.0,3.38,증가,4
10,hwaterCool,수도 사용량,-0.9393,-218.7,11012.8,-1.99,감소,4
11,elect,전기 사용량,0.6865,2388657.3,35528133.3,6.72,증가,4
11,helect,전기 사용량,-0.6149,-3893.9,179039.1,-2.17,감소,4
11,waterCool,수도 사용량,0.8041,524780.0,11124375.0,4.72,증가,4
11,hwaterCool,수도 사용량,-0.5915,-105.5,11221.5,-0.94,감소,4
12,elect,전기 사용량,0.7841,2314377.1,37519505.1,6.17,증가,4
12,helect,전기 사용량,-0.7388,-3575.1,178288.9,-2.01,감소,4
12,waterCool,수도 사용량,0.8974,376512.0,10780192.0,3.49,증가,4
12,hwaterCool,수도 사용량,-0.9639,-219.1,10884.9,-2.01,감소,4
