month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.8268,1584915.6286,27033965.1,5.86,증가,6
01,helect,전기 사용량,0.6518,1886.4,113165.33,1.67,증가,6
01,waterCool,수도 사용량,0.9656,422971.7143,6313355.71,6.7,증가,6
01,hwaterCool,수도 사용량,-0.0518,-6.5143,6701.62,-0.1,감소,6
02,elect,전기 사용량,0.7074,859090.5143,21442949.05,4.01,증가,6
02,helect,전기 사용량,0.9088,1142.1429,103148.48,1.11,증가,6
02,waterCool,수도 사용량,0.9385,429403.1429,5869370.48,7.32,증가,6
02,hwaterCool,수도 사용량,-0.6221,-58.4571,6439.14,-0.91,감소,6
03,elect,전기 사용량,0.8443,2135703.5,19966583.6,10.7,증가,5
03,helect,전기 사용량,0.8029,3019.2,109034.6,2.77,증가,5
03,waterCool,수도 사용량,0.8829,505072.0,6257198.0,8.07,증가,5
03,hwaterCool,수도 사용량,-0.4162,-66.6,6823.6,-0.98,감소,5
04,elect,전기 사용량,0.8462,2004556.0,17838872.6,11.24,증가,5
04,helect,전기 사용량,0.6103,7745.0,104386.8,7.42,증가,5
04,waterCool,수도 사용량,0.9421,508543.0,6327984.0,8.04,증가,5
04,hwaterCool,수도 사용량,-0.2292,-27.7,6820.0,-0.41,감소,5
05,elect,전기 사용량,0.8846,1774602.4571,17519079.52,10.13,증가,6
05,helect,전기 사용량,0.6174,6168.0571,95522.86,6.46,증가,6
05,waterCool,수도 사용량,0.9488,639101.4286,5630184.76,11.35,증가,6
05,hwaterCool,수도 사용량,0.5855,201.1714,6173.9,3.26,증가,6
06,elect,전기 사용량,0.9461,2764900.0857,20389535.29,13.56,증가,6
06,helect,전기 사용량,0.8769,7685.0286,98237.76,7.82,증가,6
06,waterCool,수도 사용량,0.9614,636755.1429,5778380.48,11.02,증가,6
06,hwaterCool,수도 사용량,0.6146,193.6857,6139.62,3.15,증가,6
07,elect,전기 사용량,0.9119,5599471.2571,23033478.86,24.31,증가,6
07,helect,전기 사용량,0.7954,15068.7143,124365.05,12.12,증가,6
07,waterCool,수도 사용량,0.9837,574154.8571,5938582.86,9.67,증가,6
07,hwaterCool,수도 사용량,0.6072,222.0857,6193.95,3.59,증가,6
08,elect,전기 사용량,0.8592,5782642.2,25523576.33,22.66,증가,6
08,helect,전기 사용량,0.861,14324.2,136020.67,10.53,증가,6
08,waterCool,수도 사용량,0.9702,508855.4286,6137324.76,8.29,증가,6
08,hwaterCool,수도 사용량,0.6087,167.1714,6398.24,2.61,증가,6
09,elect,전기 사용량,0.9439,4523910.4286,15341235.43,29.49,증가,6
09,helect,전기 사용량,0.9504,10281.6,92135.33,11.16,증가,6
09,waterCool,수도 사용량,0.9268,479466.2857,6067060.95,7.9,증가,6
09,hwaterCool,수도 사용량,0.5661,147.0571,6287.86,2.34,증가,6
10,elect,전기 사용량,0.975,1852304.7143,17900710.71,10.35,증가,6
10,helect,전기 사용량,0.8322,3725.4,97874.33,3.81,증가,6
10,waterCool,수도 사용량,0.9837,546432.5714,5835505.24,9.36,증가,6
10,hwaterCool,수도 사용량,0.5193,113.2,6430.0,1.76,증가,6
11,elect,전기 사용량,0.881,1450828.5714,19680549.9,7.37,증가,6
11,helect,전기 사용량,0.7098,2498.5714,103645.57,2.41,증가,6
11,waterCool,수도 사용량,0.9608,532816.0,5869680.0,9.08,증가,6
11,hwaterCool,수도 사용량,0.6263,117.2571,6442.52,1.82,증가,6
12,elect,전기 사용량,0.8526,1771308.3714,25372156.24,6.98,증가,6
12,helect,전기 사용량,0.7022,2413.0465,112778.49,2.14,증가,5
12,waterCool,수도 사용량,0.8164,634855.7143,6004752.38,10.57,증가,6
12,hwaterCool,수도 사용량,0.5325,198.1512,6689.84,2.96,증가,5
