month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.9124,3625099.2857,40919247.86,8.86,증가,7
01,helect,전기 사용량,-0.5874,-6174.1801,261571.4,-2.36,감소,6
01,waterCool,수도 사용량,0.9431,495895.7143,9258422.86,5.36,증가,7
01,hwaterCool,수도 사용량,0.1542,33.087,10401.39,0.32,증가,6
02,elect,전기 사용량,0.912,3966383.9286,40776355.36,9.73,증가,7
02,helect,전기 사용량,-0.5444,-5282.3929,259877.89,-2.03,감소,7
02,waterCool,수도 사용량,0.8405,448973.5714,10205656.43,4.4,증가,7
02,hwaterCool,수도 사용량,-0.5752,-141.3214,11520.11,-1.23,감소,7
03,elect,전기 사용량,0.9001,3055414.0,33377130.0,9.15,증가,6
03,helect,전기 사용량,-0.646,-5957.8286,235607.9,-2.53,감소,6
03,waterCool,수도 사용량,0.9796,454472.8571,10217606.19,4.45,증가,6
03,hwaterCool,수도 사용량,-0.5356,-92.4,11119.0,-0.83,감소,6
04,elect,전기 사용량,0.9707,3185878.8571,35887522.86,8.88,증가,6
04,helect,전기 사용량,-0.7204,-7300.3143,251639.95,-2.9,감소,6
04,waterCool,수도 사용량,0.8076,605650.0,9582763.33,6.32,증가,6
04,hwaterCool,수도 사용량,-0.2337,-108.8857,10966.71,-0.99,감소,6
05,elect,전기 사용량,0.9157,2648487.7143,32455542.38,8.16,증가,6
05,helect,전기 사용량,0.4543,2276.3143,198201.71,1.15,증가,6
05,waterCool,수도 사용량,0.9765,495864.8571,10479666.19,4.73,증가,6
05,hwaterCool,수도 사용량,-0.5312,-88.8571,11497.14,-0.77,감소,6
06,elect,전기 사용량,0.796,2237036.8571,35542909.52,6.29,증가,6
06,helect,전기 사용량,0.6316,1867.7429,206070.14,0.91,증가,6
06,waterCool,수도 사용량,0.8927,421071.1429,10354830.48,4.07,증가,6
06,hwaterCool,수도 사용량,-0.3886,-144.4286,11353.24,-1.27,감소,6
07,elect,전기 사용량,0.9308,6043594.9429,33952652.14,17.8,증가,6
07,helect,전기 사용량,0.703,13199.3429,195518.14,6.75,증가,6
07,waterCool,수도 사용량,0.9493,485546.5714,10607441.9,4.58,증가,6
07,hwaterCool,수도 사용량,-0.2295,-68.1714,11573.43,-0.59,감소,6
08,elect,전기 사용량,0.8796,8788380.9429,44043298.14,19.95,증가,6
08,helect,전기 사용량,0.5819,13488.9714,283074.24,4.77,증가,6
08,waterCool,수도 사용량,0.7524,362938.0,11226703.33,3.23,증가,6
08,hwaterCool,수도 사용량,-0.5495,-128.4,11632.0,-1.1,감소,6
09,elect,전기 사용량,0.8847,8419813.8571,53652106.52,15.69,증가,6
09,helect,전기 사용량,0.8602,15437.3429,299038.81,5.16,증가,6
09,waterCool,수도 사용량,-0.0926,-91018.0,13226780.0,-0.69,감소,6
09,hwaterCool,수도 사용량,-0.6319,-168.7429,11905.86,-1.42,감소,6
10,elect,전기 사용량,0.8924,7594616.5714,31577155.24,24.05,증가,6
10,helect,전기 사용량,0.8639,12049.7429,210417.14,5.73,증가,6
10,waterCool,수도 사용량,0.7727,556106.5714,10250178.57,5.43,증가,6
10,hwaterCool,수도 사용량,-0.8117,-189.1143,11808.62,-1.6,감소,6
11,elect,전기 사용량,0.949,2617338.5714,33577537.14,7.79,증가,7
11,helect,전기 사용량,-0.4962,-5014.5357,234549.32,-2.14,감소,7
11,waterCool,수도 사용량,0.8681,594637.1429,9111600.0,6.53,증가,7
11,hwaterCool,수도 사용량,0.3202,117.5357,10269.39,1.14,증가,7
12,elect,전기 사용량,0.8167,2257207.2143,35780030.64,6.31,증가,7
12,helect,전기 사용량,-0.5514,-5309.1786,236195.39,-2.25,감소,7
12,waterCool,수도 사용량,0.9196,488790.0,9720347.14,5.03,증가,7
12,hwaterCool,수도 사용량,-0.0266,-5.8571,11147.71,-0.05,감소,7
