month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,gas,가스 사용량,0.6133,520349.2857,2394767.5,21.73,증가,8
01,hgas,가스 사용량,-0.7706,-1333.0,8983.0,-14.84,감소,5
01,elect,전기 사용량,0.8792,581073.9405,2779101.33,20.91,증가,8
01,helect,전기 사용량,-0.9025,-2564.8,45743.0,-5.61,감소,5
01,waterCool,수도 사용량,-0.0854,-20862.369,1318823.92,-1.58,감소,8
01,hwaterCool,수도 사용량,-0.765,-177.3,1396.0,-12.7,감소,5
02,gas,가스 사용량,0.5981,303347.2619,2240342.33,13.54,증가,8
02,hgas,가스 사용량,-0.7752,-932.8,6324.4,-14.75,감소,5
02,elect,전기 사용량,0.9066,429088.6786,2810147.75,15.27,증가,8
02,helect,전기 사용량,0.159,328.3,32670.2,1.0,증가,5
02,waterCool,수도 사용량,-0.2998,-69650.7738,1417137.33,-4.91,감소,8
02,hwaterCool,수도 사용량,-0.7785,-196.8,1372.6,-14.34,감소,5
03,gas,가스 사용량,0.331,103648.5714,1951080.0,5.31,증가,7
03,hgas,가스 사용량,-0.8526,-844.2,4279.8,-19.73,감소,4
03,elect,전기 사용량,0.9717,469481.1071,2665514.39,17.61,증가,7
03,helect,전기 사용량,-0.9243,-3547.5,43002.0,-8.25,감소,4
03,waterCool,수도 사용량,-0.6018,-112801.8214,1630367.46,-6.92,감소,7
03,hwaterCool,수도 사용량,-0.8044,-230.1,1367.9,-16.82,감소,4
04,gas,가스 사용량,0.1314,36314.3571,1449996.64,2.5,증가,7
04,hgas,가스 사용량,0.7092,5177.1,-999.9,-517.76,증가,4
04,elect,전기 사용량,0.9713,480364.75,2632413.75,18.25,증가,7
04,helect,전기 사용량,-0.9169,-9441.7,46708.3,-20.21,감소,4
04,waterCool,수도 사용량,-0.5085,-110998.0357,1876562.82,-5.91,감소,7
04,hwaterCool,수도 사용량,-0.8632,-298.6,1666.9,-17.91,감소,4
05,gas,가스 사용량,0.4044,85335.75,936781.75,9.11,증가,7
05,hgas,가스 사용량,-0.8208,-481.0,2228.5,-21.58,감소,4
05,elect,전기 사용량,0.802,542708.2143,3901057.79,13.91,증가,7
05,helect,전기 사용량,-0.8366,-8028.2,59073.3,-13.59,감소,4
05,waterCool,수도 사용량,-0.7729,-186914.0714,2102324.21,-8.89,감소,7
05,hwaterCool,수도 사용량,-0.8432,-320.3,1633.2,-19.61,감소,4
06,gas,가스 사용량,0.9184,61074.0714,620259.79,9.85,증가,6
06,hgas,가스 사용량,-0.9988,-99.5,932.83,-10.67,감소,3
06,elect,전기 사용량,0.7833,759858.3571,5466502.5,13.9,증가,7
06,helect,전기 사용량,-0.8605,-8964.6,72346.4,-12.39,감소,4
06,waterCool,수도 사용량,-0.7416,-193558.8214,2195574.75,-8.82,감소,7
06,hwaterCool,수도 사용량,-0.8047,-288.2,1610.8,-17.89,감소,4
07,gas,가스 사용량,0.1914,75259.2857,828072.14,9.09,증가,7
07,hgas,가스 사용량,-0.7809,-788.1,2569.9,-30.67,감소,4
07,elect,전기 사용량,0.3946,586915.2857,7830428.0,7.5,증가,7
07,helect,전기 사용량,-0.8286,-13618.5,90995.0,-14.97,감소,4
07,waterCool,수도 사용량,-0.8907,-195261.1429,2142251.86,-9.11,감소,7
07,hwaterCool,수도 사용량,-0.8466,-300.0,1583.0,-18.95,감소,4
08,gas,가스 사용량,0.9044,77675.5522,460460.43,16.87,증가,5
08,hgas,가스 사용량,-0.9994,-104.0,805.0,-12.92,감소,3
08,elect,전기 사용량,0.82,983209.4643,5488831.75,17.91,증가,7
08,helect,전기 사용량,-0.6731,-7678.2,76586.8,-10.03,감소,4
08,waterCool,수도 사용량,-0.7303,-234423.6071,2323293.25,-10.09,감소,7
08,hwaterCool,수도 사용량,-0.79,-546.6,2095.4,-26.09,감소,4
09,gas,가스 사용량,0.105,36696.2143,1089414.5,3.37,증가,7
09,hgas,가스 사용량,-0.6578,-422.4,2265.0,-18.65,감소,5
09,elect,전기 사용량,0.6772,680306.8571,4651394.0,14.63,증가,7
09,helect,전기 사용량,0.1138,1184.1,44429.6,2.67,증가,5
09,waterCool,수도 사용량,-0.8567,-218215.6071,2201900.25,-9.91,감소,7
09,hwaterCool,수도 사용량,-0.4031,-109.4,1308.8,-8.36,감소,5
10,gas,가스 사용량,0.3334,88705.0,1157132.86,7.67,증가,7
10,hgas,가스 사용량,-0.5682,-306.4,2402.6,-12.75,감소,5
10,elect,전기 사용량,0.7936,454849.3571,3668963.5,12.4,증가,7
10,helect,전기 사용량,0.1665,1205.1,34507.0,3.49,증가,5
10,waterCool,수도 사용량,-0.4871,-176489.0714,1876058.93,-9.41,감소,7
10,hwaterCool,수도 사용량,-0.3052,-78.9,1194.8,-6.6,감소,5
11,gas,가스 사용량,0.3301,165337.6071,3185261.32,5.19,증가,7
11,hgas,가스 사용량,-0.8568,-1054.2,6954.4,-15.16,감소,5
11,elect,전기 사용량,0.8369,358448.2143,3889539.07,9.22,증가,7
11,helect,전기 사용량,-0.7659,-2557.8,44209.0,-5.79,감소,5
11,waterCool,수도 사용량,-0.7442,-177450.4286,1936280.43,-9.16,감소,7
11,hwaterCool,수도 사용량,-0.8551,-251.3,1752.4,-14.34,감소,5
12,gas,가스 사용량,0.5442,416737.9643,3851528.82,10.82,증가,7
12,hgas,가스 사용량,-0.4735,-827.4,8411.4,-9.84,감소,5
12,elect,전기 사용량,0.7717,697010.5714,2091609.0,33.32,증가,8
12,helect,전기 사용량,0.34,2158.3,33533.0,6.44,증가,5
12,waterCool,수도 사용량,-0.6307,-190732.2143,1923310.21,-9.92,감소,7
12,hwaterCool,수도 사용량,-0.2987,-80.6,1197.6,-6.73,감소,5
