month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.9644,1781196.0,9262406.67,19.23,증가,6
01,hheat,난방 사용량,0.3579,3.2571,104.52,3.12,증가,6
01,elect,전기 사용량,0.234,103602.0,6242653.33,1.66,증가,6
01,helect,전기 사용량,0.8507,597.7714,33840.57,1.77,증가,6
01,waterCool,수도 사용량,0.8416,69703.7143,2050045.71,3.4,증가,6
01,hwaterCool,수도 사용량,-0.4745,-13.8571,2071.48,-0.67,감소,6
02,heat,난방 사용량,0.9462,1067673.0,7854702.0,13.59,증가,5
02,hheat,난방 사용량,-0.3478,-3.5429,96.97,-3.65,감소,4
02,elect,전기 사용량,0.0759,43374.0,6361542.0,0.68,증가,5
02,helect,전기 사용량,0.9196,816.2571,33043.17,2.47,증가,4
02,waterCool,수도 사용량,0.7009,83582.0,2080526.0,4.02,증가,5
02,hwaterCool,수도 사용량,-0.8905,-41.9143,2074.06,-2.02,감소,4
03,heat,난방 사용량,0.8447,935746.0,5854166.0,15.98,증가,5
03,hheat,난방 사용량,0.2102,2.4,38.6,6.22,증가,5
03,elect,전기 사용량,-0.0217,-10773.0,5363566.0,-0.2,감소,5
03,helect,전기 사용량,-0.371,-132.3,32008.2,-0.41,감소,5
03,waterCool,수도 사용량,0.6434,54305.0,1972504.0,2.75,증가,5
03,hwaterCool,수도 사용량,-0.9709,-57.2,2115.0,-2.7,감소,5
04,heat,난방 사용량,0.4306,141739.0,4263634.0,3.32,증가,5
04,hheat,난방 사용량,-0.5657,-3.2,19.4,-16.49,감소,5
04,elect,전기 사용량,0.1542,59922.0,5446736.0,1.1,증가,5
04,helect,전기 사용량,0.2365,232.4,32212.8,0.72,증가,5
04,waterCool,수도 사용량,0.8578,101379.0,2035174.0,4.98,증가,5
04,hwaterCool,수도 사용량,-0.8853,-38.9,2134.2,-1.82,감소,5
05,heat,난방 사용량,0.853,230390.0,2704664.0,8.52,증가,5
05,hheat,난방 사용량,-0.8783,-0.2571,1.83,-14.06,감소,4
05,elect,전기 사용량,0.2731,106303.0,4942980.0,2.15,증가,5
05,helect,전기 사용량,0.0448,12.8,31366.6,0.04,증가,5
05,waterCool,수도 사용량,0.7951,86421.0,2029634.0,4.26,증가,5
05,hwaterCool,수도 사용량,-0.9249,-40.9,2128.4,-1.92,감소,5
06,heat,난방 사용량,0.8131,198367.0,1885524.0,10.52,증가,5
06,elect,전기 사용량,0.6038,198890.0,5257612.0,3.78,증가,5
06,helect,전기 사용량,-0.659,-351.7429,34018.17,-1.03,감소,4
06,waterCool,수도 사용량,0.9022,98997.0,2098694.0,4.72,증가,5
06,hwaterCool,수도 사용량,-0.7864,-6.5714,2082.29,-0.32,감소,4
07,heat,난방 사용량,0.8605,223886.0,1701720.0,13.16,증가,5
07,elect,전기 사용량,0.8471,505277.0,6228874.0,8.11,증가,5
07,helect,전기 사용량,0.2043,463.2,36817.8,1.26,증가,5
07,waterCool,수도 사용량,0.9085,94675.0,2079122.0,4.55,증가,5
07,hwaterCool,수도 사용량,-0.9811,-45.9,2205.8,-2.08,감소,5
08,heat,난방 사용량,0.7827,133924.0,1721284.0,7.78,증가,5
08,elect,전기 사용량,0.6932,872126.0,7673930.0,11.36,증가,5
08,helect,전기 사용량,0.6075,1687.7,50323.0,3.35,증가,5
08,waterCool,수도 사용량,0.902,104446.0,2129232.0,4.91,증가,5
08,hwaterCool,수도 사용량,-0.5366,-26.6,2244.8,-1.18,감소,5
09,heat,난방 사용량,0.6777,111916.0,1881456.0,5.95,증가,5
09,elect,전기 사용량,0.7359,896914.0,7410172.0,12.1,증가,5
09,helect,전기 사용량,0.9583,5800.7,40081.2,14.47,증가,4
09,waterCool,수도 사용량,0.9208,58939.0,2179708.0,2.7,증가,5
09,hwaterCool,수도 사용량,-0.9593,-54.7,2176.3,-2.51,감소,4
10,heat,난방 사용량,0.3561,128592.0,3685926.0,3.49,증가,5
10,hheat,난방 사용량,-0.9165,-4.2,16.8,-25.0,감소,4
10,elect,전기 사용량,0.9225,814578.0,4709046.0,17.3,증가,5
10,helect,전기 사용량,0.908,2760.4,32448.9,8.51,증가,4
10,waterCool,수도 사용량,0.9504,89546.0,2034616.0,4.4,증가,5
10,hwaterCool,수도 사용량,-0.7499,-41.2,2097.3,-1.96,감소,4
11,heat,난방 사용량,0.876,874408.0,5638120.0,15.51,증가,5
11,hheat,난방 사용량,-0.766,-15.7,93.2,-16.85,감소,5
11,elect,전기 사용량,0.609,248013.0,4927504.0,5.03,증가,5
11,helect,전기 사용량,0.8947,344.8,32044.2,1.08,증가,5
11,waterCool,수도 사용량,0.8898,77598.0,2104676.0,3.69,증가,5
11,hwaterCool,수도 사용량,-0.8186,-22.5,2099.4,-1.07,감소,5
12,heat,난방 사용량,0.8836,1935406.0,9604468.0,20.15,증가,5
12,hheat,난방 사용량,-0.4804,-6.0,122.0,-4.92,감소,4
12,elect,전기 사용량,0.4266,221826.0,5149562.0,4.31,증가,5
12,helect,전기 사용량,0.9949,570.9,32380.4,1.76,증가,4
12,waterCool,수도 사용량,0.9347,71682.0,2035018.0,3.52,증가,5
12,hwaterCool,수도 사용량,-0.8549,-58.4,2094.1,-2.79,감소,4
