month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.9387,2955488.6429,42382473.21,6.97,증가,7
01,helect,전기 사용량,0.2237,919.0,195305.86,0.47,증가,7
01,waterCool,수도 사용량,0.939,405655.7143,8495582.86,4.77,증가,7
01,hwaterCool,수도 사용량,-0.6156,-141.5,9826.07,-1.44,감소,7
02,elect,전기 사용량,0.7595,1770258.1143,39885795.71,4.44,증가,6
02,helect,전기 사용량,-0.7198,-3510.3143,192979.29,-1.82,감소,6
02,waterCool,수도 사용량,0.9288,408492.2857,8445454.29,4.84,증가,6
02,hwaterCool,수도 사용량,-0.3257,-81.4,9649.67,-0.84,감소,6
03,elect,전기 사용량,0.8029,5810963.7857,20139643.36,28.85,증가,7
03,helect,전기 사용량,-0.6458,-45454.6211,395306.63,-11.5,감소,6
03,waterCool,수도 사용량,0.8176,1090065.0,5068487.86,21.51,증가,7
03,hwaterCool,수도 사용량,0.6367,743.0311,5115.07,14.53,증가,6
04,elect,전기 사용량,0.8871,2302878.8929,30826821.32,7.47,증가,7
04,helect,전기 사용량,-0.1928,-466.0571,180374.48,-0.26,감소,6
04,waterCool,수도 사용량,0.8368,827941.7857,6576018.93,12.59,증가,7
04,hwaterCool,수도 사용량,-0.7162,-272.7143,10180.95,-2.68,감소,6
05,elect,전기 사용량,0.9601,2981899.4286,30109651.57,9.9,증가,7
05,helect,전기 사용량,0.6298,9072.2143,141898.93,6.39,증가,7
05,waterCool,수도 사용량,0.9232,846961.0714,6938449.64,12.21,증가,7
05,hwaterCool,수도 사용량,-0.6493,-128.7714,9618.43,-1.34,감소,6
06,elect,전기 사용량,0.9516,5055965.0357,33168389.32,15.24,증가,7
06,helect,전기 사용량,0.7399,16266.75,138451.89,11.75,증가,7
06,waterCool,수도 사용량,0.7861,547042.1429,7897805.0,6.93,증가,7
06,hwaterCool,수도 사용량,-0.6027,-110.1143,9767.29,-1.13,감소,6
07,elect,전기 사용량,0.9041,9398241.8214,37713798.96,24.92,증가,7
07,helect,전기 사용량,0.8142,34901.3214,138021.75,25.29,증가,7
07,waterCool,수도 사용량,0.9306,574222.8571,8014462.86,7.16,증가,7
07,hwaterCool,수도 사용량,0.5563,895.6071,5598.75,16.0,증가,7
08,elect,전기 사용량,0.8787,9117561.0357,48297627.32,18.88,증가,7
08,helect,전기 사용량,0.8894,17406.2286,254103.76,6.85,증가,6
08,waterCool,수도 사용량,0.8066,1293357.1429,5202631.43,24.86,증가,7
08,hwaterCool,수도 사용량,-0.8373,-216.8571,9989.48,-2.17,감소,6
09,elect,전기 사용량,0.5094,3340767.2857,44690407.29,7.48,증가,7
09,helect,전기 사용량,0.0371,793.6857,229656.62,0.35,증가,6
09,waterCool,수도 사용량,0.8723,559103.9286,8155589.64,6.86,증가,7
09,hwaterCool,수도 사용량,-0.8785,-184.4,10018.0,-1.84,감소,6
10,elect,전기 사용량,0.8434,3326495.7143,29690318.71,11.2,증가,7
10,helect,전기 사용량,-0.8018,-2648.1714,191823.1,-1.38,감소,6
10,waterCool,수도 사용량,0.9512,537307.8571,7781847.86,6.9,증가,7
10,hwaterCool,수도 사용량,-0.7755,-100.0286,9432.9,-1.06,감소,6
11,elect,전기 사용량,-0.4708,-2516392.7143,59471252.86,-4.23,감소,7
11,helect,전기 사용량,-0.344,-10807.1071,237614.18,-4.55,감소,7
11,waterCool,수도 사용량,-0.3207,-398902.5,12027491.79,-3.32,감소,7
11,hwaterCool,수도 사용량,-0.2737,-38.1786,9485.54,-0.4,감소,7
12,elect,전기 사용량,0.0876,281834.8929,52054034.61,0.54,증가,7
12,helect,전기 사용량,0.4056,2608.7143,187318.57,1.39,증가,7
12,waterCool,수도 사용량,-0.3784,-452121.0714,11984726.07,-3.77,감소,7
12,hwaterCool,수도 사용량,-0.3866,-54.2857,9211.29,-0.59,감소,7
