month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.9289,1355898.2143,18657015.0,7.27,증가,8
01,helect,전기 사용량,0.2174,1850.9286,86802.5,2.13,증가,8
01,waterCool,수도 사용량,0.771,235035.8333,4052188.33,5.8,증가,8
01,hwaterCool,수도 사용량,0.0772,38.4286,4543.5,0.85,증가,8
02,elect,전기 사용량,0.7573,683114.1667,17511354.17,3.9,증가,8
02,helect,전기 사용량,-0.0607,-2945.5119,132274.42,-2.23,감소,8
02,waterCool,수도 사용량,0.7147,204463.3333,4337433.33,4.71,증가,8
02,hwaterCool,수도 사용량,-0.0405,-54.1905,5665.42,-0.96,감소,8
03,elect,전기 사용량,0.9819,1287252.8571,15003031.43,8.58,증가,7
03,helect,전기 사용량,0.3558,2275.8929,79920.32,2.85,증가,7
03,waterCool,수도 사용량,0.8159,175673.9286,3880245.36,4.53,증가,7
03,hwaterCool,수도 사용량,0.3078,40.4286,3984.86,1.01,증가,7
04,elect,전기 사용량,0.7051,538715.7143,14659950.0,3.67,증가,7
04,helect,전기 사용량,0.1539,906.5714,79562.86,1.14,증가,7
04,waterCool,수도 사용량,0.923,224089.2857,4280382.14,5.24,증가,7
04,hwaterCool,수도 사용량,0.286,30.1786,4430.32,0.68,증가,7
05,elect,전기 사용량,0.7416,706443.9286,15091088.21,4.68,증가,7
05,helect,전기 사용량,0.2139,1425.2143,79877.79,1.78,증가,7
05,waterCool,수도 사용량,0.7064,164887.5,4382944.64,3.76,증가,7
05,hwaterCool,수도 사용량,-0.0276,-2.5714,4390.14,-0.06,감소,7
06,elect,전기 사용량,0.8771,1206400.3571,17098417.5,7.06,증가,7
06,helect,전기 사용량,0.2062,1882.8571,92828.14,2.03,증가,7
06,waterCool,수도 사용량,0.8494,138880.3571,4719291.79,2.94,증가,7
06,hwaterCool,수도 사용량,-0.0962,-11.9286,4660.79,-0.26,감소,7
07,elect,전기 사용량,0.8276,2518162.1429,19741735.0,12.76,증가,7
07,helect,전기 사용량,0.7111,7858.8929,97670.32,8.05,증가,7
07,waterCool,수도 사용량,0.7891,121424.2857,4769815.71,2.55,증가,7
07,hwaterCool,수도 사용량,-0.1325,-9.8571,4539.86,-0.22,감소,7
08,elect,전기 사용량,0.62,2147553.9286,25975349.64,8.27,증가,7
08,helect,전기 사용량,0.4063,3133.5357,132128.11,2.37,증가,7
08,waterCool,수도 사용량,0.8638,167105.0,4715853.57,3.54,증가,7
08,hwaterCool,수도 사용량,-0.0795,-6.7857,4660.5,-0.15,감소,7
09,elect,전기 사용량,0.8605,2188593.5714,15047226.43,14.54,증가,7
09,helect,전기 사용량,0.8369,4335.6786,80336.11,5.4,증가,7
09,waterCool,수도 사용량,0.7342,185282.8571,4708728.57,3.93,증가,7
09,hwaterCool,수도 사용량,0.0554,5.2857,4598.43,0.11,증가,7
10,elect,전기 사용량,0.8754,1225816.7857,13982625.36,8.77,증가,7
10,helect,전기 사용량,0.075,430.4286,82443.86,0.52,증가,7
10,waterCool,수도 사용량,0.5055,76268.2143,4861365.36,1.57,증가,7
10,hwaterCool,수도 사용량,-0.2082,-73.6429,4857.36,-1.52,감소,7
11,elect,전기 사용량,0.8488,2538201.5476,6421225.83,39.53,증가,8
11,helect,전기 사용량,0.5148,5734.4467,55287.85,10.37,증가,7
11,waterCool,수도 사용량,0.7728,669886.5476,1778645.83,37.66,증가,8
11,hwaterCool,수도 사용량,0.4202,277.6352,3143.69,8.83,증가,7
12,elect,전기 사용량,0.8942,1953185.9524,14500109.17,13.47,증가,8
12,helect,전기 사용량,0.3517,3353.3095,77607.67,4.32,증가,8
12,waterCool,수도 사용량,0.6559,277938.5714,3612775.0,7.69,증가,8
12,hwaterCool,수도 사용량,0.321,140.0357,3791.25,3.69,증가,8
