month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.9082,3235684.4167,30018787.17,10.78,증가,8
01,helect,전기 사용량,-0.7885,-9910.0595,213040.08,-4.65,감소,8
01,waterCool,수도 사용량,0.9259,315844.6429,6837112.5,4.62,증가,8
01,hwaterCool,수도 사용량,-0.151,-20.6786,7715.5,-0.27,감소,8
02,elect,전기 사용량,0.8122,1912925.1786,27177936.25,7.04,증가,8
02,helect,전기 사용량,-0.752,-11224.1548,206264.17,-5.44,감소,8
02,waterCool,수도 사용량,0.7518,347240.3571,6535647.5,5.31,증가,8
02,hwaterCool,수도 사용량,-0.4351,-55.8214,7798.25,-0.72,감소,8
03,elect,전기 사용량,0.7568,1273963.8214,24738958.39,5.15,증가,7
03,helect,전기 사용량,-0.8712,-6980.1071,190128.75,-3.67,감소,7
03,waterCool,수도 사용량,0.6775,336609.2857,6691502.14,5.03,증가,7
03,hwaterCool,수도 사용량,-0.4705,-96.9643,7542.89,-1.29,감소,7
04,elect,전기 사용량,0.7454,1123513.4286,22105671.57,5.08,증가,7
04,helect,전기 사용량,-0.559,-3479.9286,162178.07,-2.15,감소,7
04,waterCool,수도 사용량,0.8686,340786.4286,6972619.29,4.89,증가,7
04,hwaterCool,수도 사용량,-0.2977,-37.3929,7904.61,-0.47,감소,7
05,elect,전기 사용량,0.8416,1418527.9643,21755582.39,6.52,증가,7
05,helect,전기 사용량,-0.4486,-1674.6786,157607.75,-1.06,감소,7
05,waterCool,수도 사용량,0.2819,130132.5,7094972.5,1.83,증가,7
05,hwaterCool,수도 사용량,-0.2284,-34.25,7624.61,-0.45,감소,7
06,elect,전기 사용량,0.8748,2416048.6786,23558813.68,10.26,증가,7
06,helect,전기 사용량,0.2129,991.4286,163439.29,0.61,증가,7
06,waterCool,수도 사용량,0.8988,358201.7857,7048787.5,5.08,증가,7
06,hwaterCool,수도 사용량,-0.4454,-83.2857,8120.29,-1.03,감소,7
07,elect,전기 사용량,0.882,5495873.0357,24930570.04,22.04,증가,7
07,helect,전기 사용량,0.4546,6420.25,207782.82,3.09,증가,7
07,waterCool,수도 사용량,0.881,211564.2857,7636084.29,2.77,증가,7
07,hwaterCool,수도 사용량,-0.957,-144.9643,8423.32,-1.72,감소,7
08,elect,전기 사용량,0.8031,4612656.0357,35781207.04,12.89,증가,7
08,helect,전기 사용량,-0.8029,-13783.9286,291708.5,-4.73,감소,7
08,waterCool,수도 사용량,0.9827,305078.2143,7330249.64,4.16,증가,7
08,hwaterCool,수도 사용량,-0.6227,-83.0,8299.57,-1.0,감소,7
09,elect,전기 사용량,0.771,3544686.5714,22446972.29,15.79,증가,7
09,helect,전기 사용량,0.038,466.4286,175553.86,0.27,증가,7
09,waterCool,수도 사용량,0.9223,167713.5714,8093302.14,2.07,증가,7
09,hwaterCool,수도 사용량,-0.6456,-177.8929,8638.39,-2.06,감소,7
10,elect,전기 사용량,0.4471,765571.3214,25543429.04,3.0,증가,7
10,helect,전기 사용량,-0.6009,-12789.2143,206259.07,-6.2,감소,7
10,waterCool,수도 사용량,0.9095,176076.7857,7799482.5,2.26,증가,7
10,hwaterCool,수도 사용량,-0.7189,-137.6786,8058.04,-1.71,감소,7
11,elect,전기 사용량,0.8089,1310435.131,21865080.42,5.99,증가,8
11,helect,전기 사용량,-0.6423,-3433.131,169757.83,-2.02,감소,8
11,waterCool,수도 사용량,0.8625,314124.1667,6155114.17,5.1,증가,8
11,hwaterCool,수도 사용량,0.191,32.4524,7288.17,0.45,증가,8
12,elect,전기 사용량,0.8835,2801447.2024,26970942.67,10.39,증가,8
12,helect,전기 사용량,-0.6725,-5538.3452,193149.58,-2.87,감소,8
12,waterCool,수도 사용량,0.9345,283113.9286,6680760.0,4.24,증가,8
12,hwaterCool,수도 사용량,-0.2968,-39.5595,7568.33,-0.52,감소,8
