month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.898,3615639.5595,67238762.67,5.38,증가,8
01,helect,전기 사용량,0.5252,3990.7143,345237.0,1.16,증가,8
01,waterCool,수도 사용량,0.7464,831297.619,19166110.83,4.34,증가,8
01,hwaterCool,수도 사용량,0.0039,1.1548,21621.83,0.01,증가,8
02,elect,전기 사용량,0.7856,3231886.25,52449807.5,6.16,증가,8
02,helect,전기 사용량,0.7409,6568.2143,294963.25,2.23,증가,8
02,waterCool,수도 사용량,0.8683,694946.4286,20663727.5,3.36,증가,8
02,hwaterCool,수도 사용량,-0.214,-93.6071,22068.0,-0.42,감소,8
03,elect,전기 사용량,0.8688,4792866.0714,43490960.0,11.02,증가,8
03,helect,전기 사용량,0.671,25282.7976,220345.83,11.47,증가,8
03,waterCool,수도 사용량,0.8214,2078668.0952,12204829.17,17.03,증가,8
03,hwaterCool,수도 사용량,0.589,1390.0714,13308.0,10.45,증가,8
04,elect,전기 사용량,0.8352,3571829.5238,41878624.17,8.53,증가,8
04,helect,전기 사용량,0.6679,17773.5714,236207.75,7.52,증가,8
04,waterCool,수도 사용량,0.9004,2563751.7857,12793877.5,20.04,증가,8
04,hwaterCool,수도 사용량,0.5483,1112.2143,16349.75,6.8,증가,8
05,elect,전기 사용량,0.8589,3513226.25,43953436.0,7.99,증가,8
05,helect,전기 사용량,0.7161,13852.7857,268182.5,5.17,증가,8
05,waterCool,수도 사용량,0.8016,1855606.7857,15940220.0,11.64,증가,8
05,hwaterCool,수도 사용량,0.4689,694.7143,18518.0,3.75,증가,8
06,elect,전기 사용량,0.8492,5143138.9881,49661281.67,10.36,증가,8
06,helect,전기 사용량,0.8327,18896.9286,285944.25,6.61,증가,8
06,waterCool,수도 사용량,0.9384,2132995.9524,17084859.17,12.48,증가,8
06,hwaterCool,수도 사용량,0.4854,531.6786,20236.5,2.63,증가,8
07,elect,전기 사용량,0.5232,5854963.7976,84381729.08,6.94,증가,8
07,helect,전기 사용량,0.6135,21295.1071,426537.5,4.99,증가,8
07,waterCool,수도 사용량,0.9693,1557604.0476,17238770.83,9.04,증가,8
07,hwaterCool,수도 사용량,0.4412,367.9762,20436.33,1.8,증가,8
08,elect,전기 사용량,0.8202,11200353.1429,74224110.5,15.09,증가,8
08,helect,전기 사용량,0.7786,32231.9048,456115.58,7.07,증가,8
08,waterCool,수도 사용량,0.9168,1681440.7143,19313742.5,8.71,증가,8
08,hwaterCool,수도 사용량,0.4574,320.1548,21328.83,1.5,증가,8
09,elect,전기 사용량,0.8429,8795015.9405,39998708.83,21.99,증가,8
09,helect,전기 사용량,0.9411,25969.25,270822.5,9.59,증가,8
09,waterCool,수도 사용량,0.918,1331754.1667,19744414.17,6.74,증가,8
09,hwaterCool,수도 사용량,0.5476,355.9524,21241.17,1.68,증가,8
10,elect,전기 사용량,0.884,3130310.75,48934751.0,6.4,증가,8
10,helect,전기 사용량,0.6992,7268.6905,297542.83,2.44,증가,8
10,waterCool,수도 사용량,0.8063,1302314.1667,18535834.17,7.03,증가,8
10,hwaterCool,수도 사용량,0.1161,54.0714,20681.75,0.26,증가,8
11,elect,전기 사용량,0.6371,2012734.25,55356029.0,3.64,증가,8
11,helect,전기 사용량,0.7412,5743.1548,304975.33,1.88,증가,8
11,waterCool,수도 사용량,0.9081,1269944.1667,18809321.67,6.75,증가,8
11,hwaterCool,수도 사용량,0.4467,175.0357,21283.75,0.82,증가,8
12,elect,전기 사용량,0.8531,3159460.3929,65689293.5,4.81,증가,8
12,helect,전기 사용량,0.7615,7288.0357,325972.25,2.24,증가,8
12,waterCool,수도 사용량,0.8195,1196485.7143,18276822.5,6.55,증가,8
12,hwaterCool,수도 사용량,0.1846,84.5357,20768.25,0.41,증가,8
