month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,gas,가스 사용량,-0.1574,-8429.7619,370146.67,-2.28,감소,8
01,elect,전기 사용량,0.8873,1934378.8333,38366125.08,5.04,증가,8
01,helect,전기 사용량,0.6951,8708.8571,172689.0,5.04,증가,8
01,waterCool,수도 사용량,0.9052,389907.8571,9431372.5,4.13,증가,8
01,hwaterCool,수도 사용량,-0.1794,-35.2381,10748.83,-0.33,감소,8
02,gas,가스 사용량,-0.1447,-3372.2619,415751.67,-0.81,감소,8
02,elect,전기 사용량,0.7118,2737927.0333,21405824.64,12.79,증가,9
02,helect,전기 사용량,0.8524,16179.0833,112801.67,14.34,증가,9
02,waterCool,수도 사용량,0.6871,673576.0,6486859.33,10.38,증가,9
02,hwaterCool,수도 사용량,0.4495,372.5667,7551.84,4.93,증가,9
03,gas,가스 사용량,-0.1708,-4975.0,360476.43,-1.38,감소,7
03,elect,전기 사용량,-0.0682,-150258.119,38552681.92,-0.39,감소,8
03,helect,전기 사용량,0.4419,4264.0476,178298.33,2.39,증가,8
03,waterCool,수도 사용량,0.8421,266648.6905,10060850.83,2.65,증가,8
03,hwaterCool,수도 사용량,-0.4423,-119.6548,11475.92,-1.04,감소,8
04,gas,가스 사용량,-0.0185,-692.8571,228550.0,-0.3,감소,7
04,elect,전기 사용량,0.8587,1411946.3095,26301731.67,5.37,증가,8
04,helect,전기 사용량,0.8138,9259.9643,138350.0,6.69,증가,8
04,waterCool,수도 사용량,0.8604,518241.0714,8462237.5,6.12,증가,8
04,hwaterCool,수도 사용량,0.4313,198.0,9556.75,2.07,증가,8
05,gas,가스 사용량,0.0081,187.1429,104130.0,0.18,증가,8
05,elect,전기 사용량,0.8467,1487492.869,27215019.83,5.47,증가,8
05,helect,전기 사용량,0.8139,7308.3095,148436.42,4.92,증가,8
05,waterCool,수도 사용량,0.7697,399950.9524,9714164.17,4.12,증가,8
05,hwaterCool,수도 사용량,0.4214,158.1786,10347.75,1.53,증가,8
06,gas,가스 사용량,-0.5916,-2816.1905,41819.17,-6.73,감소,8
06,elect,전기 사용량,0.8843,2126595.131,31883920.67,6.67,증가,8
06,helect,전기 사용량,0.8854,11517.9405,153789.58,7.49,증가,8
06,waterCool,수도 사용량,0.5664,300509.5238,10079014.17,2.98,증가,8
06,hwaterCool,수도 사용량,0.3538,113.869,10459.58,1.09,증가,8
07,gas,가스 사용량,-0.9112,-2265.0,14409.29,-15.72,감소,7
07,elect,전기 사용량,0.3682,2000330.5119,50258915.33,3.98,증가,8
07,helect,전기 사용량,0.6695,13488.381,229151.42,5.89,증가,8
07,waterCool,수도 사용량,0.4036,248097.9762,10750443.33,2.31,증가,8
07,hwaterCool,수도 사용량,0.1736,48.3095,11082.17,0.44,증가,8
08,gas,가스 사용량,-0.4663,-1023.9286,7808.93,-13.11,감소,7
08,elect,전기 사용량,0.7953,5025184.7738,39961263.92,12.58,증가,8
08,helect,전기 사용량,0.7311,18945.1786,219529.75,8.63,증가,8
08,waterCool,수도 사용량,0.908,469561.1905,9372513.33,5.01,증가,8
08,hwaterCool,수도 사용량,0.2076,63.7619,10861.58,0.59,증가,8
09,gas,가스 사용량,-0.6508,-4327.0238,25320.83,-17.09,감소,8
09,elect,전기 사용량,0.8339,3935335.7262,23420839.08,16.8,증가,8
09,helect,전기 사용량,0.819,15470.119,138421.83,11.18,증가,8
09,waterCool,수도 사용량,0.9325,460842.2619,8951013.33,5.15,증가,8
09,hwaterCool,수도 사용량,0.2346,66.2976,10420.83,0.64,증가,8
10,gas,가스 사용량,-0.498,-968.2143,7476.07,-12.95,감소,7
10,elect,전기 사용량,0.8847,1343033.9286,28468422.25,4.72,증가,8
10,helect,전기 사용량,0.7888,7793.75,152069.25,5.13,증가,8
10,waterCool,수도 사용량,0.9659,438188.6905,9166928.33,4.78,증가,8
10,hwaterCool,수도 사용량,0.1926,45.9643,10632.25,0.43,증가,8
11,gas,가스 사용량,-0.224,-805.3571,11264.64,-7.15,감소,7
11,elect,전기 사용량,0.7698,1938720.8929,26675472.5,7.27,증가,8
11,helect,전기 사용량,0.7561,15149.25,117539.75,12.89,증가,8
11,waterCool,수도 사용량,0.77,850082.0238,6698679.17,12.69,증가,8
11,hwaterCool,수도 사용량,0.4982,504.1667,7801.67,6.46,증가,8
12,gas,가스 사용량,-0.54,-9324.5238,150830.83,-6.18,감소,8
12,elect,전기 사용량,0.8456,1725102.2143,37862048.25,4.56,증가,8
12,helect,전기 사용량,0.7675,7305.8571,173550.75,4.21,증가,8
12,waterCool,수도 사용량,0.9525,368431.7857,9247625.0,3.98,증가,8
12,hwaterCool,수도 사용량,-0.0899,-13.0,10555.5,-0.12,감소,8
