month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.8935,3654038.7143,65726533.5,5.56,증가,8
01,helect,전기 사용량,-0.8778,-14223.5714,479116.75,-2.97,감소,8
01,waterCool,수도 사용량,0.9281,883094.6429,17484437.5,5.05,증가,8
01,hwaterCool,수도 사용량,0.4091,105.8571,20664.5,0.51,증가,8
02,elect,전기 사용량,0.8018,6659929.5595,35415955.67,18.8,증가,8
02,helect,전기 사용량,0.2866,11406.0714,309052.5,3.69,증가,8
02,waterCool,수도 사용량,0.7664,2400020.2381,10154149.17,23.64,증가,8
02,hwaterCool,수도 사용량,0.5566,1684.3095,12664.42,13.3,증가,8
03,elect,전기 사용량,0.84,7909812.5238,34671024.17,22.81,증가,8
03,helect,전기 사용량,0.3258,15233.4643,303596.25,5.02,증가,8
03,waterCool,수도 사용량,0.661,2039365.4762,10864520.83,18.77,증가,8
03,hwaterCool,수도 사용량,0.6186,1783.2857,11275.25,15.82,증가,8
04,elect,전기 사용량,0.4095,4023207.7619,43639908.33,9.22,증가,8
04,helect,전기 사용량,0.0133,806.119,354290.08,0.23,증가,8
04,waterCool,수도 사용량,0.752,2288846.6667,11047184.17,20.72,증가,8
04,hwaterCool,수도 사용량,0.6082,1911.2976,12343.58,15.48,증가,8
05,elect,전기 사용량,0.8148,5906054.4009,28633722.67,20.63,증가,8
05,helect,전기 사용량,-0.6153,-633118.0766,4079353.95,-15.52,감소,8
05,waterCool,수도 사용량,0.9326,768953.1148,18572436.56,4.14,증가,7
05,hwaterCool,수도 사용량,-0.6128,-4094.8288,45071.52,-9.09,감소,8
06,elect,전기 사용량,0.8988,7856764.6351,30411562.68,25.83,증가,8
06,helect,전기 사용량,-0.6107,-1166779.1081,7249089.96,-16.1,감소,8
06,waterCool,수도 사용량,0.9091,1018578.2787,17352636.64,5.87,증가,7
06,hwaterCool,수도 사용량,0.2203,85.1844,21689.72,0.39,증가,7
07,elect,전기 사용량,0.8084,11726249.6532,43908615.1,26.71,증가,8
07,helect,전기 사용량,-0.6096,-3919943.2973,23624523.01,-16.59,감소,8
07,waterCool,수도 사용량,0.8233,2310943.8739,8989581.04,25.71,증가,8
07,hwaterCool,수도 사용량,-0.6098,-1208955.8784,7133417.11,-16.95,감소,8
08,elect,전기 사용량,0.8968,14590356.5405,39524094.7,36.92,증가,8
08,helect,전기 사용량,-0.6092,-5700923.5811,34123670.09,-16.71,감소,8
08,waterCool,수도 사용량,0.9234,664715.7787,20013819.14,3.32,증가,7
08,hwaterCool,수도 사용량,0.0321,8.9262,22073.71,0.04,증가,7
09,elect,전기 사용량,0.8853,11676263.4833,13487734.07,86.57,증가,9
09,helect,전기 사용량,-0.6099,-3364735.0991,20202162.67,-16.66,감소,8
09,waterCool,수도 사용량,0.809,2303819.4144,9380648.74,24.56,증가,8
09,hwaterCool,수도 사용량,-0.6099,-2177520.8378,12831126.81,-16.97,감소,8
10,elect,전기 사용량,0.8144,7432555.7333,21054877.18,35.3,증가,9
10,helect,전기 사용량,-0.5466,-3712781.7667,21397341.73,-17.35,감소,9
10,waterCool,수도 사용량,0.7669,2001104.6847,9775050.09,20.47,증가,8
10,hwaterCool,수도 사용량,-0.6098,-1263422.527,7452865.36,-16.95,감소,8
11,elect,전기 사용량,0.4963,3783184.0667,45965908.18,8.23,증가,9
11,helect,전기 사용량,0.0405,1698.7167,344929.36,0.49,증가,9
11,waterCool,수도 사용량,0.7336,1316732.7928,13601330.63,9.68,증가,8
11,hwaterCool,수도 사용량,0.6142,331.3243,19637.62,1.69,증가,8
12,elect,전기 사용량,0.9386,3536734.3,63877209.36,5.54,증가,9
12,helect,전기 사용량,-0.8434,-11056.5,464249.11,-2.38,감소,9
12,waterCool,수도 사용량,0.9755,861840.6667,16283926.22,5.29,증가,9
12,hwaterCool,수도 사용량,0.4151,147.7,19857.42,0.74,증가,9
