month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.8216,1208082.1667,31057616.89,3.89,증가,9
01,helect,전기 사용량,0.7135,2269.5167,157002.93,1.45,증가,9
01,waterCool,수도 사용량,0.9599,441444.5,7359330.89,6.0,증가,9
01,hwaterCool,수도 사용량,-0.1012,-6.7667,8636.29,-0.08,감소,9
02,elect,전기 사용량,0.675,2606358.6485,21060233.38,12.38,증가,10
02,helect,전기 사용량,0.5794,9492.5818,106307.78,8.93,증가,10
02,waterCool,수도 사용량,0.8019,758118.5455,5062832.55,14.97,증가,10
02,hwaterCool,수도 사용량,0.4441,359.4121,6439.55,5.58,증가,10
03,elect,전기 사용량,0.7726,1940031.1333,16366426.58,11.85,증가,9
03,helect,전기 사용량,0.6853,8461.1833,99126.38,8.54,증가,9
03,waterCool,수도 사용량,0.8366,625547.5,5282055.56,11.84,증가,9
03,hwaterCool,수도 사용량,0.5644,330.4667,6305.58,5.24,증가,9
04,elect,전기 사용량,0.8067,1178375.3667,21316914.53,5.53,증가,9
04,helect,전기 사용량,0.6643,5809.3167,120176.07,4.83,증가,9
04,waterCool,수도 사용량,0.9027,646280.3333,6255763.11,10.33,증가,9
04,hwaterCool,수도 사용량,0.5606,270.0667,7472.18,3.61,증가,9
05,elect,전기 사용량,0.7673,883171.3167,20937648.62,4.22,증가,9
05,helect,전기 사용량,0.716,4340.2667,118388.6,3.67,증가,9
05,waterCool,수도 사용량,0.9514,528654.5,6662575.33,7.93,증가,9
05,hwaterCool,수도 사용량,0.4499,128.3,7955.36,1.61,증가,9
06,elect,전기 사용량,0.7372,867844.25,22605553.56,3.84,증가,9
06,helect,전기 사용량,0.7375,4045.1667,127679.44,3.17,증가,9
06,waterCool,수도 사용량,0.9469,555364.6667,7317526.33,7.59,증가,9
06,hwaterCool,수도 사용량,0.4932,102.3667,8512.76,1.2,증가,9
07,elect,전기 사용량,0.6685,1736918.6,24941108.71,6.96,증가,9
07,helect,전기 사용량,0.8992,7826.85,138859.27,5.64,증가,9
07,waterCool,수도 사용량,0.9864,555696.3333,6924273.0,8.03,증가,9
07,hwaterCool,수도 사용량,0.3321,58.05,8460.69,0.69,증가,9
08,elect,전기 사용량,0.4331,1487847.0833,43102711.11,3.45,증가,9
08,helect,전기 사용량,0.5409,7733.7333,209867.29,3.69,증가,9
08,waterCool,수도 사용량,0.952,476457.3333,7533095.11,6.32,증가,9
08,hwaterCool,수도 사용량,0.2664,63.5167,8541.16,0.74,증가,9
09,elect,전기 사용량,0.8057,3767440.0833,19694297.22,19.13,증가,9
09,helect,전기 사용량,0.8152,10075.0,147709.22,6.82,증가,9
09,waterCool,수도 사용량,0.9478,473839.1667,7530293.33,6.29,증가,9
09,hwaterCool,수도 사용량,0.1529,21.4667,8788.69,0.24,증가,9
10,elect,전기 사용량,0.7884,1139867.0833,21197651.0,5.38,증가,9
10,helect,전기 사용량,0.9424,4178.1333,127611.8,3.27,증가,9
10,waterCool,수도 사용량,0.9473,532220.6667,6932416.22,7.68,증가,9
10,hwaterCool,수도 사용량,0.3012,33.7167,8372.36,0.4,증가,9
11,elect,전기 사용량,0.5398,592631.1167,24675694.31,2.4,증가,9
11,helect,전기 사용량,0.6911,1561.7833,142454.31,1.1,증가,9
11,waterCool,수도 사용량,0.964,446833.0,7253489.11,6.16,증가,9
11,hwaterCool,수도 사용량,0.3201,38.0833,8762.33,0.43,증가,9
12,elect,전기 사용량,0.432,473781.5,26991115.22,1.76,증가,9
12,helect,전기 사용량,0.6834,1752.2,147022.98,1.19,증가,9
12,waterCool,수도 사용량,0.9587,456341.8333,6848720.44,6.66,증가,9
12,hwaterCool,수도 사용량,-0.1032,-12.6,8455.29,-0.15,감소,9
