month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.5033,-2462193.7679,149290808.37,-1.65,감소,15
01,helect,전기 사용량,0.7281,19358.8951,452066.91,4.28,증가,12
01,waterCool,수도 사용량,0.9369,777808.7143,17375671.67,4.48,증가,15
01,hwaterCool,수도 사용량,0.2406,48.6189,24220.18,0.2,증가,12
02,elect,전기 사용량,-0.5824,-2932356.6,146717541.53,-2.0,감소,15
02,helect,전기 사용량,0.7131,17059.6189,451932.68,3.77,증가,12
02,waterCool,수도 사용량,0.9243,891856.5714,17116050.0,5.21,증가,15
02,hwaterCool,수도 사용량,0.2795,115.7937,24016.05,0.48,증가,12
03,elect,전기 사용량,-0.583,-2405552.85,110333132.02,-2.18,감소,15
03,helect,전기 사용량,0.7185,16133.0364,395817.45,4.08,증가,11
03,waterCool,수도 사용량,0.9099,812933.4643,15459994.42,5.26,증가,15
03,hwaterCool,수도 사용량,0.6255,331.5727,21427.77,1.55,증가,11
04,elect,전기 사용량,-0.718,-3165701.8132,114662269.71,-2.76,감소,14
04,helect,전기 사용량,0.7073,11984.6727,433292.91,2.77,증가,11
04,waterCool,수도 사용량,0.9353,785524.2198,18162319.71,4.33,증가,14
04,hwaterCool,수도 사용량,0.1799,58.0727,24692.0,0.24,증가,11
05,elect,전기 사용량,-0.6654,-2519902.4286,103948420.0,-2.42,감소,14
05,helect,전기 사용량,0.7336,11598.8364,414742.09,2.8,증가,11
05,waterCool,수도 사용량,0.9526,749948.8571,17403030.29,4.31,증가,14
05,hwaterCool,수도 사용량,0.5967,121.3273,23528.82,0.52,증가,11
06,elect,전기 사용량,-0.4979,-2287334.0571,125981145.0,-1.82,감소,15
06,helect,전기 사용량,0.7967,17597.9545,454486.23,3.87,증가,11
06,waterCool,수도 사용량,0.9378,824413.5357,17519916.58,4.71,증가,15
06,hwaterCool,수도 사용량,0.5137,149.6273,24607.95,0.61,증가,11
07,elect,전기 사용량,-0.409,-2341732.9,159058366.03,-1.47,감소,15
07,helect,전기 사용량,0.8321,29382.7364,518771.59,5.66,증가,11
07,waterCool,수도 사용량,0.9428,754065.4286,17292583.33,4.36,증가,15
07,hwaterCool,수도 사용량,0.5799,143.5273,23893.18,0.6,증가,11
08,elect,전기 사용량,-0.4878,-5133888.7571,233397159.63,-2.2,감소,15
08,helect,전기 사용량,0.822,36897.5818,635749.73,5.8,증가,11
08,waterCool,수도 사용량,0.9427,815379.5357,17056702.58,4.78,증가,15
08,hwaterCool,수도 사용량,0.6733,193.0455,23698.86,0.81,증가,11
09,elect,전기 사용량,-0.1503,-951261.8,131177164.33,-0.73,감소,15
09,helect,전기 사용량,0.8584,33658.9909,434570.32,7.75,증가,11
09,waterCool,수도 사용량,0.9577,757984.5357,17408182.92,4.35,증가,15
09,hwaterCool,수도 사용량,0.5985,185.5818,23869.91,0.78,증가,11
10,elect,전기 사용량,-0.6326,-2166141.0,104254731.0,-2.08,감소,15
10,helect,전기 사용량,0.7809,13612.9273,409177.18,3.33,증가,11
10,waterCool,수도 사용량,0.9564,802869.7857,16491379.5,4.87,증가,15
10,hwaterCool,수도 사용량,0.6458,196.5273,23000.18,0.85,증가,11
11,elect,전기 사용량,-0.7201,-3318038.6393,121370152.01,-2.73,감소,15
11,helect,전기 사용량,0.7284,14050.013,421228.13,3.34,증가,10
11,waterCool,수도 사용량,0.9404,799875.9643,17111500.25,4.67,증가,15
11,hwaterCool,수도 사용량,0.488,163.6342,24010.68,0.68,증가,10
12,elect,전기 사용량,-0.4867,-2643854.6286,131343595.27,-2.01,감소,15
12,helect,전기 사용량,0.7452,20658.9364,427767.05,4.83,증가,11
12,waterCool,수도 사용량,0.9551,841453.5357,15698716.58,5.36,증가,15
12,hwaterCool,수도 사용량,0.451,125.5364,23500.95,0.53,증가,11
