month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.081,-79555.4607,14771988.29,-0.54,감소,15
01,helect,전기 사용량,-0.5293,-2318.2333,124602.93,-1.86,감소,9
01,waterCool,수도 사용량,0.6466,147807.4135,9209325.09,1.6,증가,14
01,hwaterCool,수도 사용량,-0.7014,-129.0333,12683.13,-1.02,감소,9
02,elect,전기 사용량,-0.0672,-66195.3036,14456126.86,-0.46,감소,15
02,helect,전기 사용량,-0.5265,-2559.0667,123729.49,-2.07,감소,9
03,elect,전기 사용량,-0.2588,-231465.3648,12624076.8,-1.83,감소,14
03,helect,전기 사용량,-0.8357,-6673.0571,117801.14,-5.66,감소,6
03,waterCool,수도 사용량,0.8173,125377.8502,9055238.23,1.38,증가,13
03,hwaterCool,수도 사용량,-0.4466,-147.2571,11054.48,-1.33,감소,6
04,elect,전기 사용량,-0.2247,-219827.589,13548287.69,-1.62,감소,14
04,helect,전기 사용량,-0.5572,-2695.1786,116229.5,-2.32,감소,8
05,elect,전기 사용량,-0.2063,-227083.7385,12169641.23,-1.87,감소,14
05,helect,전기 사용량,0.411,3980.8593,71734.85,5.55,증가,8
05,waterCool,수도 사용량,0.5394,66576.8127,10296467.92,0.65,증가,12
05,hwaterCool,수도 사용량,-0.9177,-173.127,12527.06,-1.38,감소,7
06,elect,전기 사용량,-0.2169,-200042.4923,12966618.2,-1.54,감소,14
06,helect,전기 사용량,0.4093,3932.5792,80414.74,4.89,증가,9
07,elect,전기 사용량,-0.1734,-158346.356,13548533.6,-1.17,감소,14
07,helect,전기 사용량,-0.4826,-1459.8833,119353.53,-1.22,감소,9
07,waterCool,수도 사용량,0.4991,53951.8287,11454493.57,0.47,증가,12
07,hwaterCool,수도 사용량,-0.9119,-319.5754,13868.35,-2.3,감소,8
08,elect,전기 사용량,0.0328,38417.0154,14082756.54,0.27,증가,14
08,helect,전기 사용량,0.085,424.55,135249.24,0.31,증가,9
09,elect,전기 사용량,-0.05,-51595.3857,13283857.9,-0.39,감소,15
09,helect,전기 사용량,0.1651,630.8167,108077.07,0.58,증가,9
09,waterCool,수도 사용량,0.8008,135338.4093,10704470.65,1.26,증가,14
09,hwaterCool,수도 사용량,-0.8367,-267.8,14078.98,-1.9,감소,9
10,elect,전기 사용량,-0.1234,-120450.7214,11306554.45,-1.07,감소,15
10,helect,전기 사용량,-0.8898,-4817.6786,114927.46,-4.19,감소,7
11,elect,전기 사용량,-0.1586,-160299.5536,12418266.07,-1.29,감소,15
11,helect,전기 사용량,-0.5499,-758694.85,4400564.29,-17.24,감소,9
11,waterCool,수도 사용량,0.3403,220066.1276,8278985.99,2.66,증가,13
11,hwaterCool,수도 사용량,-0.7517,-144.9643,12600.46,-1.15,감소,7
12,elect,전기 사용량,-0.0256,-27007.3179,12165477.62,-0.22,감소,15
12,helect,전기 사용량,-0.5159,-2252.6333,115982.76,-1.94,감소,9
