month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,gas,가스 사용량,-0.3169,-8702.8894,397839.2,-2.19,감소,15
01,hgas,가스 사용량,0.9728,5048.6774,-4285.61,-117.81,증가,4
01,elect,전기 사용량,-0.7404,-737185.2235,32518455.18,-2.27,감소,16
01,helect,전기 사용량,-0.5585,-3415.8147,158044.23,-2.16,감소,12
01,waterCool,수도 사용량,0.8454,192348.8235,5320241.32,3.62,증가,16
01,hwaterCool,수도 사용량,-0.207,-23.3497,7717.09,-0.3,감소,12
02,gas,가스 사용량,-0.5056,-17701.2814,520010.66,-3.4,감소,15
02,hgas,가스 사용량,-1.0,-56.0,431.0,-12.99,감소,2
02,elect,전기 사용량,-0.7243,-665747.1882,31439246.54,-2.12,감소,16
02,helect,전기 사용량,-0.3282,-1975.0734,148722.15,-1.33,감소,12
02,waterCool,수도 사용량,0.9699,227825.5147,5377514.26,4.24,증가,16
02,hwaterCool,수도 사용량,-0.4842,-86.9615,8128.54,-1.07,감소,12
03,gas,가스 사용량,0.402,15773.4457,206558.47,7.64,증가,14
03,hgas,가스 사용량,0.9063,52.0,253.0,20.55,증가,3
03,elect,전기 사용량,-0.681,-476642.3321,24758072.86,-1.93,감소,15
03,helect,전기 사용량,-0.5252,-3501.1727,144033.86,-2.43,감소,11
03,waterCool,수도 사용량,0.9647,216718.8929,5678821.75,3.82,증가,15
03,hwaterCool,수도 사용량,-0.3249,-37.7455,8024.45,-0.47,감소,11
04,gas,가스 사용량,0.4131,21666.2174,77936.13,27.8,증가,14
04,hgas,가스 사용량,0.843,19.0,71.0,26.76,증가,3
04,elect,전기 사용량,-0.7447,-530075.0393,26314770.81,-2.01,감소,15
04,helect,전기 사용량,-0.5302,-3509.3273,148931.55,-2.36,감소,11
04,waterCool,수도 사용량,0.9476,216847.7857,5006300.17,4.33,증가,15
04,hwaterCool,수도 사용량,-0.4429,-55.5818,7496.18,-0.74,감소,11
05,gas,가스 사용량,0.2853,9789.8678,24533.32,39.9,증가,13
05,hgas,가스 사용량,-0.8897,-9.0,18.33,-49.09,감소,3
05,elect,전기 사용량,-0.6853,-423557.2964,23241307.54,-1.82,감소,15
05,helect,전기 사용량,-0.5785,-3499.4364,140276.64,-2.49,감소,11
05,waterCool,수도 사용량,0.9176,235931.2143,5683834.83,4.15,증가,15
05,hwaterCool,수도 사용량,-0.1638,-25.4727,8215.82,-0.31,감소,11
06,gas,가스 사용량,0.3225,5776.2446,-15633.35,-36.95,증가,14
06,hgas,가스 사용량,-1.0,-1.0,5.0,-20.0,감소,3
06,elect,전기 사용량,-0.6934,-488373.5179,24647390.23,-1.98,감소,15
06,helect,전기 사용량,-0.57,-3479.9909,143740.05,-2.42,감소,11
06,waterCool,수도 사용량,0.9312,231175.2857,5731741.67,4.03,증가,15
06,hwaterCool,수도 사용량,0.102,73.4818,8421.14,0.87,증가,11
07,gas,가스 사용량,0.3763,6856.0501,-22405.12,-30.6,증가,13
07,hgas,가스 사용량,-0.866,-0.5,2.83,-17.65,감소,3
07,elect,전기 사용량,-0.4139,-347659.7357,25715503.48,-1.35,감소,15
07,helect,전기 사용량,-0.15,-1039.0455,144581.77,-0.72,감소,11
07,waterCool,수도 사용량,0.8693,256231.0,6218892.33,4.12,증가,15
07,hwaterCool,수도 사용량,-0.6796,-121.4909,9171.45,-1.32,감소,11
08,gas,가스 사용량,-0.4626,-237.8092,5447.55,-4.37,감소,12
08,hgas,가스 사용량,-0.7206,-1.5,6.17,-24.32,감소,3
08,elect,전기 사용량,-0.1224,-181233.9821,37489851.54,-0.48,감소,15
08,helect,전기 사용량,0.1536,1399.4727,183141.82,0.76,증가,11
08,waterCool,수도 사용량,0.935,282413.7857,5846945.5,4.83,증가,15
08,hwaterCool,수도 사용량,-0.6236,-85.8455,8795.77,-0.98,감소,11
09,gas,가스 사용량,-0.5918,-165.3608,4071.16,-4.06,감소,11
09,hgas,가스 사용량,-0.3273,-0.5,3.83,-13.04,감소,3
09,elect,전기 사용량,-0.1226,-196412.7893,26129481.12,-0.75,감소,15
09,helect,전기 사용량,0.0636,352.7273,145505.91,0.24,증가,11
09,waterCool,수도 사용량,0.952,228418.1429,6215604.33,3.67,증가,15
09,hwaterCool,수도 사용량,-0.4607,-58.2455,8807.68,-0.66,감소,11
10,gas,가스 사용량,0.2813,114.8141,1890.14,6.07,증가,11
10,hgas,가스 사용량,-0.5,-0.5,3.5,-14.29,감소,3
10,elect,전기 사용량,-0.5492,-355811.6679,22503597.34,-1.58,감소,15
10,helect,전기 사용량,-0.5137,-2649.6818,133593.5,-1.98,감소,11
10,waterCool,수도 사용량,0.9504,262507.0357,5812873.42,4.52,증가,15
10,hwaterCool,수도 사용량,0.1136,16.4909,8471.73,0.19,증가,11
11,gas,가스 사용량,0.6748,3878.1288,2875.37,134.87,증가,11
11,hgas,가스 사용량,0.9672,16.5,12.5,132.0,증가,3
11,elect,전기 사용량,-0.6952,-465855.8964,25236585.34,-1.85,감소,15
11,helect,전기 사용량,-0.6075,-4015.0182,147886.73,-2.71,감소,11
11,waterCool,수도 사용량,0.8962,228178.3571,5885272.17,3.88,증가,15
11,hwaterCool,수도 사용량,-0.7619,-122.3091,8651.09,-1.41,감소,11
12,gas,가스 사용량,-0.2843,-6201.2449,209879.48,-2.95,감소,13
12,hgas,가스 사용량,-0.2625,-20.5,176.5,-11.61,감소,3
12,elect,전기 사용량,-0.8023,-693092.8309,29581658.79,-2.34,감소,16
12,helect,전기 사용량,-0.6115,-4168.8545,153765.09,-2.71,감소,11
12,waterCool,수도 사용량,0.958,217509.0441,5630572.79,3.86,증가,16
12,hwaterCool,수도 사용량,-0.5754,-67.9182,8373.59,-0.81,감소,11
