month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.6281,-957433.2279,51598310.77,-1.86,감소,16
01,helect,전기 사용량,-0.5494,-4531.6377,279385.46,-1.62,감소,9
01,waterCool,수도 사용량,-0.7375,-77958.9606,1077780.48,-7.23,감소,9
02,elect,전기 사용량,-0.5452,-716865.7429,41901449.2,-1.71,감소,15
02,helect,전기 사용량,-0.5465,-4184.8854,257017.33,-1.63,감소,8
02,waterCool,수도 사용량,-0.7045,-93514.1176,1088052.65,-8.59,감소,11
03,elect,전기 사용량,-0.6359,-990991.1516,45912481.77,-2.16,감소,14
03,helect,전기 사용량,-0.4476,-4119.2959,261628.73,-1.57,감소,9
03,waterCool,수도 사용량,-0.4232,-69301.7896,1577682.81,-4.39,감소,10
04,elect,전기 사용량,-0.5417,-797684.2264,38772208.11,-2.06,감소,14
04,helect,전기 사용량,-0.6449,-4724.2044,246785.49,-1.91,감소,9
04,waterCool,수도 사용량,-0.5556,-123142.8272,1844501.04,-6.68,감소,11
05,elect,전기 사용량,-0.5279,-677831.6022,39069203.06,-1.73,감소,14
05,helect,전기 사용량,-0.6276,-4611.2246,250528.8,-1.84,감소,8
05,waterCool,수도 사용량,-0.5913,-130461.1977,1420500.04,-9.18,감소,8
06,elect,전기 사용량,-0.3594,-438537.3286,38957642.7,-1.13,감소,15
06,helect,전기 사용량,-0.7283,-4481.1906,263464.86,-1.7,감소,7
06,waterCool,수도 사용량,-0.5683,-115827.662,1620930.42,-7.15,감소,11
07,elect,전기 사용량,0.259,708100.2107,37118207.13,1.91,증가,15
07,helect,전기 사용량,0.1784,2015.4807,303683.6,0.66,증가,8
07,waterCool,수도 사용량,-0.62,-116475.4717,1437657.27,-8.1,감소,9
08,elect,전기 사용량,-0.1021,-251293.3786,50217722.32,-0.5,감소,15
08,helect,전기 사용량,0.7241,9921.7726,234412.1,4.23,증가,8
08,waterCool,수도 사용량,-0.5365,-123438.0947,1726977.48,-7.15,감소,14
09,elect,전기 사용량,-0.1113,-179759.0964,36096160.27,-0.5,감소,15
09,helect,전기 사용량,0.289,1917.296,225325.16,0.85,증가,8
09,waterCool,수도 사용량,-0.7059,-91549.4444,1352851.67,-6.77,감소,7
10,elect,전기 사용량,-0.5432,-648675.85,39893602.75,-1.63,감소,15
10,helect,전기 사용량,-0.3683,-1636.3041,229207.22,-0.71,감소,7
10,waterCool,수도 사용량,-0.5933,-74843.5103,1196063.67,-6.26,감소,11
11,elect,전기 사용량,-0.5261,-1043857.6607,46438870.69,-2.25,감소,15
11,helect,전기 사용량,-0.5455,-2472.5463,237754.4,-1.04,감소,9
11,waterCool,수도 사용량,-0.8884,-129215.3746,1528955.92,-8.45,감소,5
12,elect,전기 사용량,-0.5347,-853291.422,47340973.74,-1.8,감소,14
12,helect,전기 사용량,-0.3103,-1332.9537,251049.02,-0.53,감소,8
12,waterCool,수도 사용량,-0.6347,-37389.0924,472961.18,-7.91,감소,7
