month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.3951,-4631.6667,92995.83,-4.98,감소,8
01,elect,전기 사용량,-0.1144,-42978.6786,15419294.75,-0.28,감소,15
01,helect,전기 사용량,-0.2338,-332.0524,68601.71,-0.48,감소,12
01,waterCool,수도 사용량,0.9002,73470.4643,3081180.08,2.38,증가,15
01,hwaterCool,수도 사용량,-0.5589,-46.3671,4201.44,-1.1,감소,12
02,heat,난방 사용량,-0.3248,-3529.7619,90691.67,-3.89,감소,8
02,elect,전기 사용량,0.0001,63.4945,13827785.14,0.0,증가,14
02,helect,전기 사용량,0.009,13.4452,64156.49,0.02,증가,9
02,waterCool,수도 사용량,0.7839,63767.9802,2960176.44,2.15,증가,13
02,hwaterCool,수도 사용량,-0.8728,-83.3903,4282.02,-1.95,감소,9
03,heat,난방 사용량,0.006,37.619,69358.33,0.05,증가,8
03,elect,전기 사용량,-0.0955,-27398.1099,12075234.86,-0.23,감소,14
03,helect,전기 사용량,-0.3754,-859.0455,63442.14,-1.35,감소,11
03,waterCool,수도 사용량,0.7991,81750.5714,3038130.57,2.69,증가,14
03,hwaterCool,수도 사용량,-0.7007,-65.3455,4384.09,-1.49,감소,11
04,heat,난방 사용량,0.6102,3306.6667,51996.67,6.36,증가,8
04,elect,전기 사용량,0.1153,99240.9231,9867922.57,1.01,증가,14
04,helect,전기 사용량,-0.7457,-1262.75,63662.75,-1.98,감소,8
04,waterCool,수도 사용량,0.8768,71596.34,3129346.68,2.29,증가,12
04,hwaterCool,수도 사용량,-0.8112,-95.8452,4300.58,-2.23,감소,8
05,heat,난방 사용량,0.7844,4662.381,45211.67,10.31,증가,8
05,elect,전기 사용량,0.1101,67412.3956,9833139.43,0.69,증가,14
05,helect,전기 사용량,-0.6497,-1706.7403,67790.62,-2.52,감소,9
05,waterCool,수도 사용량,0.8237,87124.007,3207859.34,2.72,증가,13
05,hwaterCool,수도 사용량,-0.7716,-77.8565,4705.19,-1.65,감소,9
06,heat,난방 사용량,0.8663,4368.7319,27102.9,16.12,증가,9
06,elect,전기 사용량,0.3809,243153.9643,9722007.58,2.5,증가,15
06,helect,전기 사용량,-0.4826,-1263.6667,65831.2,-1.92,감소,10
06,waterCool,수도 사용량,0.658,48632.6154,3587226.57,1.36,증가,14
06,hwaterCool,수도 사용량,-0.8763,-99.2242,4702.91,-2.11,감소,10
07,heat,난방 사용량,0.7583,4584.7619,42203.33,10.86,증가,8
07,elect,전기 사용량,0.0849,36067.2967,13533846.86,0.27,증가,14
07,helect,전기 사용량,-0.1904,-323.7186,70257.71,-0.46,감소,10
07,waterCool,수도 사용량,0.8025,68478.4396,3554489.43,1.93,증가,14
07,hwaterCool,수도 사용량,-0.6885,-56.1905,4720.48,-1.19,감소,10
08,heat,난방 사용량,0.7562,4493.0952,42134.17,10.66,증가,8
08,elect,전기 사용량,0.1295,135843.4945,16324285.14,0.83,증가,14
08,helect,전기 사용량,0.6072,2907.7359,70680.61,4.11,증가,10
08,waterCool,수도 사용량,0.6294,50672.7253,3636143.71,1.39,증가,14
08,hwaterCool,수도 사용량,-0.7924,-75.5433,4776.2,-1.58,감소,10
09,heat,난방 사용량,0.7547,4435.119,42250.83,10.5,증가,8
09,elect,전기 사용량,0.2308,206143.3187,11376767.71,1.81,증가,14
09,helect,전기 사용량,0.6264,1574.842,58226.25,2.7,증가,10
09,waterCool,수도 사용량,0.5353,38013.77,3606437.85,1.05,증가,13
09,hwaterCool,수도 사용량,-0.6751,-54.8939,4422.73,-1.24,감소,10
10,heat,난방 사용량,0.7567,4501.3095,42114.17,10.69,증가,8
10,elect,전기 사용량,-0.0153,-9092.75,10594950.58,-0.09,감소,15
10,helect,전기 사용량,0.3635,1509.7879,44651.65,3.38,증가,10
10,waterCool,수도 사용량,0.8712,73092.0538,3182062.62,2.3,증가,14
10,hwaterCool,수도 사용량,-0.7177,-62.2306,4395.24,-1.42,감소,9
11,heat,난방 사용량,0.7632,4613.5714,42095.0,10.96,증가,8
11,elect,전기 사용량,-0.2404,-65796.3214,12590165.58,-0.52,감소,15
11,helect,전기 사용량,-0.5052,-906.0727,63137.93,-1.44,감소,10
11,waterCool,수도 사용량,0.8391,53830.8214,3241639.58,1.66,증가,15
11,hwaterCool,수도 사용량,-0.8285,-77.2788,4360.25,-1.77,감소,10
12,heat,난방 사용량,0.6432,3450.3571,45250.36,7.63,증가,7
12,elect,전기 사용량,0.0061,4031.0357,12762247.42,0.03,증가,15
12,helect,전기 사용량,-0.6193,-1464.5614,67928.04,-2.16,감소,8
12,waterCool,수도 사용량,0.8502,74750.2021,3002905.7,2.49,증가,14
12,hwaterCool,수도 사용량,-0.7212,-70.589,4244.01,-1.66,감소,8
