month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.2909,229630.7964,14367367.16,1.6,증가,15
01,helect,전기 사용량,-0.8214,-1516.5,68890.6,-2.2,감소,5
01,waterCool,수도 사용량,0.9798,119346.288,2404073.47,4.96,증가,14
01,hwaterCool,수도 사용량,-0.9773,-117.1,3496.2,-3.35,감소,5
02,elect,전기 사용량,-0.0864,-64156.2471,15267374.23,-0.42,감소,16
02,helect,전기 사용량,-0.6973,-954.4,58870.0,-1.62,감소,5
02,waterCool,수도 사용량,0.9554,124511.5598,2524913.64,4.93,증가,14
02,hwaterCool,수도 사용량,-0.9347,-117.4,3556.2,-3.3,감소,5
03,elect,전기 사용량,0.3267,228883.6786,11142252.18,2.05,증가,15
03,helect,전기 사용량,-0.8702,-1867.0,63219.0,-2.95,감소,4
03,waterCool,수도 사용량,-0.2745,-311984.6786,6667721.42,-4.68,감소,15
03,hwaterCool,수도 사용량,-0.6139,-80.0,3612.5,-2.21,감소,4
04,elect,전기 사용량,0.3539,284599.2321,9713550.91,2.93,증가,15
04,helect,전기 사용량,-0.9849,-1210.8,57930.7,-2.09,감소,4
04,waterCool,수도 사용량,0.966,108747.823,2356378.56,4.62,증가,14
04,hwaterCool,수도 사용량,-0.961,-113.7,3227.3,-3.52,감소,4
05,elect,전기 사용량,0.1584,38179.5107,12608474.69,0.3,증가,15
05,helect,전기 사용량,-0.857,-1312.3,58854.7,-2.23,감소,4
05,waterCool,수도 사용량,0.9721,123227.8571,2531047.0,4.87,증가,15
05,hwaterCool,수도 사용량,-0.9607,-115.2,3585.8,-3.21,감소,4
06,elect,전기 사용량,0.4224,286195.8143,11437152.3,2.5,증가,15
06,helect,전기 사용량,0.1842,155.9,59482.4,0.26,증가,4
06,waterCool,수도 사용량,0.9719,119756.0555,2477040.6,4.83,증가,14
06,hwaterCool,수도 사용량,-0.9963,-98.8,3430.7,-2.88,감소,4
07,elect,전기 사용량,0.6059,640448.8107,12068425.26,5.31,증가,15
07,helect,전기 사용량,-0.8027,-4071.6,91516.4,-4.45,감소,4
07,waterCool,수도 사용량,0.9364,114763.6565,2716210.76,4.23,증가,14
07,hwaterCool,수도 사용량,-0.9809,-103.5,3617.0,-2.86,감소,4
08,elect,전기 사용량,0.1815,248936.5393,17749565.22,1.4,증가,15
08,helect,전기 사용량,0.9161,8977.0,73459.5,12.22,증가,4
08,waterCool,수도 사용량,0.9557,124611.3448,2627732.44,4.74,증가,14
08,hwaterCool,수도 사용량,-0.9539,-94.8,3556.2,-2.67,감소,4
09,elect,전기 사용량,0.0548,50444.5571,12991323.77,0.39,증가,15
09,helect,전기 사용량,0.8447,4426.5,55722.5,7.94,증가,4
09,waterCool,수도 사용량,0.9747,145372.1215,2644646.84,5.5,증가,14
09,hwaterCool,수도 사용량,-0.9833,-111.4,3664.6,-3.04,감소,4
10,elect,전기 사용량,0.2678,187490.6464,11285283.81,1.66,증가,15
10,helect,전기 사용량,-0.92,-1083.9,60089.0,-1.8,감소,5
10,waterCool,수도 사용량,0.9692,119977.712,2677079.36,4.48,증가,14
10,hwaterCool,수도 사용량,-0.9699,-113.3,3818.8,-2.97,감소,5
11,elect,전기 사용량,0.1971,56579.6,13861056.53,0.41,증가,15
11,helect,전기 사용량,-0.8939,-768.7,59586.4,-1.29,감소,5
11,waterCool,수도 사용량,0.9322,114659.1429,2554903.33,4.49,증가,15
11,hwaterCool,수도 사용량,-0.8436,-94.5,3548.8,-2.66,감소,5
12,elect,전기 사용량,0.533,192582.9071,14501343.45,1.33,증가,15
12,helect,전기 사용량,-0.6765,-1975.1,67146.6,-2.94,감소,5
12,waterCool,수도 사용량,0.9346,118601.3187,2683747.14,4.42,증가,14
12,hwaterCool,수도 사용량,-0.9855,-104.0,3610.2,-2.88,감소,5
