month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.4519,-264982.9286,11826397.17,-2.24,감소,15
01,helect,전기 사용량,-0.9295,-4174.9895,131093.53,-3.18,감소,12
01,waterCool,수도 사용량,0.3584,33941.4286,203959.64,16.64,증가,4
02,elect,전기 사용량,-0.5542,-294177.2396,10255175.34,-2.87,감소,14
02,helect,전기 사용량,-0.7113,-2537.2,111268.55,-2.28,감소,11
02,waterCool,수도 사용량,-0.4464,-8328.9836,256775.74,-3.24,감소,6
02,hwaterCool,수도 사용량,1.0,463.0,825.0,56.12,증가,2
03,elect,전기 사용량,-0.6416,-397961.3956,11342478.0,-3.51,감소,14
03,helect,전기 사용량,-0.8292,-3746.0273,116456.95,-3.22,감소,11
03,waterCool,수도 사용량,-0.2557,-10234.0,225844.0,-4.53,감소,5
04,elect,전기 사용량,-0.6461,-367188.5912,10331125.63,-3.55,감소,14
04,helect,전기 사용량,-0.9195,-3776.0273,113424.32,-3.33,감소,11
04,waterCool,수도 사용량,0.6546,37503.2843,81380.18,46.08,증가,13
04,hwaterCool,수도 사용량,0.3007,80.7,746.2,10.81,증가,5
05,elect,전기 사용량,-0.6511,-374166.0,10418516.86,-3.59,감소,14
05,helect,전기 사용량,-0.9463,-4304.9091,115655.91,-3.72,감소,11
05,waterCool,수도 사용량,0.4065,31119.8653,245530.17,12.67,증가,8
06,elect,전기 사용량,-0.7366,-448904.0132,10368821.66,-4.33,감소,14
06,helect,전기 사용량,-0.946,-3911.8818,111890.32,-3.5,감소,11
06,waterCool,수도 사용량,0.0993,3082.8571,179111.43,1.72,증가,14
06,hwaterCool,수도 사용량,0.7888,94.9,443.6,21.39,증가,5
07,elect,전기 사용량,-0.6284,-368748.9978,11671711.49,-3.16,감소,14
07,helect,전기 사용량,-0.8149,-3871.5727,126020.86,-3.07,감소,11
07,waterCool,수도 사용량,-0.3071,-13391.1892,222191.62,-6.03,감소,6
08,elect,전기 사용량,-0.4949,-299964.0879,11360936.57,-2.64,감소,14
08,helect,전기 사용량,-0.8118,-3165.1364,126808.23,-2.5,감소,11
08,waterCool,수도 사용량,0.1096,5767.8147,230709.1,2.5,증가,12
08,hwaterCool,수도 사용량,0.6731,197.1,297.2,66.32,증가,5
09,elect,전기 사용량,-0.5392,-258924.0357,9726880.25,-2.66,감소,15
09,helect,전기 사용량,-0.4389,-1967.9364,105100.14,-1.87,감소,11
09,waterCool,수도 사용량,-0.0336,-2880.2976,296764.17,-0.97,감소,8
10,elect,전기 사용량,-0.6714,-332394.6429,10615081.1,-3.13,감소,15
10,helect,전기 사용량,-0.9093,-3938.5273,115294.0,-3.42,감소,11
10,waterCool,수도 사용량,-0.1347,-4408.1993,260042.18,-1.7,감소,12
10,hwaterCool,수도 사용량,0.3183,49.3,531.2,9.28,증가,5
11,elect,전기 사용량,-0.6024,-291508.4643,10539042.85,-2.77,감소,15
11,helect,전기 사용량,-0.9586,-4777.1818,119605.45,-3.99,감소,11
11,waterCool,수도 사용량,0.1494,7996.4881,184684.17,4.33,증가,8
12,elect,전기 사용량,-0.5106,-292139.6786,11531709.08,-2.53,감소,15
12,helect,전기 사용량,-0.9423,-5276.3881,133121.22,-3.96,감소,12
12,waterCool,수도 사용량,0.1307,5442.2548,204826.75,2.66,증가,8
12,hwaterCool,수도 사용량,-0.6561,-38.9231,377.54,-10.31,감소,3
