month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.1522,143740.3162,19678904.07,0.73,증가,16
01,hheat,난방 사용량,-0.6311,-419.4937,12127.52,-3.46,감소,8
01,waterHot,급탕 사용량,-0.3536,-127951.8722,6704519.08,-1.91,감소,14
01,hwaterHot,급탕 사용량,-0.4795,-47.706,1439.1,-3.31,감소,8
01,elect,전기 사용량,0.1682,55465.3971,13031920.15,0.43,증가,16
01,helect,전기 사용량,-0.6834,-916.5767,61233.71,-1.5,감소,8
01,waterCool,수도 사용량,1.0,1401840.0,5078120.0,27.61,증가,2
02,heat,난방 사용량,0.063,53761.4,15338216.67,0.35,증가,15
02,hheat,난방 사용량,-0.567,-269.0616,9389.86,-2.87,감소,9
02,waterHot,급탕 사용량,-0.2194,-106259.4631,6698067.57,-1.59,감소,13
02,hwaterHot,급탕 사용량,0.0895,2.0254,1102.28,0.18,증가,9
02,elect,전기 사용량,0.4671,153395.6429,12243905.83,1.25,증가,15
02,helect,전기 사용량,-0.2833,-151.6884,53951.81,-0.28,감소,9
02,waterCool,수도 사용량,0.8906,226866.6219,5184154.93,4.38,증가,13
02,hwaterCool,수도 사용량,-0.2818,-21.515,7008.65,-0.31,감소,8
03,heat,난방 사용량,-0.3843,-314077.3187,12006428.57,-2.62,감소,14
03,hheat,난방 사용량,-0.4073,-140.6071,5450.11,-2.58,감소,7
03,waterHot,급탕 사용량,0.2422,190497.561,3246201.71,5.87,증가,13
03,hwaterHot,급탕 사용량,-0.1647,-7.75,1215.39,-0.64,감소,7
03,elect,전기 사용량,0.2184,127695.8901,9299620.29,1.37,증가,14
03,helect,전기 사용량,0.1217,96.1429,46897.29,0.21,증가,7
04,heat,난방 사용량,-0.6181,-314658.6857,6447401.89,-4.88,감소,14
04,hheat,난방 사용량,-0.5894,-258.8929,2952.96,-8.77,감소,7
04,waterHot,급탕 사용량,0.2507,141700.453,2633706.97,5.38,증가,13
04,hwaterHot,급탕 사용량,-0.2816,-10.2857,1096.14,-0.94,감소,7
04,elect,전기 사용량,0.2043,121638.967,9579797.43,1.27,증가,14
04,helect,전기 사용량,-0.1272,-93.3571,49777.36,-0.19,감소,7
04,waterCool,수도 사용량,0.9266,204901.7669,5828303.2,3.52,증가,11
04,hwaterCool,수도 사용량,-0.3147,-49.9286,7486.36,-0.67,감소,7
05,heat,난방 사용량,-0.2893,-100148.5714,2202613.14,-4.55,감소,14
05,hheat,난방 사용량,-0.0863,-15.2558,503.47,-3.03,감소,5
05,waterHot,급탕 사용량,0.2922,134824.784,1911329.52,7.05,증가,13
05,hwaterHot,급탕 사용량,-0.176,-8.0497,952.49,-0.85,감소,6
05,elect,전기 사용량,0.1173,62673.5385,9206653.43,0.68,증가,14
05,helect,전기 사용량,-0.2909,-151.118,47327.54,-0.32,감소,6
06,heat,난방 사용량,-0.1276,-33651.0989,1210604.57,-2.78,감소,14
06,hheat,난방 사용량,0.7583,24.3,37.2,65.32,증가,5
