month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.6277,2852700.875,46147966.5,6.18,증가,16
01,hheat,난방 사용량,0.6258,1520.3727,48414.59,3.14,증가,11
01,waterHot,급탕 사용량,-0.8695,-2425947.8772,29257559.58,-8.29,감소,15
01,hwaterHot,급탕 사용량,-0.2845,-29.0545,4459.55,-0.65,감소,11
01,gas,가스 사용량,-0.8672,-526720.0,860963.33,-61.18,감소,3
01,hgas,가스 사용량,-0.9861,-1035.0,10288.33,-10.06,감소,3
01,elect,전기 사용량,-0.0072,-11535.1765,38269282.7,-0.03,감소,16
01,helect,전기 사용량,-0.7466,-7303.0455,237481.05,-3.08,감소,11
01,waterCool,수도 사용량,0.4344,134652.396,10669954.8,1.26,증가,15
01,hwaterCool,수도 사용량,-0.645,-493.7364,16023.23,-3.08,감소,11
02,heat,난방 사용량,0.745,3066052.2265,31956187.68,9.59,증가,16
02,hheat,난방 사용량,0.4681,917.6182,43126.09,2.13,증가,11
02,waterHot,급탕 사용량,-0.8557,-2306155.2529,27997311.29,-8.24,감소,15
02,hwaterHot,급탕 사용량,0.0787,7.8727,4374.45,0.18,증가,11
02,gas,가스 사용량,-0.865,-426590.0,697000.0,-61.2,감소,3
02,hgas,가스 사용량,-0.5712,-203.5,8248.17,-2.47,감소,3
02,elect,전기 사용량,0.001,1587.1471,38590670.9,0.0,증가,16
02,helect,전기 사용량,-0.7899,-5977.2273,227192.05,-2.63,감소,11
02,waterCool,수도 사용량,0.3478,195336.5,9038386.25,2.16,증가,16
02,hwaterCool,수도 사용량,-0.9193,-384.4909,14166.73,-2.71,감소,11
03,heat,난방 사용량,0.6475,1787405.825,27952130.09,6.39,증가,15
03,hheat,난방 사용량,0.1173,196.5091,33416.51,0.59,증가,10
03,waterHot,급탕 사용량,-0.8649,-2339910.2933,27087098.54,-8.64,감소,14
03,hwaterHot,급탕 사용량,-0.3274,-47.5758,4922.09,-0.97,감소,10
03,gas,가스 사용량,-0.8641,-395990.0,641306.67,-61.75,감소,3
03,hgas,가스 사용량,0.9639,399.0,7698.33,5.18,증가,3
03,elect,전기 사용량,-0.0825,-131147.25,28978802.08,-0.45,감소,15
03,helect,전기 사용량,-0.7276,-3683.4182,190575.18,-1.93,감소,10
03,waterCool,수도 사용량,0.4726,326830.4643,8775169.42,3.72,증가,15
03,hwaterCool,수도 사용량,-0.7857,-292.903,14789.36,-1.98,감소,10
04,heat,난방 사용량,0.6028,1127927.9286,16252579.17,6.94,증가,15
04,hheat,난방 사용량,-0.253,-487.5212,19386.35,-2.51,감소,10
04,waterHot,급탕 사용량,-0.8611,-1858317.5588,21458582.39,-8.66,감소,14
04,hwaterHot,급탕 사용량,0.0513,5.8606,3990.93,0.15,증가,10
04,gas,가스 사용량,-0.8668,-389400.0,631066.67,-61.71,감소,3
04,hgas,가스 사용량,0.1069,49.5,7887.83,0.63,증가,3
04,elect,전기 사용량,-0.1912,-340388.7536,30181138.54,-1.13,감소,15
04,helect,전기 사용량,-0.7638,-3121.8364,194805.96,-1.6,감소,10
04,waterCool,수도 사용량,0.3245,223988.4286,9172222.33,2.44,증가,15
04,hwaterCool,수도 사용량,-0.6062,-126.7394,13400.93,-0.95,감소,10
05,heat,난방 사용량,0.8692,1473202.8357,3126282.22,47.12,증가,15
05,hheat,난방 사용량,0.0574,37.7636,6070.36,0.62,증가,10
05,waterHot,급탕 사용량,-0.8788,-1514283.0594,18256597.79,-8.29,감소,14
05,hwaterHot,급탕 사용량,0.0543,4.4848,3737.42,0.12,증가,10
05,gas,가스 사용량,0.1322,79790.0,594050.0,13.43,증가,3
05,hgas,가스 사용량,-0.8884,-466.0,9552.0,-4.88,감소,3
05,elect,전기 사용량,-0.1845,-297859.1071,26899934.02,-1.11,감소,15
05,helect,전기 사용량,-0.8679,-4752.3697,196026.56,-2.42,감소,10
05,waterCool,수도 사용량,0.3357,257887.3571,9559170.5,2.7,증가,15
05,hwaterCool,수도 사용량,-0.7468,-284.3879,15002.95,-1.9,감소,10
06,heat,난방 사용량,0.9042,1078665.8571,545753.67,197.65,증가,15
06,hheat,난방 사용량,0.0073,1.2788,1551.95,0.08,증가,10
06,waterHot,급탕 사용량,-0.8009,-967415.7411,12972072.13,-7.46,감소,14
06,hwaterHot,급탕 사용량,-0.0811,-7.0788,3173.45,-0.22,감소,10
06,gas,가스 사용량,0.1741,113725.0,616371.67,18.45,증가,3
06,hgas,가스 사용량,-0.9651,-260.5,9854.17,-2.64,감소,3
06,elect,전기 사용량,-0.2151,-307196.5357,28509637.75,-1.08,감소,15
