month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.5448,-28035.979,702807.05,-3.99,감소,12
01,elect,전기 사용량,0.1163,178164.5626,55567633.91,0.32,증가,14
01,helect,전기 사용량,0.6392,1599.6329,234357.94,0.68,증가,12
01,waterCool,수도 사용량,0.9581,502788.1538,8082922.0,6.22,증가,14
01,hwaterCool,수도 사용량,0.5504,62.0035,11510.56,0.54,증가,12
02,heat,난방 사용량,-0.6654,-30991.7483,644986.28,-4.81,감소,12
02,elect,전기 사용량,0.0647,93195.1758,55042957.0,0.17,증가,14
02,helect,전기 사용량,0.738,1375.2692,232596.94,0.59,증가,12
02,waterCool,수도 사용량,0.9214,458694.4396,8525515.43,5.38,증가,14
02,hwaterCool,수도 사용량,0.5433,68.2587,11621.41,0.59,증가,12
03,heat,난방 사용량,-0.5934,-21139.1818,421857.73,-5.01,감소,11
03,elect,전기 사용량,0.2461,326226.7527,42211663.1,0.77,증가,13
03,helect,전기 사용량,0.6568,1867.7818,203469.73,0.92,증가,11
03,waterCool,수도 사용량,0.9209,416909.2857,8046230.44,5.18,증가,13
03,hwaterCool,수도 사용량,0.5824,84.2909,10593.64,0.8,증가,11
04,heat,난방 사용량,-0.5252,-14366.0909,277195.91,-5.18,감소,11
04,elect,전기 사용량,0.2332,285506.4725,45770959.55,0.62,증가,13
04,helect,전기 사용량,0.6715,1409.9545,218003.23,0.65,증가,11
04,waterCool,수도 사용량,0.8676,419923.6813,8984642.53,4.67,증가,13
04,hwaterCool,수도 사용량,0.3596,59.5909,11781.05,0.51,증가,11
05,heat,난방 사용량,-0.5918,-6456.6364,141062.27,-4.58,감소,11
05,elect,전기 사용량,0.4017,498500.2253,41212047.19,1.21,증가,13
05,helect,전기 사용량,0.7222,1481.0273,207728.32,0.71,증가,11
05,waterCool,수도 사용량,0.9076,431411.2637,9065422.42,4.76,증가,13
05,hwaterCool,수도 사용량,0.6196,118.9909,11533.68,1.03,증가,11
06,heat,난방 사용량,-0.1014,-416.8182,39622.27,-1.05,감소,11
06,elect,전기 사용량,0.3983,762173.6978,46758891.58,1.63,증가,13
06,helect,전기 사용량,0.7972,3371.3091,220487.64,1.53,증가,11
06,waterCool,수도 사용량,0.9167,419298.7912,9710082.64,4.32,증가,13
06,hwaterCool,수도 사용량,0.2371,62.9,12531.05,0.5,증가,11
07,heat,난방 사용량,-0.1751,-576.3636,31748.18,-1.82,감소,11
07,elect,전기 사용량,0.3994,1073036.7418,56138621.78,1.91,증가,13
07,helect,전기 사용량,0.7796,8718.6818,244542.5,3.57,증가,11
07,waterCool,수도 사용량,0.7959,471020.5495,8808266.7,5.35,증가,13
07,hwaterCool,수도 사용량,0.2201,43.8455,12404.59,0.35,증가,11
08,heat,난방 사용량,0.0221,62.0,26538.18,0.23,증가,11
08,elect,전기 사용량,0.2028,895421.8571,76376797.86,1.17,증가,14
08,helect,전기 사용량,0.7452,11896.4273,299950.23,3.97,증가,11
08,waterCool,수도 사용량,0.9231,509508.967,8624871.71,5.91,증가,14
08,hwaterCool,수도 사용량,0.2199,33.7727,12747.68,0.26,증가,11
09,heat,난방 사용량,-0.0892,-797.5455,35256.82,-2.26,감소,11
09,elect,전기 사용량,0.5706,1884041.9912,41868534.77,4.5,증가,14
09,helect,전기 사용량,0.8218,9534.7818,208267.27,4.58,증가,11
09,waterCool,수도 사용량,0.92,481912.6593,8468082.0,5.69,증가,14
09,hwaterCool,수도 사용량,0.3755,59.0182,12294.18,0.48,증가,11
10,heat,난방 사용량,-0.1478,-717.3636,39671.36,-1.81,감소,11
10,elect,전기 사용량,0.5281,693672.156,40108626.49,1.73,증가,14
10,helect,전기 사용량,0.6973,1791.3818,206319.91,0.87,증가,11
10,waterCool,수도 사용량,0.9133,527724.6374,7865486.29,6.71,증가,14
10,hwaterCool,수도 사용량,0.3519,43.7727,11750.5,0.37,증가,11
11,heat,난방 사용량,-0.3041,-2924.8182,163029.55,-1.79,감소,11
11,elect,전기 사용량,0.2331,294844.0484,47700321.97,0.62,증가,14
11,helect,전기 사용량,0.6443,1216.6818,221127.77,0.55,증가,11
11,waterCool,수도 사용량,0.8999,420498.8571,8426710.29,4.99,증가,14
11,hwaterCool,수도 사용량,0.2746,41.2636,12018.41,0.34,증가,11
12,heat,난방 사용량,0.2518,6844.0909,287935.0,2.38,증가,11
12,elect,전기 사용량,0.0814,108486.0615,51156055.74,0.21,증가,14
12,helect,전기 사용량,0.6844,1667.4909,222639.73,0.75,증가,11
12,waterCool,수도 사용량,0.9491,475964.1319,7911686.0,6.02,증가,14
12,hwaterCool,수도 사용량,0.5193,53.8364,11429.18,0.47,증가,11
