month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.1552,-5270.0,3902715.0,-0.14,감소,4
01,waterCool,수도 사용량,0.761,41482.0,1041637.0,3.98,증가,4
02,elect,전기 사용량,-0.9952,-179140.0,4337240.0,-4.13,감소,4
02,waterCool,수도 사용량,0.4984,15861.0,984096.0,1.61,증가,4
03,elect,전기 사용량,-0.695,-75590.0,3407145.0,-2.22,감소,4
03,waterCool,수도 사용량,0.4381,13750.0,1070530.0,1.28,증가,4
04,elect,전기 사용량,-0.6912,-132352.0,3817898.0,-3.47,감소,4
04,waterCool,수도 사용량,0.4707,49998.0,1109188.0,4.51,증가,4
05,elect,전기 사용량,-0.1751,-36545.0,3434715.0,-1.06,감소,4
05,waterCool,수도 사용량,0.3677,18890.0,1221435.0,1.55,증가,4
06,elect,전기 사용량,-0.2239,-38547.0,3558258.0,-1.08,감소,4
06,waterCool,수도 사용량,0.1785,13684.0,1193419.0,1.15,증가,4
07,elect,전기 사용량,-0.3972,-70658.0,3574342.0,-1.98,감소,4
07,waterCool,수도 사용량,0.4895,32830.0,1274200.0,2.58,증가,4
08,elect,전기 사용량,-0.1527,-66786.0,4266434.0,-1.57,감소,4
08,waterCool,수도 사용량,-0.6002,-242751.0,1426444.0,-17.02,감소,4
09,elect,전기 사용량,-0.3889,-34565.0,3504408.0,-0.99,감소,5
09,waterCool,수도 사용량,0.5505,24281.0,1129080.0,2.15,증가,5
10,elect,전기 사용량,-0.7136,-144473.0,3564544.0,-4.05,감소,5
10,waterCool,수도 사용량,-0.3923,-34935.0,1180738.0,-2.96,감소,5
11,elect,전기 사용량,-0.7528,-705384.2,4344760.2,-16.24,감소,5
11,waterCool,수도 사용량,-0.7177,-227333.0,1324649.0,-17.16,감소,5
12,elect,전기 사용량,-0.8849,-155678.0,3849304.0,-4.04,감소,5
12,waterCool,수도 사용량,0.6767,19839.0,1086204.0,1.83,증가,5
