month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-1.0,-6304497.0,6305014.0,-99.99,감소,2
01,gas,가스 사용량,-0.024,-25910.3147,9833485.9,-0.26,감소,12
01,elect,전기 사용량,0.1943,723978.7495,59940377.49,1.21,증가,14
01,helect,전기 사용량,-0.6004,-4747.2768,204064.95,-2.33,감소,7
01,waterCool,수도 사용량,0.5495,372020.2198,7456916.29,4.99,증가,14
01,hwaterCool,수도 사용량,0.2089,45.0268,7124.12,0.63,증가,7
02,heat,난방 사용량,-1.0,-6304119.0,6729198.0,-93.68,감소,2
02,gas,가스 사용량,-0.4157,-250795.4196,8607455.64,-2.91,감소,12
02,elect,전기 사용량,-0.0326,-135435.8923,66690884.94,-0.2,감소,14
02,helect,전기 사용량,-0.2103,-2098.6468,197125.68,-1.06,감소,8
02,waterCool,수도 사용량,0.452,339007.5956,8013457.34,4.23,증가,14
02,hwaterCool,수도 사용량,0.8811,128.254,6515.1,1.97,증가,8
03,heat,난방 사용량,-1.0,-25159.0,164119.0,-15.33,감소,2
03,gas,가스 사용량,-0.6703,-302702.9091,5932343.64,-5.1,감소,11
03,elect,전기 사용량,0.3628,966720.3077,39106166.0,2.47,증가,13
03,helect,전기 사용량,-0.3581,-3119.6448,196749.0,-1.59,감소,7
03,waterCool,수도 사용량,0.6253,486253.7637,6536465.8,7.44,증가,13
03,hwaterCool,수도 사용량,-0.5089,-90.7073,7956.56,-1.14,감소,7
04,heat,난방 사용량,-1.0,-58432.0,143077.0,-40.84,감소,2
04,gas,가스 사용량,-0.5474,-238772.8182,3897763.18,-6.13,감소,11
04,elect,전기 사용량,0.3005,863417.4725,41915991.47,2.06,증가,13
04,helect,전기 사용량,-0.4784,-4129.9096,199966.47,-2.07,감소,8
04,waterCool,수도 사용량,0.6649,642814.5,5924314.0,10.85,증가,13
04,hwaterCool,수도 사용량,0.1795,66.0213,7010.15,0.94,증가,8
05,gas,가스 사용량,-0.5666,-166497.8182,3563020.0,-4.67,감소,11
05,elect,전기 사용량,0.2532,596263.6484,37958088.96,1.57,증가,13
05,helect,전기 사용량,0.2798,1886.2947,165703.12,1.14,증가,8
05,waterCool,수도 사용량,0.5795,446797.4066,6819773.71,6.55,증가,13
05,hwaterCool,수도 사용량,0.2142,28.8642,7515.7,0.38,증가,8
06,gas,가스 사용량,-0.4653,-127175.4545,3209290.0,-3.96,감소,11
06,elect,전기 사용량,0.3309,1278865.8505,43699476.69,2.93,증가,14
06,helect,전기 사용량,0.2454,2045.2302,200639.96,1.02,증가,6
06,waterCool,수도 사용량,0.6308,619778.989,5913790.86,10.48,증가,14
06,hwaterCool,수도 사용량,0.5649,38.8129,7552.84,0.51,증가,6
07,gas,가스 사용량,0.3226,189278.3636,3667361.82,5.16,증가,11
07,elect,전기 사용량,0.4949,2171770.3538,60896531.2,3.57,증가,14
07,helect,전기 사용량,0.9349,13050.4103,211475.15,6.17,증가,8
07,waterCool,수도 사용량,0.6205,468387.4176,7432851.43,6.3,증가,14
07,hwaterCool,수도 사용량,0.5203,155.1806,7206.57,2.15,증가,8
08,gas,가스 사용량,0.347,131400.0909,3753765.0,3.5,증가,11
08,elect,전기 사용량,0.0491,386864.8813,116034630.2,0.33,증가,14
08,helect,전기 사용량,0.4986,9360.5443,299037.46,3.13,증가,7
08,waterCool,수도 사용량,0.6855,536118.5055,7383225.43,7.26,증가,14
08,hwaterCool,수도 사용량,0.5655,131.9539,7257.98,1.82,증가,7
09,heat,난방 사용량,-1.0,-2226150.0,2246744.0,-99.08,감소,2
09,gas,가스 사용량,-0.0503,-13321.9091,2323638.64,-0.57,감소,11
09,elect,전기 사용량,0.6132,2285279.6659,58508547.6,3.91,증가,14
09,helect,전기 사용량,0.7306,18613.4594,163778.66,11.37,증가,7
09,waterCool,수도 사용량,0.7188,484617.9231,7245871.14,6.69,증가,14
09,hwaterCool,수도 사용량,0.6352,121.297,7191.3,1.69,증가,7
10,heat,난방 사용량,-0.9409,-124808.0,223795.0,-55.77,감소,3
10,gas,가스 사용량,-0.5693,-184496.3636,3251624.55,-5.67,감소,11
10,elect,전기 사용량,0.5795,1055738.3736,39568903.86,2.67,증가,14
10,helect,전기 사용량,0.653,5041.1845,155912.09,3.23,증가,7
10,waterCool,수도 사용량,0.6572,405951.978,7153110.57,5.68,증가,14
10,hwaterCool,수도 사용량,0.3638,68.8653,7284.06,0.95,증가,7
11,heat,난방 사용량,-0.9295,-577254.0,1022607.67,-56.45,감소,3
11,gas,가스 사용량,-0.384,-140790.3636,4193990.0,-3.36,감소,11
11,elect,전기 사용량,0.3115,509293.4725,44995812.0,1.13,증가,14
11,helect,전기 사용량,0.5076,2728.2712,169124.45,1.61,증가,7
11,waterCool,수도 사용량,0.703,465046.7143,7211981.43,6.45,증가,14
11,hwaterCool,수도 사용량,0.2631,50.1384,7396.07,0.68,증가,7
12,heat,난방 사용량,0.29,1417060.0,4338073.33,32.67,증가,3
12,gas,가스 사용량,-0.0164,-19608.0909,9553551.36,-0.21,감소,11
12,elect,전기 사용량,0.3738,865785.4505,54613611.57,1.59,증가,14
12,helect,전기 사용량,-0.4142,-5301.4909,202483.16,-2.62,감소,7
12,waterCool,수도 사용량,0.5334,492016.1626,7709726.8,6.38,증가,14
12,hwaterCool,수도 사용량,0.3641,48.2917,7278.29,0.66,증가,7
