month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.6331,-296208.25,14023358.42,-2.11,감소,15
01,helect,전기 사용량,0.0533,98.6608,68615.28,0.14,증가,12
01,waterCool,수도 사용량,0.982,173460.7143,4780770.33,3.63,증가,15
01,hwaterCool,수도 사용량,-0.825,-82.7867,6995.91,-1.18,감소,12
02,elect,전기 사용량,-0.6325,-262241.6429,13454035.5,-1.95,감소,15
02,helect,전기 사용량,0.0791,92.5245,69622.45,0.13,증가,12
03,elect,전기 사용량,-0.5258,-179509.8901,10406235.71,-1.73,감소,14
03,helect,전기 사용량,-0.0027,-3.5,60964.5,-0.01,감소,11
03,waterCool,수도 사용량,0.9516,159034.7473,4926334.86,3.23,증가,14
03,hwaterCool,수도 사용량,-0.7687,-80.6182,6801.18,-1.19,감소,11
04,elect,전기 사용량,-0.6481,-228353.8242,11557753.43,-1.98,감소,14
04,helect,전기 사용량,0.0457,64.6636,64128.77,0.1,증가,11
05,elect,전기 사용량,-0.5567,-161953.4725,10210116.86,-1.59,감소,14
05,helect,전기 사용량,-0.0444,-50.4364,60492.27,-0.08,감소,11
05,waterCool,수도 사용량,0.9197,194575.8462,5224672.0,3.72,증가,14
05,hwaterCool,수도 사용량,-0.8163,-124.0273,7406.14,-1.67,감소,11
06,elect,전기 사용량,-0.5654,-203138.7033,11334243.71,-1.79,감소,14
06,helect,전기 사용량,0.0585,64.5818,63831.0,0.1,증가,11
07,elect,전기 사용량,-0.2881,-118066.0879,12054706.0,-0.98,감소,14
07,helect,전기 사용량,0.6357,1105.7545,65770.95,1.68,증가,11
07,waterCool,수도 사용량,0.9331,172472.1912,5614225.69,3.07,증가,14
07,hwaterCool,수도 사용량,-0.9355,-142.2091,7774.95,-1.83,감소,11
08,elect,전기 사용량,-0.0046,-3728.4615,15438917.14,-0.02,감소,14
08,helect,전기 사용량,0.3249,14238.3576,67404.49,21.12,증가,10
09,elect,전기 사용량,-0.1402,-69240.0,11030472.0,-0.63,감소,15
09,helect,전기 사용량,0.6811,1910.0788,65101.55,2.93,증가,10
09,waterCool,수도 사용량,0.9341,130340.2485,5642928.15,2.31,증가,14
09,hwaterCool,수도 사용량,-0.9214,-169.5576,7691.11,-2.2,감소,10
10,elect,전기 사용량,-0.564,-166558.6627,10271812.92,-1.62,감소,14
10,helect,전기 사용량,-0.3804,-635.7333,62870.2,-1.01,감소,10
11,elect,전기 사용량,-0.4943,-344957.5357,13330720.75,-2.59,감소,15
11,helect,전기 사용량,-0.5052,-2893.6,84645.27,-3.42,감소,11
11,waterCool,수도 사용량,0.9792,171663.5714,4908668.33,3.5,증가,15
11,hwaterCool,수도 사용량,-0.7739,-87.8303,6924.64,-1.27,감소,10
12,elect,전기 사용량,-0.5812,-221655.4643,12044075.58,-1.84,감소,15
12,helect,전기 사용량,-0.5952,-438.9636,70334.27,-0.62,감소,11
