month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.0913,-37592.3643,15502207.42,-0.24,감소,15
01,helect,전기 사용량,-0.4916,-997.2552,72269.15,-1.38,감소,12
01,waterCool,수도 사용량,0.9112,165099.6023,6451995.07,2.56,증가,14
01,hwaterCool,수도 사용량,-0.8808,-101.8007,8861.65,-1.15,감소,12
02,heat,난방 사용량,-1.0,-29600.0,329600.0,-8.98,감소,2
02,elect,전기 사용량,-0.0558,-18166.3357,12514870.42,-0.15,감소,15
02,helect,전기 사용량,-0.4631,-815.549,63030.44,-1.29,감소,12
03,elect,전기 사용량,-0.4445,-142432.3714,13588619.13,-1.05,감소,15
03,helect,전기 사용량,-0.5878,-1206.1653,67327.81,-1.79,감소,10
03,waterCool,수도 사용량,0.9412,195747.4022,5890394.64,3.32,증가,14
03,hwaterCool,수도 사용량,-0.887,-89.6042,8537.16,-1.05,감소,10
04,elect,전기 사용량,-0.5543,-185865.6536,12917328.97,-1.44,감소,15
04,helect,전기 사용량,-0.6012,-494.0545,59151.91,-0.84,감소,11
05,elect,전기 사용량,-0.401,-126236.3071,12811116.08,-0.99,감소,15
05,helect,전기 사용량,-0.5212,-1147.2498,63944.02,-1.79,감소,10
05,waterCool,수도 사용량,0.8485,180592.4457,6109006.47,2.96,증가,14
05,hwaterCool,수도 사용량,-0.8393,-85.0918,8772.45,-0.97,감소,10
06,elect,전기 사용량,-0.1534,-74979.4107,14007287.07,-0.54,감소,15
06,helect,전기 사용량,-0.1569,-304.9182,64520.14,-0.47,감소,11
06,waterCool,수도 사용량,1.0,2524816.6667,139350.0,1811.85,증가,2
07,elect,전기 사용량,0.065,47595.95,19151947.15,0.25,증가,15
07,helect,전기 사용량,0.4251,1410.4091,80109.5,1.76,증가,11
07,waterCool,수도 사용량,0.9113,197054.0435,6512484.83,3.03,증가,14
07,hwaterCool,수도 사용량,-0.8389,-115.9727,9320.5,-1.24,감소,11
08,elect,전기 사용량,0.0146,10516.3607,15016912.27,0.07,증가,15
08,helect,전기 사용량,0.1345,278.9182,72637.05,0.38,증가,11
09,elect,전기 사용량,-0.0603,-26547.7964,12159461.44,-0.22,감소,15
09,helect,전기 사용량,-0.1125,-214.6273,60963.68,-0.35,감소,11
09,waterCool,수도 사용량,0.807,156439.4866,7151443.78,2.19,증가,14
09,hwaterCool,수도 사용량,-0.8152,-154.899,9931.51,-1.56,감소,10
10,elect,전기 사용량,-0.4106,-139619.9357,13127780.55,-1.06,감소,15
10,helect,전기 사용량,-0.4682,-1021.9192,63679.4,-1.6,감소,10
11,elect,전기 사용량,-0.3287,-106350.4107,14048349.61,-0.76,감소,15
11,helect,전기 사용량,-0.5514,-1150.8727,66730.76,-1.72,감소,10
11,waterCool,수도 사용량,0.9051,162649.6079,6650780.74,2.45,증가,14
11,hwaterCool,수도 사용량,-0.7548,-103.6909,9119.25,-1.14,감소,10
12,elect,전기 사용량,-0.0746,-28182.95,15258115.05,-0.18,감소,15
12,helect,전기 사용량,-0.025,-14.3636,65045.42,-0.02,감소,10
