month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.1011,78891.0107,33112715.59,0.24,증가,15
01,helect,전기 사용량,0.1937,459.5667,202993.4,0.23,증가,9
01,waterCool,수도 사용량,0.9716,374687.4286,7101186.0,5.28,증가,15
01,hwaterCool,수도 사용량,0.1753,29.7818,10241.64,0.29,증가,11
02,elect,전기 사용량,0.1353,107628.575,32497118.38,0.33,증가,15
02,helect,전기 사용량,0.0875,185.8833,202558.91,0.09,증가,9
02,waterCool,수도 사용량,0.9182,308874.6786,7122995.92,4.34,증가,15
02,hwaterCool,수도 사용량,0.2453,34.5273,9478.36,0.36,증가,11
03,elect,전기 사용량,-0.0297,-19888.3495,27447245.77,-0.07,감소,14
03,helect,전기 사용량,-0.2915,-1091.9643,186296.75,-0.59,감소,8
03,waterCool,수도 사용량,0.939,329333.4945,7677173.71,4.29,증가,14
03,hwaterCool,수도 사용량,-0.5194,-77.8621,10654.95,-0.73,감소,10
04,elect,전기 사용량,-0.1869,-145619.5648,30128870.46,-0.48,감소,14
04,helect,전기 사용량,0.1928,1616.9881,181671.42,0.89,증가,8
04,waterCool,수도 사용량,0.934,347725.4725,7507923.71,4.63,증가,14
04,hwaterCool,수도 사용량,0.1917,28.8531,10082.79,0.29,증가,10
05,elect,전기 사용량,-0.191,-133031.6527,27926851.89,-0.48,감소,14
05,helect,전기 사용량,-0.3828,-1270.8214,188929.5,-0.67,감소,8
05,waterCool,수도 사용량,0.9617,314525.0549,7958855.71,3.95,증가,14
05,hwaterCool,수도 사용량,-0.1258,-17.4727,10459.36,-0.17,감소,11
06,elect,전기 사용량,-0.0114,-7907.9473,29442855.23,-0.03,감소,14
06,helect,전기 사용량,-0.3563,-1398.2024,198424.58,-0.7,감소,8
06,waterCool,수도 사용량,0.8662,285899.8901,8196937.14,3.49,증가,14
06,hwaterCool,수도 사용량,-0.122,-21.9394,10780.13,-0.2,감소,10
07,elect,전기 사용량,0.3594,428652.7648,31855803.6,1.35,증가,14
07,helect,전기 사용량,0.2206,785.8214,202726.75,0.39,증가,8
07,waterCool,수도 사용량,0.9401,328674.8352,8208104.29,4.0,증가,14
07,hwaterCool,수도 사용량,-0.6798,-78.8788,11151.45,-0.71,감소,10
08,elect,전기 사용량,0.2647,605044.7978,47513966.74,1.27,증가,14
08,helect,전기 사용량,0.7607,11522.9286,232364.75,4.96,증가,8
08,waterCool,수도 사용량,0.9627,305706.4615,8099616.57,3.77,증가,14
08,hwaterCool,수도 사용량,0.3075,40.9515,10489.62,0.39,증가,10
09,elect,전기 사용량,0.2855,652213.0893,31136137.24,2.09,증가,15
09,helect,전기 사용량,0.3715,2636.4405,204168.08,1.29,증가,8
09,waterCool,수도 사용량,0.9583,360814.1786,7304822.75,4.94,증가,15
09,hwaterCool,수도 사용량,0.0997,13.7333,10482.6,0.13,증가,10
10,elect,전기 사용량,0.0498,41695.8179,27446208.74,0.15,증가,15
10,helect,전기 사용량,-0.1602,-484.3095,184314.58,-0.26,감소,8
10,waterCool,수도 사용량,0.9225,268800.7143,7640051.67,3.52,증가,15
10,hwaterCool,수도 사용량,-0.3035,-38.3152,10505.62,-0.36,감소,10
11,elect,전기 사용량,-0.1421,-97242.9857,30362189.17,-0.32,감소,15
11,helect,전기 사용량,-0.5794,-42710.4405,403139.42,-10.59,감소,8
11,waterCool,수도 사용량,0.9692,345827.0357,7055423.42,4.9,증가,15
11,hwaterCool,수도 사용량,0.3388,42.0788,10103.15,0.42,증가,10
12,elect,전기 사용량,-0.1204,-89931.9679,32043526.17,-0.28,감소,15
12,helect,전기 사용량,-0.3312,-1081.1905,198229.42,-0.55,감소,8
12,waterCool,수도 사용량,0.9144,303823.1786,7230303.75,4.2,증가,15
12,hwaterCool,수도 사용량,-0.2478,-35.4848,10223.78,-0.35,감소,10
