month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.8245,715751.9441,22473664.47,3.18,증가,12
01,helect,전기 사용량,-0.3912,-221864.2762,1920632.94,-11.55,감소,12
01,waterCool,수도 사용량,0.9144,250626.014,4822381.92,5.2,증가,12
01,hwaterCool,수도 사용량,-0.3889,-2801.521,29317.28,-9.56,감소,12
02,elect,전기 사용량,0.7557,726452.3727,22747050.95,3.19,증가,11
02,helect,전기 사용량,-0.3975,-247868.6818,1972000.14,-12.57,감소,11
02,waterCool,수도 사용량,0.9707,247690.4545,4928668.64,5.03,증가,11
02,hwaterCool,수도 사용량,-0.3882,-2780.2,27457.45,-10.13,감소,11
03,elect,전기 사용량,0.7431,686083.3818,18417880.55,3.73,증가,11
03,helect,전기 사용량,-0.399,-221857.4091,1764326.14,-12.57,감소,11
03,waterCool,수도 사용량,0.9228,230167.5455,4652727.73,4.95,증가,11
03,hwaterCool,수도 사용량,-0.3995,-23084.7273,179144.64,-12.89,감소,11
04,elect,전기 사용량,0.8012,609230.4909,18729287.73,3.25,증가,11
04,helect,전기 사용량,-0.3977,-189570.9091,1526110.55,-12.42,감소,11
04,waterCool,수도 사용량,0.9745,229594.6364,5158845.91,4.45,증가,11
04,hwaterCool,수도 사용량,-0.3965,-3875.4818,35681.77,-10.86,감소,11
05,elect,전기 사용량,0.7213,1145715.3545,13115053.68,8.74,증가,11
05,helect,전기 사용량,-0.5221,-277968.6061,1858664.53,-14.96,감소,10
05,waterCool,수도 사용량,0.7662,429568.2727,3739468.64,11.49,증가,11
05,hwaterCool,수도 사용량,-0.5862,-46.4182,6694.58,-0.69,감소,10
06,elect,전기 사용량,0.7266,1207102.6182,14028012.27,8.6,증가,11
06,helect,전기 사용량,-0.522,-307189.1394,2046132.93,-15.01,감소,10
06,waterCool,수도 사용량,0.7499,458710.0,3679483.64,12.47,증가,11
06,hwaterCool,수도 사용량,-0.5811,-45.0167,6900.07,-0.65,감소,9
07,elect,전기 사용량,0.8218,1645666.3091,14578819.64,11.29,증가,11
07,helect,전기 사용량,-0.5201,-397523.3818,2629950.62,-15.12,감소,10
07,waterCool,수도 사용량,0.7375,425396.0909,3762532.27,11.31,증가,11
07,hwaterCool,수도 사용량,-0.5224,-20834.5273,138578.87,-15.03,감소,10
08,elect,전기 사용량,0.6049,2054543.7364,23309931.77,8.81,증가,11
08,helect,전기 사용량,-0.52,-432239.8667,2893822.8,-14.94,감소,10
08,waterCool,수도 사용량,0.7489,474911.3636,3726222.27,12.75,증가,11
08,hwaterCool,수도 사용량,-0.5229,-21090.1273,140444.07,-15.02,감소,10
09,elect,전기 사용량,0.8342,2519697.5636,13383441.55,18.83,증가,11
09,helect,전기 사용량,-0.5183,-378012.5091,2532214.09,-14.93,감소,10
09,waterCool,수도 사용량,0.7191,454976.7273,3781542.73,12.03,증가,11
09,hwaterCool,수도 사용량,-0.5235,-9565.8,67310.2,-14.21,감소,10
10,elect,전기 사용량,0.8976,1748093.0273,10812920.68,16.17,증가,11
10,helect,전기 사용량,-0.5192,-284363.5879,1906443.15,-14.92,감소,10
10,waterCool,수도 사용량,0.7455,422152.2727,3733685.91,11.31,증가,11
10,hwaterCool,수도 사용량,-0.1548,-11.9667,6513.53,-0.18,감소,9
11,elect,전기 사용량,0.7581,1259346.7,14172428.59,8.89,증가,11
11,helect,전기 사용량,-0.522,-316745.3758,2108260.29,-15.02,감소,10
11,waterCool,수도 사용량,0.7731,482500.1818,3564696.36,13.54,증가,11
11,hwaterCool,수도 사용량,-0.5226,-30734.0242,201213.11,-15.27,감소,10
12,elect,전기 사용량,0.6731,1044119.8811,16258694.65,6.42,증가,12
12,helect,전기 사용량,-0.5219,-345149.9818,2289477.62,-15.08,감소,10
12,waterCool,수도 사용량,0.577,295505.3846,3816413.72,7.74,증가,12
12,hwaterCool,수도 사용량,-0.5278,-2336.7212,21150.95,-11.05,감소,10
