month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.6222,-345188.4786,19090605.88,-1.81,감소,15
01,helect,전기 사용량,-0.4533,-1346.8986,93017.86,-1.45,감소,12
01,waterCool,수도 사용량,0.973,137345.1786,3804206.42,3.61,증가,15
01,hwaterCool,수도 사용량,-0.7273,-43.7238,5310.56,-0.82,감소,12
02,elect,전기 사용량,-0.4715,-228855.4393,15996258.81,-1.43,감소,15
02,helect,전기 사용량,-0.2991,-158.8601,74256.4,-0.21,감소,12
02,waterCool,수도 사용량,0.8649,119410.9286,4063800.17,2.94,증가,15
02,hwaterCool,수도 사용량,-0.6581,-48.2552,5397.49,-0.89,감소,12
03,elect,전기 사용량,-0.6151,-288386.3077,16568388.86,-1.74,감소,14
03,helect,전기 사용량,-0.1713,-109.5727,77800.05,-0.14,감소,11
03,waterCool,수도 사용량,0.9378,110165.6923,3753405.14,2.94,증가,14
03,hwaterCool,수도 사용량,-0.5124,-28.7182,4856.59,-0.59,감소,11
04,elect,전기 사용량,-0.6235,-261341.7143,15118684.0,-1.73,감소,14
04,helect,전기 사용량,-0.6198,-368.1455,73983.0,-0.5,감소,11
04,waterCool,수도 사용량,0.9634,138543.8242,4085378.0,3.39,증가,14
04,hwaterCool,수도 사용량,-0.3653,-17.9,5396.68,-0.33,감소,11
05,elect,전기 사용량,-0.5863,-255362.3516,15367061.71,-1.66,감소,14
05,helect,전기 사용량,-0.6993,-390.0455,75748.23,-0.51,감소,11
05,waterCool,수도 사용량,0.8847,111227.2308,4203973.71,2.65,증가,14
05,hwaterCool,수도 사용량,-0.7365,-49.2727,5416.36,-0.91,감소,11
06,elect,전기 사용량,-0.4326,-206520.0791,15451923.94,-1.34,감소,14
06,helect,전기 사용량,0.1042,67.0182,75535.0,0.09,증가,11
06,waterCool,수도 사용량,0.9303,83731.011,4701496.29,1.78,증가,14
06,hwaterCool,수도 사용량,-0.8056,-69.0182,5872.55,-1.18,감소,11
07,elect,전기 사용량,-0.2683,-211035.8593,19543942.23,-1.08,감소,14
07,helect,전기 사용량,0.4996,1864.0909,89924.45,2.07,증가,11
07,waterCool,수도 사용량,0.8966,90817.1868,4553814.0,1.99,증가,14
07,hwaterCool,수도 사용량,-0.8852,-72.4636,5826.77,-1.24,감소,11
08,elect,전기 사용량,-0.1891,-243017.9055,21157122.17,-1.15,감소,14
08,helect,전기 사용량,0.7307,3170.0727,92064.55,3.44,증가,11
08,waterCool,수도 사용량,0.8428,93513.7802,4728802.57,1.98,증가,14
08,hwaterCool,수도 사용량,-0.7497,-69.3455,5986.09,-1.16,감소,11
09,elect,전기 사용량,-0.1693,-93455.4607,14505711.09,-0.64,감소,15
09,helect,전기 사용량,0.5442,1078.2909,70942.18,1.52,증가,11
09,waterCool,수도 사용량,0.9402,118880.75,4325706.75,2.75,증가,15
09,hwaterCool,수도 사용량,-0.6476,-41.4273,5775.95,-0.72,감소,11
10,elect,전기 사용량,-0.6418,-272234.3643,15835330.82,-1.72,감소,15
10,helect,전기 사용량,-0.7803,-375.7818,75101.91,-0.5,감소,11
10,waterCool,수도 사용량,0.8922,93955.8929,4213497.42,2.23,증가,15
10,hwaterCool,수도 사용량,-0.8192,-66.3091,5521.55,-1.2,감소,11
11,elect,전기 사용량,-0.537,-480191.9036,18777099.39,-2.56,감소,15
11,helect,전기 사용량,-0.5642,-3973.4455,100980.05,-3.93,감소,11
11,waterCool,수도 사용량,0.2588,76649.1786,4754851.08,1.61,증가,15
11,hwaterCool,수도 사용량,-0.5701,-291.7636,7297.36,-4.0,감소,11
12,elect,전기 사용량,-0.6353,-363150.1286,18684619.03,-1.94,감소,15
12,helect,전기 사용량,-0.3483,-223.7636,81786.27,-0.27,감소,11
12,waterCool,수도 사용량,0.9114,106506.6786,3779833.92,2.82,증가,15
12,hwaterCool,수도 사용량,-0.9061,-82.0,5340.18,-1.54,감소,11
