month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.7994,1258292.8636,30002072.14,4.19,증가,11
01,helect,전기 사용량,-0.415,-1950.4364,161739.45,-1.21,감소,11
01,waterCool,수도 사용량,0.9261,254391.0,6252024.09,4.07,증가,11
01,hwaterCool,수도 사용량,0.1723,15.9636,7657.73,0.21,증가,11
02,elect,전기 사용량,0.3945,705574.4727,26936322.91,2.62,증가,11
02,helect,전기 사용량,-0.3033,-176142.8091,1597785.5,-11.02,감소,11
02,waterCool,수도 사용량,0.2085,127945.3636,7672768.64,1.67,증가,11
02,hwaterCool,수도 사용량,-0.2971,-5070.9364,50219.5,-10.1,감소,11
03,elect,전기 사용량,0.7018,849976.3636,25043148.18,3.39,증가,11
03,helect,전기 사용량,-0.3895,-2240.8727,157515.36,-1.42,감소,11
03,waterCool,수도 사용량,0.9181,288466.0,5457063.64,5.29,증가,11
03,hwaterCool,수도 사용량,0.57,76.5545,6692.23,1.14,증가,11
04,elect,전기 사용량,0.5779,553797.8182,22167282.73,2.5,증가,11
04,helect,전기 사용량,-0.3268,-1068.3636,136809.55,-0.78,감소,11
04,waterCool,수도 사용량,0.969,287760.4545,6054726.82,4.75,증가,11
04,hwaterCool,수도 사용량,0.571,68.9364,7434.32,0.93,증가,11
05,elect,전기 사용량,0.579,588729.6364,22638429.09,2.6,증가,11
05,helect,전기 사용량,-0.6205,-2683.2545,151129.91,-1.78,감소,11
05,waterCool,수도 사용량,0.983,292325.7273,5837131.36,5.01,증가,11
05,hwaterCool,수도 사용량,0.5395,52.0182,7396.45,0.7,증가,11
06,elect,전기 사용량,0.6856,1140982.6364,21033675.91,5.42,증가,11
06,helect,전기 사용량,0.1549,580.6182,134553.55,0.43,증가,11
06,waterCool,수도 사용량,0.9793,297322.4545,6433492.27,4.62,증가,11
06,hwaterCool,수도 사용량,0.3491,36.9182,7962.86,0.46,증가,11
07,elect,전기 사용량,0.5607,1516286.5455,29212936.36,5.19,증가,11
07,helect,전기 사용량,0.7105,5636.7,147429.41,3.82,증가,11
07,waterCool,수도 사용량,0.9856,325734.6364,6126831.36,5.32,증가,11
07,hwaterCool,수도 사용량,0.4955,44.0909,7821.45,0.56,증가,11
08,elect,전기 사용량,0.6771,2086492.1818,28909870.0,7.22,증가,11
08,helect,전기 사용량,0.7181,5213.0727,168338.09,3.1,증가,11
08,waterCool,수도 사용량,0.9573,282454.3636,6560958.18,4.31,증가,11
08,hwaterCool,수도 사용량,0.3864,38.3,8039.86,0.48,증가,11
09,elect,전기 사용량,0.7395,1793073.7273,18011895.0,9.95,증가,11
09,helect,전기 사용량,0.4117,1990.8545,130056.36,1.53,증가,11
09,waterCool,수도 사용량,0.958,330846.4545,6281072.27,5.27,증가,11
09,hwaterCool,수도 사용량,0.4395,58.2909,7932.55,0.73,증가,11
10,elect,전기 사용량,0.6462,697448.6364,22758439.55,3.06,증가,11
10,helect,전기 사용량,-0.339,-1259.5545,141403.95,-0.89,감소,11
10,waterCool,수도 사용량,0.957,294786.6364,6043395.0,4.88,증가,11
10,hwaterCool,수도 사용량,0.4769,55.2273,7420.77,0.74,증가,11
11,elect,전기 사용량,0.3463,460674.9091,25833204.36,1.78,증가,11
11,helect,전기 사용량,-0.5413,-1938.6727,148530.45,-1.31,감소,11
11,waterCool,수도 사용량,0.9511,263244.9455,6331151.82,4.16,증가,11
11,hwaterCool,수도 사용량,0.302,23.1818,7862.64,0.29,증가,11
12,elect,전기 사용량,0.7902,1107358.2273,29222682.05,3.79,증가,11
12,helect,전기 사용량,-0.3878,-1878.8091,159764.86,-1.18,감소,11
12,waterCool,수도 사용량,0.9668,276691.0,5889115.0,4.7,증가,11
12,hwaterCool,수도 사용량,0.5308,54.8364,7306.55,0.75,증가,11
