month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,gas,가스 사용량,0.69,14301.1189,27067.18,52.84,증가,12
01,elect,전기 사용량,-0.4026,-116462.0714,12807366.5,-0.91,감소,15
01,helect,전기 사용량,-0.4879,-289.1503,59235.74,-0.49,감소,12
01,waterCool,수도 사용량,0.6852,162405.1786,2089386.28,7.77,증가,15
01,hwaterCool,수도 사용량,-0.7488,-51.1678,3610.92,-1.42,감소,12
02,gas,가스 사용량,0.7671,12627.0757,46659.7,27.06,증가,11
02,elect,전기 사용량,-0.1662,-48267.7143,12095982.0,-0.4,감소,15
02,helect,전기 사용량,-0.8126,-556.5769,59796.09,-0.93,감소,12
02,waterCool,수도 사용량,0.7152,76072.5357,2671330.25,2.85,증가,15
02,hwaterCool,수도 사용량,-0.8392,-54.986,3330.92,-1.65,감소,12
03,gas,가스 사용량,0.4843,6134.1818,51237.27,11.97,증가,11
03,elect,전기 사용량,-0.3677,-100392.7253,10298279.14,-0.97,감소,14
03,helect,전기 사용량,-0.3919,-284.4636,51510.14,-0.55,감소,11
03,waterCool,수도 사용량,0.4768,31155.8462,3080957.71,1.01,증가,14
03,hwaterCool,수도 사용량,-0.9071,-75.2636,3807.5,-1.98,감소,11
04,gas,가스 사용량,0.7171,10879.5205,-4023.75,-270.38,증가,10
04,elect,전기 사용량,-0.32,-70614.7253,10595921.43,-0.67,감소,14
04,helect,전기 사용량,-0.7571,-505.5727,55115.77,-0.92,감소,11
04,waterCool,수도 사용량,0.7035,40077.4066,3035029.71,1.32,증가,14
04,hwaterCool,수도 사용량,-0.4006,-37.7455,3550.36,-1.06,감소,11
05,gas,가스 사용량,0.3829,2660.1798,-6244.85,-42.6,증가,10
05,elect,전기 사용량,-0.3577,-81140.1758,9744376.86,-0.83,감소,14
05,helect,전기 사용량,-0.6146,-324.9091,51146.49,-0.64,감소,10
05,waterCool,수도 사용량,0.8661,62491.1429,3186255.43,1.96,증가,14
05,hwaterCool,수도 사용량,-0.8442,-77.2606,3846.27,-2.01,감소,10
06,gas,가스 사용량,0.6357,1288.7346,-4637.64,-27.79,증가,9
06,elect,전기 사용량,-0.2906,-56355.5108,10052318.39,-0.56,감소,15
06,helect,전기 사용량,-0.4899,-356.5,53415.23,-0.67,감소,11
06,waterCool,수도 사용량,0.6776,49910.217,3152772.28,1.58,증가,15
06,hwaterCool,수도 사용량,-0.9247,-77.5818,3988.09,-1.95,감소,11
07,gas,가스 사용량,0.8419,728.0129,-682.81,-106.62,증가,8
07,elect,전기 사용량,-0.0426,-11624.0357,10274638.92,-0.11,감소,15
07,helect,전기 사용량,0.6022,641.9091,53865.09,1.19,증가,11
07,waterCool,수도 사용량,0.6886,43342.25,3310646.92,1.31,증가,15
07,hwaterCool,수도 사용량,-0.9267,-90.7727,4204.86,-2.16,감소,11
08,gas,가스 사용량,0.8278,741.4779,-108.81,-681.44,증가,6
08,elect,전기 사용량,0.2322,147110.9286,12997173.5,1.13,증가,15
08,helect,전기 사용량,0.536,1834.0364,66698.0,2.75,증가,11
08,waterCool,수도 사용량,0.9116,61083.6429,3233844.5,1.89,증가,15
08,hwaterCool,수도 사용량,-0.6675,-462.5455,6979.55,-6.63,감소,11
09,gas,가스 사용량,0.8388,475.4589,709.61,67.0,증가,5
09,elect,전기 사용량,0.1097,68290.9286,9763088.83,0.7,증가,15
09,helect,전기 사용량,0.6107,1467.5182,51491.68,2.85,증가,11
09,waterCool,수도 사용량,0.8653,60943.5714,3010982.33,2.02,증가,15
09,hwaterCool,수도 사용량,-0.661,-474.8455,6912.23,-6.87,감소,11
10,gas,가스 사용량,0.7209,880.6081,-1602.09,-54.97,증가,8
10,elect,전기 사용량,-0.2835,-64897.9882,9587540.77,-0.68,감소,14
10,helect,전기 사용량,-0.4721,-185.7545,49908.95,-0.37,감소,11
10,waterCool,수도 사용량,0.8516,83470.0059,2900861.38,2.88,증가,14
10,hwaterCool,수도 사용량,-0.9114,-71.1273,3809.73,-1.87,감소,11
11,gas,가스 사용량,0.7453,3925.2727,-2491.82,-157.53,증가,11
11,elect,전기 사용량,-0.5097,-118293.6429,10924313.5,-1.08,감소,15
11,helect,전기 사용량,-0.4102,-831.9909,57812.59,-1.44,감소,11
11,waterCool,수도 사용량,0.9221,85567.5357,2700541.25,3.17,증가,15
11,hwaterCool,수도 사용량,-0.5171,-1414.8636,13153.59,-10.76,감소,11
12,gas,가스 사용량,0.9087,12985.2727,-11784.55,-110.19,증가,11
12,elect,전기 사용량,-0.5381,-156908.0,11870004.0,-1.32,감소,15
12,helect,전기 사용량,-0.5564,-511.9909,55594.5,-0.92,감소,11
12,waterCool,수도 사용량,0.6015,89755.7857,2594914.83,3.46,증가,15
12,hwaterCool,수도 사용량,-0.5498,-411.2727,6143.45,-6.69,감소,11
