month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.7761,-548967.7221,27996976.6,-1.96,감소,16
01,helect,전기 사용량,-0.51,-616.8287,115358.47,-0.53,감소,12
02,elect,전기 사용량,-0.754,-523689.2279,27290579.52,-1.92,감소,16
02,helect,전기 사용량,-0.5324,-649.2902,114233.85,-0.57,감소,12
03,elect,전기 사용량,-0.7021,-389813.4893,20787558.83,-1.88,감소,15
03,helect,전기 사용량,-0.5074,-590.2364,99032.91,-0.6,감소,11
04,elect,전기 사용량,-0.7908,-496981.7393,21942481.04,-2.26,감소,15
04,helect,전기 사용량,-0.6501,-753.0,103272.82,-0.73,감소,11
05,elect,전기 사용량,-0.7671,-430753.9821,19681923.08,-2.19,감소,15
05,helect,전기 사용량,-0.7414,-724.8273,96071.77,-0.75,감소,11
06,elect,전기 사용량,-0.776,-500756.2714,21392375.77,-2.34,감소,15
06,helect,전기 사용량,-0.5646,-686.2182,99023.36,-0.69,감소,11
07,elect,전기 사용량,-0.5866,-427923.5107,22624906.51,-1.89,감소,15
07,helect,전기 사용량,0.6117,999.0545,100771.64,0.99,증가,11
08,elect,전기 사용량,-0.3246,-430067.6143,31113128.57,-1.38,감소,15
08,helect,전기 사용량,0.555,3638.6818,120788.86,3.01,증가,11
09,elect,전기 사용량,-0.303,-345845.3536,22311568.81,-1.55,감소,15
09,helect,전기 사용량,0.6019,2312.3,100606.05,2.3,증가,11
10,elect,전기 사용량,-0.7309,-382401.3714,19336084.87,-1.98,감소,15
10,helect,전기 사용량,0.0041,3.5909,93361.23,0.0,증가,11
11,elect,전기 사용량,-0.81,-516465.5214,22229440.92,-2.32,감소,15
11,helect,전기 사용량,-0.8435,-1048.5364,102342.5,-1.02,감소,11
12,elect,전기 사용량,-0.8185,-486612.2393,23828856.01,-2.04,감소,15
12,helect,전기 사용량,-0.5033,-534.5182,103903.95,-0.51,감소,11
