month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.2311,133252.6029,7075037.35,1.88,증가,16
01,helect,전기 사용량,0.3561,710.2008,48032.37,1.48,증가,7
01,waterCool,수도 사용량,0.1849,3946.525,92676.62,4.26,증가,11
02,elect,전기 사용량,-0.368,-189549.3571,9450137.23,-2.01,감소,15
02,helect,전기 사용량,-0.1964,-372.4754,47787.07,-0.78,감소,7
02,waterCool,수도 사용량,-0.3012,-3407.6807,81801.05,-4.17,감소,7
03,elect,전기 사용량,0.322,164857.5357,5532193.25,2.98,증가,15
03,helect,전기 사용량,-0.741,-531.3429,45888.86,-1.16,감소,6
03,waterCool,수도 사용량,0.649,31224.7901,26205.97,119.15,증가,13
04,elect,전기 사용량,-0.2414,-99980.5714,7512769.43,-1.33,감소,14
04,helect,전기 사용량,-0.2721,-782.1429,47041.19,-1.66,감소,6
04,waterCool,수도 사용량,-0.182,-2734.5878,93051.79,-2.94,감소,8
05,elect,전기 사용량,-0.0148,-5903.033,6438945.43,-0.09,감소,14
05,helect,전기 사용량,0.1956,603.1,42515.0,1.42,증가,5
05,waterCool,수도 사용량,0.4182,8810.9524,57200.0,15.4,증가,10
06,elect,전기 사용량,0.0572,22715.978,6577984.0,0.35,증가,14
06,helect,전기 사용량,0.5294,986.4,42598.67,2.32,증가,6
06,waterCool,수도 사용량,-0.1923,-1822.0287,97218.14,-1.87,감소,7
07,elect,전기 사용량,0.4758,389454.5714,5551666.0,7.02,증가,14
07,helect,전기 사용량,0.4769,2506.0286,50648.26,4.95,증가,6
07,waterCool,수도 사용량,0.8084,28843.4979,42018.06,68.65,증가,10
08,elect,전기 사용량,0.0293,19854.1071,9396733.25,0.21,증가,15
08,helect,전기 사용량,0.161,483.6905,64094.08,0.75,증가,8
08,waterCool,수도 사용량,0.6698,11324.3452,72099.52,15.71,증가,8
09,elect,전기 사용량,-0.1833,-101534.6429,8115187.83,-1.25,감소,15
09,helect,전기 사용량,0.0132,47.6967,51492.52,0.09,증가,7
09,waterCool,수도 사용량,0.325,2963.2347,65815.94,4.5,증가,10
10,elect,전기 사용량,-0.1042,-39845.3214,6829931.25,-0.58,감소,15
10,helect,전기 사용량,0.1179,207.127,44250.17,0.47,증가,7
10,waterCool,수도 사용량,-0.1287,-960.119,82350.6,-1.17,감소,8
11,elect,전기 사용량,-0.6188,-137865.8571,8322855.67,-1.66,감소,15
11,helect,전기 사용량,0.311,569.4262,43017.8,1.32,증가,7
11,waterCool,수도 사용량,0.6915,23002.8721,25406.19,90.54,증가,10
12,elect,전기 사용량,-0.3688,-91811.7409,9072976.94,-1.01,감소,14
12,helect,전기 사용량,0.1331,299.66,47821.8,0.63,증가,6
12,waterCool,수도 사용량,0.3166,4030.9524,64932.74,6.21,증가,8
