month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.6586,-749143.7714,56229383.2,-1.33,감소,15
01,helect,전기 사용량,-0.0222,-39.3477,234310.59,-0.02,감소,10
01,waterCool,수도 사용량,0.968,511106.5,7645469.83,6.69,증가,15
01,hwaterCool,수도 사용량,0.0029,0.4717,12811.33,0.0,증가,10
02,elect,전기 사용량,-0.6614,-678988.5536,55674295.67,-1.22,감소,15
02,helect,전기 사용량,0.3115,823.3394,225650.67,0.36,증가,10
02,waterCool,수도 사용량,0.9572,575008.5,7837455.83,7.34,증가,15
02,hwaterCool,수도 사용량,0.1653,34.2788,12869.95,0.27,증가,10
03,elect,전기 사용량,-0.5072,-583008.8835,44102156.46,-1.32,감소,14
03,helect,전기 사용량,0.0009,2.5667,214137.73,0.0,증가,9
03,waterCool,수도 사용량,0.9596,575876.7033,7382092.86,7.8,증가,14
03,hwaterCool,수도 사용량,0.3335,90.95,12497.42,0.73,증가,9
04,elect,전기 사용량,0.1506,420342.0989,42787760.29,0.98,증가,14
04,helect,전기 사용량,0.2608,714.4667,214218.91,0.33,증가,9
04,waterCool,수도 사용량,0.7463,942852.6154,6639110.86,14.2,증가,14
04,hwaterCool,수도 사용량,-0.3233,-69.7,13111.91,-0.53,감소,9
05,elect,전기 사용량,-0.3938,-1130630.0549,49018749.71,-2.31,감소,14
05,helect,전기 사용량,-0.369,-689.1469,213160.68,-0.32,감소,10
05,waterCool,수도 사용량,0.5243,412596.7253,9748676.29,4.23,증가,14
05,hwaterCool,수도 사용량,0.2685,62.982,13023.7,0.48,증가,10
06,elect,전기 사용량,-0.5012,-503635.5736,44626063.51,-1.13,감소,14
06,helect,전기 사용량,-0.4244,-978.1212,222554.55,-0.44,감소,10
06,waterCool,수도 사용량,0.952,529532.2418,8792761.14,6.02,증가,14
06,hwaterCool,수도 사용량,0.2762,58.2909,12854.29,0.45,증가,10
07,elect,전기 사용량,0.292,376368.7407,45920602.4,0.82,증가,14
07,helect,전기 사용량,0.8619,5411.9806,221023.76,2.45,증가,9
07,waterCool,수도 사용량,0.9415,544213.011,8721479.71,6.24,증가,14
07,hwaterCool,수도 사용량,0.2391,51.1774,13832.35,0.37,증가,9
08,elect,전기 사용량,0.0855,288421.6813,74064578.43,0.39,증가,14
08,helect,전기 사용량,0.4888,10599.9903,300975.38,3.52,증가,9
08,waterCool,수도 사용량,0.9545,507461.2527,9531744.0,5.32,증가,14
08,hwaterCool,수도 사용량,0.0504,8.3677,13917.54,0.06,증가,9
09,elect,전기 사용량,0.1836,658462.3824,55519253.66,1.19,증가,14
09,helect,전기 사용량,0.5333,8405.3333,277101.33,3.03,증가,9
09,waterCool,수도 사용량,0.6359,780342.7912,8787506.86,8.88,증가,14
09,hwaterCool,수도 사용량,0.0166,3.3333,14141.22,0.02,증가,9
10,elect,전기 사용량,0.234,397467.7912,38515593.71,1.03,증가,14
10,helect,전기 사용량,0.7582,5154.9833,201330.51,2.56,증가,9
10,waterCool,수도 사용량,0.6146,822230.989,8177340.0,10.05,증가,14
10,hwaterCool,수도 사용량,0.0654,13.25,13848.0,0.1,증가,9
11,elect,전기 사용량,-0.4783,-508950.8154,44575088.8,-1.14,감소,14
11,helect,전기 사용량,-0.355,-545.497,216232.84,-0.25,감소,10
11,waterCool,수도 사용량,0.9569,546823.6703,8622931.14,6.34,증가,14
11,hwaterCool,수도 사용량,0.143,37.7273,13175.93,0.29,증가,10
12,elect,전기 사용량,-0.5794,-672757.9964,48270155.44,-1.39,감소,15
12,helect,전기 사용량,-0.4947,-860.4424,222027.49,-0.39,감소,10
12,waterCool,수도 사용량,0.9872,576173.2857,7616087.67,7.57,증가,15
12,hwaterCool,수도 사용량,0.2902,70.8727,13220.87,0.54,증가,10
