month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.4701,8510242.3,170810531.8,4.98,증가,4
01,waterHot,급탕 사용량,0.9172,3562958.0,16023848.0,22.24,증가,4
01,elect,전기 사용량,-0.6712,-1355743.1353,73820737.14,-1.84,감소,16
01,helect,전기 사용량,-0.5205,-4887.8151,362707.67,-1.35,감소,11
01,waterCool,수도 사용량,0.9554,632887.1324,14572413.38,4.34,증가,16
01,hwaterCool,수도 사용량,-0.5847,-126.1262,21713.0,-0.58,감소,11
02,heat,난방 사용량,0.7873,15978369.2,120698374.2,13.24,증가,4
02,waterHot,급탕 사용량,0.7956,3306196.0,16964576.0,19.49,증가,4
02,elect,전기 사용량,-0.5553,-1020972.2118,72822041.21,-1.4,감소,16
02,helect,전기 사용량,0.317,783.5768,325579.88,0.24,증가,11
02,waterCool,수도 사용량,0.7776,400840.7206,15586675.22,2.57,증가,16
02,hwaterCool,수도 사용량,-0.6974,-218.7897,21030.34,-1.04,감소,11
03,heat,난방 사용량,0.8193,10945564.3,100212821.3,10.92,증가,4
03,waterHot,급탕 사용량,0.9038,3351350.0,15963750.0,20.99,증가,4
03,elect,전기 사용량,-0.2926,-363140.2357,54678608.78,-0.66,감소,15
03,helect,전기 사용량,0.1868,568.5882,289656.73,0.2,증가,9
03,waterCool,수도 사용량,0.9039,752601.25,13957470.58,5.39,증가,15
03,hwaterCool,수도 사용량,-0.128,-44.8824,21186.52,-0.21,감소,9
04,heat,난방 사용량,0.099,619739.9,64165242.9,0.97,증가,4
04,waterHot,급탕 사용량,0.8767,2761440.0,15307540.0,18.04,증가,4
04,elect,전기 사용량,-0.4748,-621950.4321,59247959.03,-1.05,감소,15
04,helect,전기 사용량,0.0941,227.2636,302728.32,0.08,증가,11
04,waterCool,수도 사용량,0.834,462850.3571,15998664.83,2.89,증가,15
04,hwaterCool,수도 사용량,-0.5842,-160.2,21621.82,-0.74,감소,11
05,heat,난방 사용량,-0.6315,-4459257.0,28880926.0,-15.44,감소,4
05,waterHot,급탕 사용량,0.6646,1603560.0,14842310.0,10.8,증가,4
05,elect,전기 사용량,-0.3697,-828109.675,53334021.79,-1.55,감소,15
05,helect,전기 사용량,-0.0143,-174.3909,273506.14,-0.06,감소,11
05,waterCool,수도 사용량,0.8938,580224.5714,15937836.67,3.64,증가,15
05,hwaterCool,수도 사용량,-0.907,-441.8,24420.55,-1.81,감소,11
06,heat,난방 사용량,-0.6633,-1205999.2,11517922.8,-10.47,감소,4
06,waterHot,급탕 사용량,0.9243,1948660.0,10526660.0,18.51,증가,4
06,elect,전기 사용량,-0.6533,-934511.6464,57464811.53,-1.63,감소,15
06,helect,전기 사용량,-0.4042,-841.6,294876.18,-0.29,감소,11
06,waterCool,수도 사용량,0.8713,553654.1786,16780459.42,3.3,증가,15
06,hwaterCool,수도 사용량,-0.8135,-233.1636,23027.27,-1.01,감소,11
07,heat,난방 사용량,0.6697,989381.6,7189556.6,13.76,증가,4
07,waterHot,급탕 사용량,0.9497,2205670.0,8363670.0,26.37,증가,4
07,elect,전기 사용량,-0.1246,-251684.2071,57527113.92,-0.44,감소,15
07,helect,전기 사용량,-0.283,-3069.4636,331178.32,-0.93,감소,11
07,waterCool,수도 사용량,0.5591,856088.6429,16982364.17,5.04,증가,15
07,hwaterCool,수도 사용량,-0.8822,-511.3818,25812.73,-1.98,감소,11
08,heat,난방 사용량,-0.0196,-36406.5,3894863.5,-0.93,감소,4
08,waterHot,급탕 사용량,0.8633,1749820.0,6939670.0,25.21,증가,4
08,elect,전기 사용량,-0.4415,-1888660.8714,87825724.5,-2.15,감소,15
08,helect,전기 사용량,0.4084,6163.3896,359926.9,1.71,증가,10
08,waterCool,수도 사용량,0.844,508322.1071,17658239.25,2.88,증가,15
08,hwaterCool,수도 사용량,-0.8499,-267.0065,23945.94,-1.12,감소,10
09,heat,난방 사용량,-0.9308,-4281083.1,12921556.9,-33.13,감소,4
09,waterHot,급탕 사용량,-0.2987,-1508620.0,11880280.0,-12.7,감소,4
09,elect,전기 사용량,0.2034,952977.0143,56786438.57,1.68,증가,15
09,helect,전기 사용량,0.8963,19697.974,292428.74,6.74,증가,10
09,waterCool,수도 사용량,0.86,568694.1071,16685041.92,3.41,증가,15
09,hwaterCool,수도 사용량,-0.845,-191.7143,22938.86,-0.84,감소,10
10,heat,난방 사용량,-0.812,-3413510.0,37743937.33,-9.04,감소,3
10,waterHot,급탕 사용량,0.9754,2408300.0,11790433.33,20.43,증가,3
10,elect,전기 사용량,0.0927,176827.0,49337443.93,0.36,증가,15
10,helect,전기 사용량,0.777,7076.1091,265506.09,2.67,증가,11
10,waterCool,수도 사용량,0.899,607425.8571,15347423.67,3.96,증가,15
10,hwaterCool,수도 사용량,-0.91,-266.0818,22886.5,-1.16,감소,11
11,heat,난방 사용량,0.329,5283290.5,77278613.83,6.84,증가,3
11,waterHot,급탕 사용량,0.8346,4881400.0,13482300.0,36.21,증가,3
11,elect,전기 사용량,-0.6422,-1010363.0929,59509859.65,-1.7,감소,15
11,helect,전기 사용량,-0.4334,-920.1688,296886.81,-0.31,감소,10
11,waterCool,수도 사용량,0.8788,501260.7143,15974377.67,3.14,증가,15
11,hwaterCool,수도 사용량,-0.8597,-193.1147,22008.02,-0.88,감소,10
12,heat,난방 사용량,0.8819,23180540.0,120596682.0,19.22,증가,3
12,waterHot,급탕 사용량,0.9475,4801650.0,16884083.33,28.44,증가,3
12,elect,전기 사용량,-0.6843,-1168701.3821,63613324.41,-1.84,감소,15
12,helect,전기 사용량,-0.7065,-1652.7273,306762.91,-0.54,감소,11
12,waterCool,수도 사용량,0.9345,614487.2857,14755124.33,4.16,증가,15
