month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.7525,-1039821.5529,57023702.77,-1.82,감소,16
01,helect,전기 사용량,0.1491,355.5849,220142.51,0.16,증가,11
01,waterCool,수도 사용량,0.9323,329495.6176,10683555.37,3.08,증가,16
01,hwaterCool,수도 사용량,-0.7964,-226.5147,15411.63,-1.47,감소,11
02,elect,전기 사용량,-0.7105,-1097792.1286,55974107.63,-1.96,감소,15
02,helect,전기 사용량,0.0787,144.4136,219610.01,0.07,증가,10
02,waterCool,수도 사용량,0.8916,364556.0,10837293.33,3.36,증가,15
02,hwaterCool,수도 사용량,-0.7669,-209.956,15718.97,-1.34,감소,10
03,elect,전기 사용량,-0.5658,-539094.3036,42438335.86,-1.27,감소,15
03,helect,전기 사용량,-0.2548,-687.5335,198635.63,-0.35,감소,10
03,waterCool,수도 사용량,0.8326,278641.1786,10787041.75,2.58,증가,15
03,hwaterCool,수도 사용량,-0.7474,-263.982,15119.3,-1.75,감소,10
04,elect,전기 사용량,-0.6971,-682372.7964,45363562.71,-1.5,감소,15
04,helect,전기 사용량,-0.3221,-609.5368,203201.03,-0.3,감소,9
04,waterCool,수도 사용량,0.8819,393541.75,10601771.75,3.71,증가,15
04,hwaterCool,수도 사용량,-0.6187,-150.7578,15300.18,-0.99,감소,9
05,elect,전기 사용량,-0.6808,-543924.3429,40488094.67,-1.34,감소,15
05,helect,전기 사용량,-0.2684,-389.2455,189839.95,-0.21,감소,11
05,waterCool,수도 사용량,0.5806,451457.6071,9859106.08,4.58,증가,15
05,hwaterCool,수도 사용량,-0.869,-253.9364,15960.5,-1.59,감소,11
06,elect,전기 사용량,-0.6525,-604525.6929,43360790.58,-1.39,감소,15
06,helect,전기 사용량,-0.3274,-732.0,199145.73,-0.37,감소,11
06,waterCool,수도 사용량,0.9075,373504.4893,11714266.37,3.19,증가,15
06,hwaterCool,수도 사용량,-0.8238,-235.4364,16794.55,-1.4,감소,11
07,elect,전기 사용량,-0.5115,-834127.85,49414130.55,-1.69,감소,15
07,helect,전기 사용량,0.4116,2475.8545,205129.36,1.21,증가,11
07,waterCool,수도 사용량,-0.3407,-2071613.6071,36358373.92,-5.7,감소,15
07,hwaterCool,수도 사용량,-0.8641,-346.8273,17297.5,-2.01,감소,11
08,elect,전기 사용량,-0.213,-598144.0775,66348199.36,-0.9,감소,14
08,helect,전기 사용량,0.5598,8778.6273,246393.41,3.56,증가,11
08,waterCool,수도 사용량,0.7548,248381.0178,13075908.15,1.9,증가,14
08,hwaterCool,수도 사용량,-0.6386,-245.0091,17014.23,-1.44,감소,11
09,elect,전기 사용량,-0.0954,-222415.8357,46833820.72,-0.47,감소,15
09,helect,전기 사용량,0.7034,7267.7636,193757.64,3.75,증가,11
09,waterCool,수도 사용량,0.8732,354484.1071,12035406.58,2.95,증가,15
09,hwaterCool,수도 사용량,-0.5465,-180.2818,16235.95,-1.11,감소,11
10,elect,전기 사용량,-0.4689,-437662.0653,40411274.69,-1.08,감소,14
10,helect,전기 사용량,-0.0635,-427.5697,200088.96,-0.21,감소,10
10,waterCool,수도 사용량,0.8082,258688.5416,11558181.95,2.24,증가,14
10,hwaterCool,수도 사용량,-0.8158,-312.6364,15795.16,-1.98,감소,10
11,elect,전기 사용량,-0.7329,-751628.2107,45456359.14,-1.65,감소,15
11,helect,전기 사용량,0.0774,146.9242,193625.91,0.08,증가,10
11,waterCool,수도 사용량,0.8712,288532.75,11589194.08,2.49,증가,15
11,hwaterCool,수도 사용량,-0.7525,-240.5238,16246.93,-1.48,감소,10
12,elect,전기 사용량,-0.7757,-932496.2571,49427636.07,-1.89,감소,15
12,helect,전기 사용량,-0.303,-478.7641,205854.03,-0.23,감소,10
12,waterCool,수도 사용량,0.9049,268527.1786,11007955.08,2.44,증가,15
12,hwaterCool,수도 사용량,-0.7105,-222.6472,14853.69,-1.5,감소,10
