month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-1.0,-95050.0,244970.0,-38.8,감소,2
01,elect,전기 사용량,0.0173,20002.9714,11406925.27,0.18,증가,15
01,helect,전기 사용량,0.5387,2027.4169,44277.06,4.58,증가,10
01,waterCool,수도 사용량,0.949,130066.0412,2576314.19,5.05,증가,12
01,hwaterCool,수도 사용량,-0.4442,-27.2137,3886.23,-0.7,감소,9
02,heat,난방 사용량,-1.0,-60680.0,253080.0,-23.98,감소,2
02,elect,전기 사용량,0.0841,101548.5321,10914239.88,0.93,증가,15
02,helect,전기 사용량,-0.5862,-137388.0108,1171620.37,-11.73,감소,10
02,waterCool,수도 사용량,0.9251,143756.6787,2334521.85,6.16,증가,12
02,hwaterCool,수도 사용량,0.0606,5.0754,3707.56,0.14,증가,9
03,heat,난방 사용량,-1.0,-61390.0,176660.0,-34.75,감소,2
03,elect,전기 사용량,-0.0033,-3217.0,8679444.4,-0.04,감소,15
03,helect,전기 사용량,0.7455,3990.6411,23607.3,16.9,증가,9
03,waterCool,수도 사용량,0.7724,182352.1513,1815427.74,10.04,증가,12
03,hwaterCool,수도 사용량,-0.5843,-67.6786,3837.61,-1.76,감소,7
04,heat,난방 사용량,-1.0,-61700.0,112860.0,-54.67,감소,2
04,elect,전기 사용량,-0.1597,-145780.3571,11398219.7,-1.28,감소,15
04,helect,전기 사용량,0.476,2484.2545,37292.27,6.66,증가,11
04,waterCool,수도 사용량,0.6956,153296.0,1972145.14,7.77,증가,14
04,hwaterCool,수도 사용량,0.1176,8.1088,3664.59,0.22,증가,9
05,heat,난방 사용량,-1.0,-26850.0,39890.0,-67.31,감소,2
05,elect,전기 사용량,-0.1248,-100125.9643,9981889.62,-1.0,감소,15
05,helect,전기 사용량,0.6379,2679.7514,34030.55,7.87,증가,9
05,waterCool,수도 사용량,0.7557,187828.4481,2064453.83,9.1,증가,14
05,hwaterCool,수도 사용량,-0.1324,-9.8333,3836.67,-0.26,감소,8
06,heat,난방 사용량,-1.0,-3210.0,6510.0,-49.31,감소,2
06,elect,전기 사용량,-0.1355,-115696.1036,10596720.99,-1.09,감소,15
06,helect,전기 사용량,0.6663,3559.1558,28739.06,12.38,증가,10
06,waterCool,수도 사용량,0.6883,161560.356,2095518.2,7.71,증가,14
06,hwaterCool,수도 사용량,-0.5103,-43.6071,4042.0,-1.08,감소,8
07,heat,난방 사용량,-1.0,-900.0,4860.0,-18.52,감소,2
07,elect,전기 사용량,-0.1329,-170735.05,13016771.82,-1.31,감소,15
07,helect,전기 사용량,0.1011,597.2197,58882.76,1.01,증가,10
07,waterCool,수도 사용량,0.5554,141686.2457,2395692.08,5.91,증가,14
07,hwaterCool,수도 사용량,-0.6822,-52.0941,4148.89,-1.26,감소,9
08,heat,난방 사용량,1.0,850.0,2430.0,34.98,증가,2
08,elect,전기 사용량,0.04,50753.3503,15153673.47,0.33,증가,14
08,helect,전기 사용량,0.5264,3808.9727,58986.77,6.46,증가,11
08,waterCool,수도 사용량,0.9093,150655.2387,2454824.32,6.14,증가,13
08,hwaterCool,수도 사용량,0.3121,37.3879,3770.45,0.99,증가,10
09,heat,난방 사용량,1.0,1450.0,2490.0,58.23,증가,2
09,elect,전기 사용량,-0.0297,-41932.2464,13843650.46,-0.3,감소,15
09,helect,전기 사용량,0.7252,5622.6,35978.18,15.63,증가,11
09,waterCool,수도 사용량,0.8923,127987.4843,2797029.92,4.58,증가,13
09,hwaterCool,수도 사용량,-0.4471,-29.2242,4173.65,-0.7,감소,9
10,heat,난방 사용량,-1.0,-2860.0,6800.0,-42.06,감소,2
10,elect,전기 사용량,0.1128,113433.0393,8502683.26,1.33,증가,15
10,helect,전기 사용량,0.818,4705.3545,22949.41,20.5,증가,11
10,waterCool,수도 사용량,0.9412,132794.8479,2520079.47,5.27,증가,12
10,hwaterCool,수도 사용량,-0.6597,-72.0119,4183.67,-1.72,감소,8
11,heat,난방 사용량,-0.7928,-25255.0,91111.67,-27.72,감소,3
11,elect,전기 사용량,-0.187,-159186.2571,10848933.4,-1.47,감소,15
11,helect,전기 사용량,0.398,1616.9271,41840.49,3.86,증가,10
11,waterCool,수도 사용량,0.9286,138021.9518,2576157.43,5.36,증가,13
11,hwaterCool,수도 사용량,-0.5853,-49.493,4150.74,-1.19,감소,9
12,heat,난방 사용량,-0.7657,-45850.0,198473.33,-23.1,감소,3
12,elect,전기 사용량,-0.0765,-72010.2714,10365246.3,-0.69,감소,15
12,helect,전기 사용량,0.393,1340.1646,46026.1,2.91,증가,10
12,waterCool,수도 사용량,0.7771,177446.7639,1845292.63,9.62,증가,13
12,hwaterCool,수도 사용량,0.2929,13.6245,3638.69,0.37,증가,10
