month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.1428,-379904.644,39268578.97,-0.97,감소,14
01,helect,전기 사용량,-0.5249,-10672.7098,247608.32,-4.31,감소,12
01,waterCool,수도 사용량,0.4753,243417.1733,7132023.1,3.41,증가,13
01,hwaterCool,수도 사용량,-0.3472,-238.685,10534.04,-2.27,감소,11
02,elect,전기 사용량,-0.2048,-567292.5385,38846720.85,-1.46,감소,13
02,helect,전기 사용량,-0.5192,-11642.6091,245745.23,-4.74,감소,11
02,waterCool,수도 사용량,0.4763,249615.4396,7312711.53,3.41,증가,12
02,hwaterCool,수도 사용량,-0.2973,-221.809,10370.23,-2.14,감소,10
03,elect,전기 사용량,-0.2304,-379410.6154,28533605.08,-1.33,감소,13
03,helect,전기 사용량,-0.4844,-6593.3273,189039.45,-3.49,감소,11
03,waterCool,수도 사용량,0.9607,257830.7692,6169264.55,4.18,증가,12
03,hwaterCool,수도 사용량,-0.36,-54.2957,8195.71,-0.66,감소,10
04,elect,전기 사용량,-0.2136,-337679.6538,28979467.38,-1.17,감소,13
04,helect,전기 사용량,-0.1535,-1992.2,159137.82,-1.25,감소,11
04,waterCool,수도 사용량,0.9673,322007.8022,6624726.52,4.86,증가,12
04,hwaterCool,수도 사용량,-0.284,-40.2342,8888.69,-0.45,감소,10
05,elect,전기 사용량,-0.1693,-260028.0385,26252332.85,-0.99,감소,13
05,helect,전기 사용량,-0.2479,-3075.4364,157824.09,-1.95,감소,11
05,waterCool,수도 사용량,0.9544,298976.3187,6447739.59,4.64,증가,12
05,hwaterCool,수도 사용량,-0.3629,-68.2167,8883.71,-0.77,감소,10
06,elect,전기 사용량,-0.2373,-364073.6176,29075950.94,-1.25,감소,14
06,helect,전기 사용량,-0.3613,-4517.4182,171376.45,-2.64,감소,11
06,waterCool,수도 사용량,0.9696,303532.2207,6535764.88,4.64,증가,13
06,hwaterCool,수도 사용량,-0.5026,-59.8696,9199.13,-0.65,감소,10
07,elect,전기 사용량,-0.0798,-99191.578,32933617.26,-0.3,감소,14
07,helect,전기 사용량,-0.4004,-3476.2727,195246.73,-1.78,감소,11
07,waterCool,수도 사용량,0.9756,334335.6923,6225005.14,5.37,증가,14
07,hwaterCool,수도 사용량,-0.3271,-29.8818,8917.41,-0.34,감소,11
08,elect,전기 사용량,0.0308,68760.9495,41882912.83,0.16,증가,14
08,helect,전기 사용량,-0.2192,-2631.0887,242122.28,-1.09,감소,10
08,waterCool,수도 사용량,0.9707,314580.989,6410732.86,4.91,증가,14
08,hwaterCool,수도 사용량,-0.375,-9319.4264,84426.9,-11.04,감소,10
09,elect,전기 사용량,0.1178,286049.2242,30341619.54,0.94,증가,14
09,helect,전기 사용량,0.0599,910.5974,166300.97,0.55,증가,10
09,waterCool,수도 사용량,0.5447,343130.6813,5626082.0,6.1,증가,14
09,hwaterCool,수도 사용량,-0.3625,-36.4845,8994.86,-0.41,감소,9
10,elect,전기 사용량,-0.0551,-88766.8264,25737257.37,-0.34,감소,14
10,helect,전기 사용량,-0.2741,-3760.8528,165004.81,-2.28,감소,10
10,waterCool,수도 사용량,0.5562,317618.7473,5532124.57,5.74,증가,14
10,hwaterCool,수도 사용량,-0.6708,-62.4341,8837.68,-0.71,감소,9
11,elect,전기 사용량,-0.2314,-374001.8022,29746165.86,-1.26,감소,14
11,helect,전기 사용량,-0.3134,-4359.0931,172042.9,-2.53,감소,10
11,waterCool,수도 사용량,0.5691,343375.7582,5458761.14,6.29,증가,14
11,hwaterCool,수도 사용량,-0.4706,-63.4767,8922.03,-0.71,감소,9
12,elect,전기 사용량,-0.3036,-721054.6945,36159597.66,-1.99,감소,14
12,helect,전기 사용량,-0.5259,-11237.7636,227229.0,-4.95,감소,11
12,waterCool,수도 사용량,0.3154,231343.2088,6378983.43,3.63,증가,14
12,hwaterCool,수도 사용량,-0.5001,-418.9053,11283.01,-3.71,감소,10
