month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,gas,가스 사용량,0.9038,241190.0,183796.67,131.23,증가,3
01,hgas,가스 사용량,0.9536,26.5,567.83,4.67,증가,3
01,elect,전기 사용량,-0.4346,-423610.25,13895593.75,-3.05,감소,15
01,helect,전기 사용량,-0.4129,-6867.75,155085.22,-4.43,감소,9
01,waterCool,수도 사용량,0.2551,81735.0929,2995537.82,2.73,증가,15
01,hwaterCool,수도 사용량,-0.511,-566880.5667,3676263.16,-15.42,감소,9
02,gas,가스 사용량,1.0,119220.0,262560.0,45.41,증가,2
02,hgas,가스 사용량,1.0,114.0,300.0,38.0,증가,2
02,elect,전기 사용량,-0.7396,-581406.6374,14798640.29,-3.93,감소,14
02,helect,전기 사용량,-0.0748,-1002.3333,116668.67,-0.86,감소,9
02,waterCool,수도 사용량,0.8611,89288.8462,3425785.71,2.61,증가,14
02,hwaterCool,수도 사용량,-0.274,-135514.65,998903.6,-13.57,감소,9
03,gas,가스 사용량,1.0,71070.0,211120.0,33.66,증가,2
03,hgas,가스 사용량,1.0,89.0,219.0,40.64,증가,2
03,elect,전기 사용량,-0.7281,-499385.1209,12032968.29,-4.15,감소,14
03,helect,전기 사용량,-0.206,-2330.1167,109219.13,-2.13,감소,9
03,waterCool,수도 사용량,-0.1701,-12241.956,3785809.14,-0.32,감소,14
03,hwaterCool,수도 사용량,-0.2742,-115095.15,848845.16,-13.56,감소,9
04,gas,가스 사용량,-1.0,-100070.0,225900.0,-44.3,감소,2
04,hgas,가스 사용량,-1.0,-76.0,213.0,-35.68,감소,2
04,elect,전기 사용량,-0.6404,-582021.4917,12389089.56,-4.7,감소,13
04,helect,전기 사용량,-0.0492,-743.1833,95462.4,-0.78,감소,9
04,waterCool,수도 사용량,-0.0227,-6100.6906,3703910.17,-0.16,감소,13
04,hwaterCool,수도 사용량,-0.2736,-119564.0167,881774.73,-13.56,감소,9
05,gas,가스 사용량,-1.0,-63390.0,141570.0,-44.78,감소,2
05,hgas,가스 사용량,-1.0,-63.0,147.0,-42.86,감소,2
05,elect,전기 사용량,-0.7181,-426164.1099,11119683.14,-3.83,감소,14
05,helect,전기 사용량,-0.1237,-1295.9,100620.27,-1.29,감소,9
05,waterCool,수도 사용량,0.5176,49150.4176,3826870.86,1.28,증가,14
05,hwaterCool,수도 사용량,-0.2738,-157023.0333,1156843.24,-13.57,감소,9
06,gas,가스 사용량,1.0,37100.0,35900.0,103.34,증가,2
06,hgas,가스 사용량,1.0,36.0,37.0,97.3,증가,2
06,elect,전기 사용량,-0.6314,-376277.3846,11369822.29,-3.31,감소,14
06,helect,전기 사용량,-0.2241,-3089.2167,120001.64,-2.57,감소,9
06,waterCool,수도 사용량,0.1055,28098.6813,4382032.86,0.64,증가,14
06,hwaterCool,수도 사용량,-0.2741,-158330.6,1166883.18,-13.57,감소,9
07,gas,가스 사용량,1.0,63880.0,26120.0,244.56,증가,2
07,hgas,가스 사용량,1.0,63.0,27.0,233.33,증가,2
07,elect,전기 사용량,-0.5423,-524951.011,12353709.43,-4.25,감소,14
07,helect,전기 사용량,0.0081,138.4167,99151.22,0.14,증가,9
07,waterCool,수도 사용량,-0.0829,-23998.9451,4308923.14,-0.56,감소,14
07,hwaterCool,수도 사용량,-0.2739,-162660.8833,1197725.76,-13.58,감소,9
08,gas,가스 사용량,1.0,10670.0,22280.0,47.89,증가,2
08,hgas,가스 사용량,1.0,9.0,24.0,37.5,증가,2
08,elect,전기 사용량,-0.3355,-346330.2198,14147417.14,-2.45,감소,14
08,helect,전기 사용량,0.0192,464.7333,134568.29,0.35,증가,9
08,waterCool,수도 사용량,0.2839,86218.0154,3651397.26,2.36,증가,14
08,hwaterCool,수도 사용량,-0.274,-166858.45,1229173.47,-13.57,감소,9
09,gas,가스 사용량,-1.0,-80620.0,108400.0,-74.37,감소,2
09,hgas,가스 사용량,-1.0,-87.0,115.0,-75.65,감소,2
09,elect,전기 사용량,-0.4564,-316565.25,11726970.75,-2.7,감소,15
09,helect,전기 사용량,-0.0223,-241.7667,119700.4,-0.2,감소,9
09,waterCool,수도 사용량,0.5878,39133.3214,4067426.08,0.96,증가,15
09,hwaterCool,수도 사용량,-0.2741,-152180.85,1121395.62,-13.57,감소,9
10,gas,가스 사용량,-1.0,-63640.0,221540.0,-28.73,감소,2
10,hgas,가스 사용량,-1.0,-77.0,239.0,-32.22,감소,2
10,elect,전기 사용량,-0.744,-551647.925,11599065.68,-4.76,감소,15
10,helect,전기 사용량,-0.216,-2214.0,109539.89,-2.02,감소,9
10,waterCool,수도 사용량,-0.2503,-66019.3107,4442151.78,-1.49,감소,15
10,hwaterCool,수도 사용량,-0.274,-149967.7833,1105065.24,-13.57,감소,9
11,gas,가스 사용량,-1.0,-80580.0,407380.0,-19.78,감소,2
11,hgas,가스 사용량,0.9038,80.1429,22.9,349.9,증가,3
11,elect,전기 사용량,-0.7473,-456817.25,12066757.42,-3.79,감소,15
11,helect,전기 사용량,-0.0548,-491.9,98926.04,-0.5,감소,9
11,waterCool,수도 사용량,0.3088,30819.725,3875232.13,0.8,증가,15
11,hwaterCool,수도 사용량,-0.274,-147764.25,1088813.78,-13.57,감소,9
12,gas,가스 사용량,-1.0,-96550.0,509740.0,-18.94,감소,2
12,hgas,가스 사용량,-1.0,-128.0,552.0,-23.19,감소,2
12,elect,전기 사용량,-0.6336,-526329.3929,12456067.88,-4.23,감소,15
12,helect,전기 사용량,-0.4124,-762494.1167,4846477.69,-15.73,감소,9
12,waterCool,수도 사용량,0.1686,39982.5214,3463451.08,1.15,증가,15
12,hwaterCool,수도 사용량,-0.5154,-534448.3,3476374.42,-15.37,감소,9
