month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.7657,14775.4286,107438.1,13.75,증가,6
01,elect,전기 사용량,-0.3565,-72598.75,6367600.58,-1.14,감소,15
01,helect,전기 사용량,-0.3152,-194.2597,45111.38,-0.43,감소,9
01,waterCool,수도 사용량,0.5034,20338.0357,1640320.42,1.24,증가,15
01,hwaterCool,수도 사용량,-0.4542,-23.8435,2377.01,-1.0,감소,9
02,heat,난방 사용량,-0.4652,-13153.7143,220657.62,-5.96,감소,6
02,elect,전기 사용량,-0.3568,-72783.3929,6419210.42,-1.13,감소,15
02,helect,전기 사용량,-0.4676,-384.2339,46054.03,-0.83,감소,9
02,waterCool,수도 사용량,0.5533,22851.7582,1584188.57,1.44,증가,14
02,hwaterCool,수도 사용량,-0.3006,-34.4984,2430.1,-1.42,감소,9
03,heat,난방 사용량,-0.4282,-9040.0,149268.0,-6.06,감소,5
03,elect,전기 사용량,-0.4312,-94134.1758,5143235.71,-1.83,감소,14
03,helect,전기 사용량,-0.2549,-302.6,40581.62,-0.75,감소,9
03,waterCool,수도 사용량,0.6162,30393.2088,1567447.71,1.94,증가,14
03,hwaterCool,수도 사용량,-0.6104,-35.6,2474.4,-1.44,감소,9
04,heat,난방 사용량,0.5635,11327.0,43620.0,25.97,증가,5
04,elect,전기 사용량,-0.4478,-81876.044,5355495.49,-1.53,감소,13
04,helect,전기 사용량,-0.9627,-745.0333,43923.58,-1.7,감소,9
04,waterCool,수도 사용량,0.6674,12629.5055,1715952.2,0.74,증가,13
04,hwaterCool,수도 사용량,-0.3202,-13.15,2308.16,-0.57,감소,9
05,heat,난방 사용량,0.3679,4552.0,24796.0,18.36,증가,5
05,elect,전기 사용량,-0.498,-96649.5604,5075992.86,-1.9,감소,14
05,helect,전기 사용량,-0.8907,-698.9167,41388.56,-1.69,감소,9
05,waterCool,수도 사용량,0.015,372.4396,1934399.14,0.02,증가,14
05,hwaterCool,수도 사용량,-0.7667,-56.7833,2641.02,-2.15,감소,9
06,heat,난방 사용량,0.4823,916.0,16696.0,5.49,증가,5
06,elect,전기 사용량,-0.5409,-111001.011,5391070.86,-2.06,감소,14
06,helect,전기 사용량,-0.699,-534.85,41840.29,-1.28,감소,9
06,waterCool,수도 사용량,-0.0217,-831.8462,1951176.29,-0.04,감소,14
06,hwaterCool,수도 사용량,-0.3987,-27.7,2533.36,-1.09,감소,9
07,heat,난방 사용량,0.4156,739.0,4370.0,16.91,증가,5
07,elect,전기 사용량,0.2613,103970.8593,3910334.49,2.66,증가,14
07,helect,전기 사용량,0.0827,89.6167,42662.64,0.21,증가,9
07,waterCool,수도 사용량,0.4889,66494.9846,1468870.74,4.53,증가,14
07,hwaterCool,수도 사용량,-0.6593,-28.85,2635.73,-1.09,감소,9
08,heat,난방 사용량,0.9738,1659.0,190.0,873.16,증가,5
08,elect,전기 사용량,-0.1835,-54897.8286,6543775.31,-0.84,감소,14
08,helect,전기 사용량,0.1293,299.0333,54540.2,0.55,증가,9
08,waterCool,수도 사용량,0.2965,8050.1319,1959373.43,0.41,증가,14
08,hwaterCool,수도 사용량,-0.6557,-37.75,2727.44,-1.38,감소,9
09,heat,난방 사용량,0.944,975.0,1090.0,89.45,증가,5
09,elect,전기 사용량,-0.0601,-19945.125,5305196.87,-0.38,감소,15
09,helect,전기 사용량,0.4881,946.8167,42838.4,2.21,증가,9
09,waterCool,수도 사용량,0.5037,23468.0357,1683488.42,1.39,증가,15
09,hwaterCool,수도 사용량,-0.8047,-47.7333,2662.6,-1.79,감소,9
10,heat,난방 사용량,0.6862,1401.0,1414.0,99.08,증가,5
10,elect,전기 사용량,-0.4654,-105637.8929,5157856.45,-2.05,감소,15
10,helect,전기 사용량,-0.3362,-209.1333,39825.53,-0.53,감소,9
10,waterCool,수도 사용량,0.5134,21155.3571,1632931.83,1.3,증가,15
10,hwaterCool,수도 사용량,0.0648,3.3333,2325.67,0.14,증가,9
11,heat,난방 사용량,0.1929,1476.0,18532.0,7.96,증가,5
11,elect,전기 사용량,-0.6383,-136858.8929,5532304.92,-2.47,감소,15
11,helect,전기 사용량,-0.6726,-420.4286,40882.5,-1.03,감소,8
11,waterCool,수도 사용량,0.3541,7427.2143,1738465.5,0.43,증가,15
11,hwaterCool,수도 사용량,-0.566,-27.6905,2405.92,-1.15,감소,8
12,heat,난방 사용량,0.4528,5007.0,43806.0,11.43,증가,5
12,elect,전기 사용량,-0.5803,-119890.5,5652570.17,-2.12,감소,15
12,helect,전기 사용량,-0.3862,-394.2024,42300.58,-0.93,감소,8
12,waterCool,수도 사용량,0.3761,6834.9643,1721526.58,0.4,증가,15
12,hwaterCool,수도 사용량,-0.0979,-7.3214,2259.5,-0.32,감소,8
