month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,waterHot,급탕 사용량,0.5045,103341.5311,289337.46,35.72,증가,6
01,hwaterHot,급탕 사용량,-0.3798,-80.6926,8803.53,-0.92,감소,7
01,elect,전기 사용량,-0.5377,-682034.2857,42264779.33,-1.61,감소,15
01,helect,전기 사용량,0.153,206.4099,184525.93,0.11,증가,11
01,waterCool,수도 사용량,0.9392,411186.6786,8595858.58,4.78,증가,15
01,hwaterCool,수도 사용량,-0.0926,-11.9666,12024.99,-0.1,감소,11
02,waterHot,급탕 사용량,0.484,93375.5479,219913.84,42.46,증가,7
02,hwaterHot,급탕 사용량,-0.9018,-301.5595,8974.08,-3.36,감소,8
02,elect,전기 사용량,-0.7871,-1302553.7971,46173086.1,-2.82,감소,16
02,helect,전기 사용량,-0.8373,-2911.8462,190770.32,-1.53,감소,12
02,waterCool,수도 사용량,0.9502,401712.6429,7772941.5,5.17,증가,15
02,hwaterCool,수도 사용량,-0.1987,-34.1538,11158.01,-0.31,감소,12
03,waterHot,급탕 사용량,0.8588,222194.6429,-220353.93,-100.84,증가,7
03,hwaterHot,급탕 사용량,-0.0356,-10.1786,8004.11,-0.13,감소,7
03,elect,전기 사용량,-0.3735,-336740.8901,33165726.0,-1.02,감소,14
03,helect,전기 사용량,0.4554,1104.7273,163971.09,0.67,증가,11
03,waterCool,수도 사용량,0.8838,416843.8681,8461409.14,4.93,증가,14
03,hwaterCool,수도 사용량,-0.123,-24.8455,11973.14,-0.21,감소,11
04,waterHot,급탕 사용량,0.4948,115578.5714,187702.86,61.58,증가,7
04,hwaterHot,급탕 사용량,-0.6631,-321.4286,8993.57,-3.57,감소,7
04,elect,전기 사용량,-0.7241,-848790.5055,36293845.29,-2.34,감소,14
04,helect,전기 사용량,-0.872,-1852.8182,175779.0,-1.05,감소,11
04,waterCool,수도 사용량,0.9319,427528.8352,8667835.43,4.93,증가,14
04,hwaterCool,수도 사용량,-0.1189,-20.5,11933.59,-0.17,감소,11
05,waterHot,급탕 사용량,0.4607,122438.9286,241157.5,50.77,증가,7
05,hwaterHot,급탕 사용량,-0.9255,-304.4714,9794.57,-3.11,감소,6
05,elect,전기 사용량,-0.4294,-384538.9956,31749245.69,-1.21,감소,14
05,helect,전기 사용량,0.1583,267.1545,161609.59,0.17,증가,11
05,waterCool,수도 사용량,0.7348,345295.1648,9344124.29,3.7,증가,14
05,hwaterCool,수도 사용량,-0.5823,-190.6636,13068.14,-1.46,감소,11
06,waterHot,급탕 사용량,0.4627,130387.5,252220.36,51.7,증가,7
06,hwaterHot,급탕 사용량,-0.8074,-283.25,10137.61,-2.79,감소,7
06,elect,전기 사용량,-0.3623,-380400.6725,33596016.66,-1.13,감소,14
06,helect,전기 사용량,0.4656,860.0364,167299.64,0.51,증가,11
06,waterCool,수도 사용량,0.9456,478776.6593,9264547.43,5.17,증가,14
06,hwaterCool,수도 사용량,-0.2019,-39.9545,13109.05,-0.3,감소,11
07,waterHot,급탕 사용량,0.5077,143570.7143,453159.29,31.68,증가,7
07,hwaterHot,급탕 사용량,-0.7827,-282.2857,10979.71,-2.57,감소,7
07,elect,전기 사용량,0.188,299721.25,34940091.52,0.86,증가,15
07,helect,전기 사용량,0.7718,8668.0,164964.0,5.25,증가,11
07,waterCool,수도 사용량,0.908,432890.9643,9152638.58,4.73,증가,15
07,hwaterCool,수도 사용량,-0.4301,-59.8364,13400.55,-0.45,감소,11
08,waterHot,급탕 사용량,0.8979,279795.0,-26215.0,-1067.31,증가,5
08,hwaterHot,급탕 사용량,-0.4216,-125.4857,9390.05,-1.34,감소,6
08,elect,전기 사용량,-0.2671,-710076.3107,55458411.91,-1.28,감소,15
08,helect,전기 사용량,0.4956,5989.9131,217064.36,2.76,증가,10
08,waterCool,수도 사용량,0.957,459711.3214,9070110.75,5.07,증가,15
08,hwaterCool,수도 사용량,-0.2024,-48.5155,13585.93,-0.36,감소,10
09,waterHot,급탕 사용량,0.8678,287812.0,-157373.33,-182.88,증가,6
09,hwaterHot,급탕 사용량,-0.2525,-57.8571,8931.14,-0.65,감소,6
09,elect,전기 사용량,-0.4085,-772746.2964,39279884.34,-1.97,감소,15
09,helect,전기 사용량,0.2742,1006.4136,173400.01,0.58,증가,10
09,waterCool,수도 사용량,0.9562,476516.7143,8506722.33,5.6,증가,15
09,hwaterCool,수도 사용량,0.0707,15.1089,12448.12,0.12,증가,10
10,waterHot,급탕 사용량,0.8907,254312.3256,-20066.05,-1267.38,증가,5
10,hwaterHot,급탕 사용량,-0.7047,-275.1143,9203.29,-2.99,감소,6
10,elect,전기 사용량,-0.4469,-348074.5107,32542964.58,-1.07,감소,15
10,helect,전기 사용량,-0.1222,-957.4216,176727.63,-0.54,감소,10
10,waterCool,수도 사용량,0.9499,422349.5357,8427226.58,5.01,증가,15
10,hwaterCool,수도 사용량,-0.6301,-137.2947,13354.06,-1.03,감소,10
11,waterHot,급탕 사용량,0.1027,26222.0082,549912.25,4.77,증가,7
