month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,gas,가스 사용량,0.0135,7384.4056,3416779.1,0.22,증가,12
01,hgas,가스 사용량,0.0657,719.0,10215.0,7.04,증가,3
01,elect,전기 사용량,0.7337,2677484.6154,46955350.62,5.7,증가,12
01,helect,전기 사용량,0.8715,20644.5804,116265.97,17.76,증가,12
01,waterCool,수도 사용량,0.8322,443318.8811,6577444.49,6.74,증가,12
01,hwaterCool,수도 사용량,0.7715,402.9021,6403.37,6.29,증가,12
02,gas,가스 사용량,-0.1304,-69334.3357,4072460.51,-1.7,감소,12
02,hgas,가스 사용량,-0.058,-64.5,4193.5,-1.54,감소,3
02,elect,전기 사용량,0.7096,2066910.6399,41529729.73,4.98,증가,12
02,helect,전기 사용량,0.8481,17051.8273,128131.59,13.31,증가,11
02,waterCool,수도 사용량,0.7754,419915.3147,6628940.77,6.33,증가,12
02,hwaterCool,수도 사용량,0.8837,235.6091,8183.14,2.88,증가,11
03,gas,가스 사용량,-0.2206,-104037.3636,3678891.36,-2.83,감소,11
03,hgas,가스 사용량,-0.986,-1561.5,5936.5,-26.3,감소,3
03,elect,전기 사용량,0.6792,1519050.5455,41097507.82,3.7,증가,11
03,helect,전기 사용량,0.8663,14194.9727,127483.5,11.13,증가,11
03,waterCool,수도 사용량,0.8114,393778.0,6744369.09,5.84,증가,11
03,hwaterCool,수도 사용량,0.7566,294.4455,6544.77,4.5,증가,11
04,gas,가스 사용량,-0.2767,-157175.5455,4019667.73,-3.91,감소,11
04,hgas,가스 사용량,-1.0,-1778.0,3166.0,-56.16,감소,2
04,elect,전기 사용량,0.737,1422536.7818,37214233.27,3.82,증가,11
04,helect,전기 사용량,0.855,13483.9636,116291.18,11.6,증가,11
04,waterCool,수도 사용량,0.9186,500953.8182,6532556.36,7.67,증가,11
04,hwaterCool,수도 사용량,0.8052,348.6455,7076.59,4.93,증가,11
05,gas,가스 사용량,-0.2902,-136485.4545,3202830.91,-4.26,감소,11
05,hgas,가스 사용량,-1.0,-1502.0,2395.0,-62.71,감소,2
05,elect,전기 사용량,0.7089,1475664.1,39514843.14,3.73,증가,11
05,helect,전기 사용량,0.8485,13879.0455,121245.14,11.45,증가,11
05,waterCool,수도 사용량,0.8298,396634.4545,7558245.91,5.25,증가,11
05,hwaterCool,수도 사용량,0.7503,292.2636,7319.41,3.99,증가,11
06,gas,가스 사용량,-0.0374,-9958.6364,1893818.64,-0.53,감소,11
06,hgas,가스 사용량,-1.0,-1869.0,2723.0,-68.64,감소,2
06,elect,전기 사용량,0.8058,2596563.5364,47335655.77,5.49,증가,11
06,helect,전기 사용량,0.8836,18059.0182,123225.0,14.66,증가,11
06,waterCool,수도 사용량,0.9304,444938.1818,7209293.64,6.17,증가,11
06,hwaterCool,수도 사용량,0.7138,240.2182,7891.45,3.04,증가,11
07,gas,가스 사용량,-0.1146,-23603.0909,1449981.82,-1.63,감소,11
07,hgas,가스 사용량,-1.0,-675.0,1301.0,-51.88,감소,2
07,elect,전기 사용량,0.619,4174657.4,74407729.18,5.61,증가,11
07,helect,전기 사용량,0.902,28707.3545,163192.23,17.59,증가,11
07,waterCool,수도 사용량,0.4469,191799.7273,9528878.64,2.01,증가,11
07,hwaterCool,수도 사용량,0.7666,259.9455,7854.36,3.31,증가,11
08,gas,가스 사용량,-0.4598,-60137.5455,1411325.91,-4.26,감소,11
08,hgas,가스 사용량,1.0,205.0,970.0,21.13,증가,2
08,elect,전기 사용량,0.6135,5769975.6545,78427297.45,7.36,증가,11
08,helect,전기 사용량,0.8519,31834.7182,180642.14,17.62,증가,11
08,waterCool,수도 사용량,0.7823,325998.1818,8328414.55,3.91,증가,11
08,hwaterCool,수도 사용량,0.7309,253.5455,7867.82,3.22,증가,11
09,gas,가스 사용량,-0.385,-44430.7273,1114622.73,-3.99,감소,11
09,hgas,가스 사용량,0.8782,562.5,897.17,62.7,증가,3
09,elect,전기 사용량,0.8323,4222486.4818,36123112.23,11.69,증가,11
09,helect,전기 사용량,0.9106,26357.8273,104415.14,25.24,증가,11
09,waterCool,수도 사용량,0.6007,276535.7273,8395778.64,3.29,증가,11
09,hwaterCool,수도 사용량,0.8263,313.7273,7594.82,4.13,증가,11
10,gas,가스 사용량,-0.7572,-140994.0909,1827656.82,-7.71,감소,11
10,hgas,가스 사용량,-0.9324,-210.0,1152.0,-18.23,감소,3
10,elect,전기 사용량,0.688,1273481.8727,43058140.45,2.96,증가,11
10,helect,전기 사용량,0.8946,17162.4909,120236.64,14.27,증가,11
10,waterCool,수도 사용량,0.7985,227158.6364,8407927.73,2.7,증가,11
10,hwaterCool,수도 사용량,0.8001,259.8818,7600.23,3.42,증가,11
11,gas,가스 사용량,-0.4662,-113481.8182,2583127.27,-4.39,감소,11
11,hgas,가스 사용량,0.9987,192.0,1864.67,10.3,증가,3
11,elect,전기 사용량,0.603,2640509.3042,34981209.74,7.55,증가,12
11,helect,전기 사용량,0.8762,15880.2364,127826.64,12.42,증가,11
11,waterCool,수도 사용량,0.9205,398340.3636,7142813.64,5.58,증가,11
11,hwaterCool,수도 사용량,0.7914,247.3545,7752.5,3.19,증가,11
12,gas,가스 사용량,-0.5452,-145395.6364,3704811.82,-3.92,감소,11
12,hgas,가스 사용량,0.6317,175.0,2879.0,6.08,증가,3
12,elect,전기 사용량,0.5815,2767637.3252,44174128.13,6.27,증가,12
12,helect,전기 사용량,0.8397,19871.0091,138666.95,14.33,증가,11
12,waterCool,수도 사용량,0.8046,535082.1678,5776693.08,9.26,증가,12
12,hwaterCool,수도 사용량,0.9299,262.8636,7515.95,3.5,증가,11
