month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,0.227,2398138.9706,203539597.72,1.18,증가,16
01,hheat,난방 사용량,0.1464,8296.0664,1830937.72,0.45,증가,12
01,waterHot,급탕 사용량,-0.1459,-79848.1029,41119385.15,-0.19,감소,16
01,hwaterHot,급탕 사용량,-0.0666,-11.8881,11060.05,-0.11,감소,12
01,elect,전기 사용량,-0.286,-571367.6882,98528815.79,-0.58,감소,16
01,helect,전기 사용량,-0.5061,-7980.7308,478852.1,-1.67,감소,12
01,waterCool,수도 사용량,0.9407,684281.6029,20628981.1,3.32,증가,16
01,hwaterCool,수도 사용량,-0.7307,-319.3531,29854.36,-1.07,감소,12
02,heat,난방 사용량,0.0854,693417.8549,170835244.35,0.41,증가,15
02,hheat,난방 사용량,0.1909,10342.9336,1429933.28,0.72,증가,12
02,waterHot,급탕 사용량,0.1033,72058.4268,36236088.48,0.2,증가,15
02,hwaterHot,급탕 사용량,-0.1546,-32.2203,10299.13,-0.31,감소,12
02,elect,전기 사용량,-0.7653,-2337871.1144,102867206.17,-2.27,감소,15
02,helect,전기 사용량,-0.7715,-15730.1259,502671.36,-3.13,감소,12
02,waterCool,수도 사용량,0.9151,556164.0032,19738238.91,2.82,증가,15
02,hwaterCool,수도 사용량,-0.6621,-317.0909,27592.33,-1.15,감소,12
03,heat,난방 사용량,-0.1821,-1219694.6786,122904694.08,-0.99,감소,15
03,hheat,난방 사용량,-0.23,-12640.7909,983239.41,-1.29,감소,11
03,waterHot,급탕 사용량,0.1141,71116.5357,36912236.92,0.19,증가,15
03,hwaterHot,급탕 사용량,-0.16,-40.2182,10539.27,-0.38,감소,11
03,elect,전기 사용량,0.0093,18276.2536,75709862.49,0.02,증가,15
03,helect,전기 사용량,-0.5017,-756398.8,5677193.09,-13.32,감소,11
03,waterCool,수도 사용량,0.9112,632187.75,20649335.08,3.06,증가,15
03,hwaterCool,수도 사용량,-0.5114,-292.6091,28977.14,-1.01,감소,11
04,heat,난방 사용량,-0.3833,-1496919.7857,48385906.5,-3.09,감소,15
04,hheat,난방 사용량,-0.3017,-8982.7,369178.32,-2.43,감소,11
04,waterHot,급탕 사용량,0.0658,40330.3571,34903500.83,0.12,증가,15
04,hwaterHot,급탕 사용량,-0.1092,-22.1727,9769.59,-0.23,감소,11
04,elect,전기 사용량,-0.7802,-1891541.0393,87127468.08,-2.17,감소,15
04,helect,전기 사용량,-0.7232,-13009.6273,459106.68,-2.83,감소,11
04,waterCool,수도 사용량,0.9416,776242.8214,20324936.92,3.82,증가,15
04,hwaterCool,수도 사용량,-0.7124,-315.5545,29635.95,-1.06,감소,11
05,heat,난방 사용량,-0.026,-26442.0759,9735403.95,-0.27,감소,13
05,hheat,난방 사용량,0.3974,3930.4687,32600.46,12.06,증가,6
05,waterHot,급탕 사용량,-0.3081,-230901.5207,30220829.15,-0.76,감소,14
05,hwaterHot,급탕 사용량,0.1473,33.3909,8539.95,0.39,증가,11
05,elect,전기 사용량,-0.5423,-1121485.6864,75855639.88,-1.48,감소,14
05,helect,전기 사용량,-0.4255,-4643.1364,398431.5,-1.17,감소,11
05,waterCool,수도 사용량,0.8837,726433.716,21475149.54,3.38,증가,14
05,hwaterCool,수도 사용량,-0.6703,-342.6818,31103.86,-1.1,감소,11
06,heat,난방 사용량,,-0.0,6430740.0,-0.0,유지,7
06,waterHot,급탕 사용량,-0.2994,-175683.3929,17627356.42,-1.0,감소,15
06,hwaterHot,급탕 사용량,-0.0983,-21.3909,7150.32,-0.3,감소,11
06,elect,전기 사용량,-0.6141,-1633936.4857,84761254.27,-1.93,감소,15
