month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.3447,-74849.9964,8915300.17,-0.84,감소,15
01,helect,전기 사용량,-0.3734,-194.4965,44495.23,-0.44,감소,12
01,waterCool,수도 사용량,0.8929,65445.3929,1937630.25,3.38,증가,15
01,hwaterCool,수도 사용량,-0.613,-27.7622,2784.36,-1.0,감소,12
02,elect,전기 사용량,-0.7282,-200380.825,9529653.0,-2.1,감소,16
02,helect,전기 사용량,-0.751,-844.4677,46014.93,-1.84,감소,11
02,waterCool,수도 사용량,0.8844,73304.8929,1880733.08,3.9,증가,15
02,hwaterCool,수도 사용량,-0.6021,-29.4383,2864.23,-1.03,감소,11
03,elect,전기 사용량,-0.1601,-27763.2179,7280611.86,-0.38,감소,15
03,helect,전기 사용량,-0.6336,-828.0455,43415.77,-1.91,감소,11
03,waterCool,수도 사용량,0.5001,35745.4286,2118515.43,1.69,증가,14
03,hwaterCool,수도 사용량,-0.6646,-43.4364,2800.64,-1.55,감소,11
04,elect,전기 사용량,-0.7253,-142620.3701,7980746.27,-1.79,감소,14
04,helect,전기 사용량,-0.833,-576.5364,40894.32,-1.41,감소,11
04,waterCool,수도 사용량,0.451,31487.6066,2174890.23,1.45,증가,13
04,hwaterCool,수도 사용량,-0.6991,-56.0364,2914.45,-1.92,감소,11
05,elect,전기 사용량,-0.6535,-197858.4536,7595059.51,-2.61,감소,15
05,helect,전기 사용량,-0.1551,-68.5818,37890.22,-0.18,감소,10
05,waterCool,수도 사용량,0.7542,66218.6813,2121461.76,3.12,증가,13
05,hwaterCool,수도 사용량,-0.5299,-21.8303,2805.44,-0.78,감소,10
06,elect,전기 사용량,0.0036,979.3679,6998129.16,0.01,증가,15
06,helect,전기 사용량,0.3602,558.1,37394.14,1.49,증가,11
06,waterCool,수도 사용량,0.7653,55647.4286,2219633.14,2.51,증가,14
06,hwaterCool,수도 사용량,-0.6804,-32.4636,2904.68,-1.12,감소,11
07,elect,전기 사용량,0.3277,87933.2286,6991556.6,1.26,증가,15
07,helect,전기 사용량,0.8333,1634.8273,38729.14,4.22,증가,11
07,waterCool,수도 사용량,0.6172,45544.6813,2387766.0,1.91,증가,14
07,hwaterCool,수도 사용량,-0.7917,-47.0818,3063.23,-1.54,감소,11
08,elect,전기 사용량,0.0176,7990.8357,9439103.42,0.08,증가,15
08,helect,전기 사용량,0.4874,1044.6273,50686.23,2.06,증가,11
08,waterCool,수도 사용량,0.6032,34609.4066,2469111.71,1.4,증가,14
08,hwaterCool,수도 사용량,-0.7991,-58.5273,3166.82,-1.85,감소,11
09,elect,전기 사용량,-0.1765,-64873.0393,7429809.74,-0.87,감소,15
09,helect,전기 사용량,-0.0068,-7.4091,40415.95,-0.02,감소,11
09,waterCool,수도 사용량,0.7053,139584.3286,1630461.97,8.56,증가,15
09,hwaterCool,수도 사용량,-0.3892,-26.2273,3076.23,-0.85,감소,11
10,elect,전기 사용량,-0.2856,-44754.8679,6976044.01,-0.64,감소,15
10,helect,전기 사용량,-0.1767,-290.2909,40385.27,-0.72,감소,11
10,waterCool,수도 사용량,0.6159,102779.3,1792522.77,5.73,증가,15
10,hwaterCool,수도 사용량,-0.8046,-61.4818,3254.95,-1.89,감소,11
11,elect,전기 사용량,-0.4086,-63764.8649,7487260.36,-0.85,감소,14
11,helect,전기 사용량,-0.7567,-570.6545,41356.18,-1.38,감소,11
11,waterCool,수도 사용량,0.7308,59244.6827,2090538.41,2.83,증가,14
11,hwaterCool,수도 사용량,-0.847,-64.0636,3029.86,-2.11,감소,11
12,elect,전기 사용량,0.0789,12505.1286,7662393.43,0.16,증가,15
12,helect,전기 사용량,0.0494,21.7662,41688.68,0.05,증가,10
12,waterCool,수도 사용량,0.6826,82487.3571,1963106.5,4.2,증가,15
12,hwaterCool,수도 사용량,-0.854,-74.4307,3131.28,-2.38,감소,10
