month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.5437,-212545.2283,13255051.66,-1.6,감소,14
01,helect,전기 사용량,-0.7291,-1332.5364,71246.5,-1.87,감소,11
01,waterCool,수도 사용량,0.3629,18268.8333,182334.67,10.02,증가,9
02,elect,전기 사용량,-0.1153,-82672.6786,11394344.75,-0.73,감소,15
02,helect,전기 사용량,0.4952,2743.6573,39222.88,7.0,증가,12
03,elect,전기 사용량,0.0395,21490.6154,8220886.0,0.26,증가,14
03,helect,전기 사용량,0.3173,1165.8909,43873.18,2.66,증가,11
03,waterCool,수도 사용량,0.3246,18456.1667,221488.67,8.33,증가,9
04,elect,전기 사용량,-0.4895,-128099.4945,10351018.86,-1.24,감소,14
04,helect,전기 사용량,0.3208,1444.3212,45127.65,3.2,증가,10
05,elect,전기 사용량,-0.3328,-238468.855,8881830.71,-2.68,감소,13
05,helect,전기 사용량,0.5166,2673.8167,35386.07,7.56,증가,9
05,waterCool,수도 사용량,0.5569,26677.6667,138261.56,19.3,증가,9
06,elect,전기 사용량,0.1327,76343.233,8001472.91,0.95,증가,14
06,helect,전기 사용량,0.383,1437.0727,43911.45,3.27,증가,11
07,elect,전기 사용량,0.4579,514576.7385,6768501.34,7.6,증가,14
07,helect,전기 사용량,0.5915,2842.3909,44954.77,6.32,증가,11
07,waterCool,수도 사용량,0.6744,25707.0,97309.78,26.42,증가,9
08,elect,전기 사용량,0.2905,204905.989,11836325.57,1.73,증가,14
08,helect,전기 사용량,0.4981,1254.7182,72757.23,1.72,증가,11
09,elect,전기 사용량,0.1979,135526.0571,7856084.33,1.73,증가,15
09,helect,전기 사용량,0.6362,2772.7091,39757.36,6.97,증가,11
09,waterCool,수도 사용량,0.5881,23810.119,165588.33,14.38,증가,8
10,elect,전기 사용량,-0.0255,-12532.4286,8068841.67,-0.16,감소,15
10,helect,전기 사용량,0.2664,1024.8091,43524.32,2.35,증가,11
11,elect,전기 사용량,-0.601,-154211.5357,10901814.75,-1.41,감소,15
11,helect,전기 사용량,-0.7533,-1402.1636,64582.64,-2.17,감소,11
11,waterCool,수도 사용량,0.549,20763.8333,71791.33,28.92,증가,9
12,elect,전기 사용량,0.055,43420.4857,8911988.4,0.49,증가,15
12,helect,전기 사용량,0.244,1128.7182,50549.14,2.23,증가,11
