month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.8551,-255251.6429,9573492.83,-2.67,감소,15
01,helect,전기 사용량,-0.9384,-2259.4909,62866.91,-3.59,감소,11
01,waterCool,수도 사용량,-0.5636,-1721.2782,80561.05,-2.14,감소,11
02,elect,전기 사용량,-0.6652,-213671.5,9035267.17,-2.36,감소,15
02,helect,전기 사용량,-0.8569,-1780.4636,58508.32,-3.04,감소,11
02,waterCool,수도 사용량,-0.2594,-847.383,79311.15,-1.07,감소,13
03,elect,전기 사용량,-0.7443,-213403.7363,7552657.14,-2.83,감소,14
03,helect,전기 사용량,-0.9707,-2143.6636,55989.41,-3.83,감소,11
03,waterCool,수도 사용량,0.5863,3523.276,64319.21,5.48,증가,12
04,elect,전기 사용량,-0.7916,-246362.5055,7994333.43,-3.08,감소,14
04,helect,전기 사용량,-0.9699,-2107.7455,57344.0,-3.68,감소,11
04,waterCool,수도 사용량,0.6777,11593.7143,35196.57,32.94,증가,14
05,elect,전기 사용량,-0.8173,-234333.4286,7408345.14,-3.16,감소,14
05,helect,전기 사용량,-0.9817,-1872.4545,53761.18,-3.48,감소,11
05,waterCool,수도 사용량,0.6203,6483.5165,55637.36,11.65,증가,13
06,elect,전기 사용량,-0.7486,-208143.3692,7814670.26,-2.66,감소,14
06,helect,전기 사용량,-0.9435,-1551.7091,55420.18,-2.8,감소,11
06,waterCool,수도 사용량,0.7635,4452.4673,60834.15,7.32,증가,12
07,elect,전기 사용량,-0.6014,-189559.1692,8728511.03,-2.17,감소,14
07,helect,전기 사용량,-0.609,-959.2091,60202.23,-1.59,감소,11
07,waterCool,수도 사용량,0.7635,4451.553,60836.9,7.32,증가,12
08,elect,전기 사용량,-0.5151,-262319.6242,11324891.06,-2.32,감소,14
08,helect,전기 사용량,-0.1813,-372.5545,68521.41,-0.54,감소,11
08,waterCool,수도 사용량,0.4733,8863.4964,38777.21,22.86,증가,13
09,elect,전기 사용량,-0.276,-96800.0879,7452982.0,-1.3,감소,14
09,helect,전기 사용량,-0.3042,-311.9455,50492.0,-0.62,감소,11
09,waterCool,수도 사용량,0.1026,178.6175,73956.89,0.24,증가,12
10,elect,전기 사용량,-0.4448,-184303.0549,6597156.29,-2.79,감소,14
10,helect,전기 사용량,-0.332,-1191.1182,46116.68,-2.58,감소,11
10,waterCool,수도 사용량,0.43,4961.565,55771.79,8.9,증가,13
11,elect,전기 사용량,-0.7274,-221766.7692,7925115.43,-2.8,감소,14
11,helect,전기 사용량,-0.9341,-1774.5273,54699.64,-3.24,감소,11
11,waterCool,수도 사용량,-0.6643,-744.5344,77429.03,-0.96,감소,12
12,elect,전기 사용량,-0.6084,-172269.2308,8007692.86,-2.15,감소,14
12,helect,전기 사용량,-0.8973,-1647.4091,56906.14,-2.89,감소,11
12,waterCool,수도 사용량,0.5531,10194.391,33947.59,30.03,증가,13
