month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,gas,가스 사용량,-0.4127,-32009.6786,1109251.75,-2.89,감소,15
01,elect,전기 사용량,-0.4309,-1659267.9853,148399508.51,-1.12,감소,16
01,helect,전기 사용량,-0.2938,-6653.7063,963698.88,-0.69,감소,12
01,waterCool,수도 사용량,0.9379,1435854.5147,37108521.76,3.87,증가,16
01,hwaterCool,수도 사용량,-0.6758,-467.1748,55258.46,-0.85,감소,12
02,gas,가스 사용량,-0.6619,-41084.8571,1205931.33,-3.41,감소,15
02,elect,전기 사용량,-0.2751,-992851.5464,138864802.89,-0.71,감소,15
02,helect,전기 사용량,-0.7926,-15387.3846,1035012.62,-1.49,감소,12
02,waterCool,수도 사용량,0.8297,870944.2857,40828143.33,2.13,증가,15
02,hwaterCool,수도 사용량,-0.8642,-648.8986,53275.86,-1.22,감소,12
03,gas,가스 사용량,-0.7698,-55528.9643,1092960.08,-5.08,감소,15
03,elect,전기 사용량,-0.3195,-1026841.8214,110675550.08,-0.93,감소,15
03,helect,전기 사용량,-0.6839,-6883.5545,868961.68,-0.79,감소,11
03,waterCool,수도 사용량,0.7811,1234867.1071,38297416.92,3.22,증가,15
03,hwaterCool,수도 사용량,-0.691,-752.8909,56005.45,-1.34,감소,11
04,gas,가스 사용량,-0.7426,-47210.9231,789434.57,-5.98,감소,14
04,elect,전기 사용량,-0.4241,-1462610.8132,121542247.43,-1.2,감소,14
04,helect,전기 사용량,-0.9204,-10532.4636,924486.68,-1.14,감소,11
04,waterCool,수도 사용량,0.5436,632070.7912,44336073.43,1.43,증가,14
04,hwaterCool,수도 사용량,-0.7819,-670.9182,55335.05,-1.21,감소,11
05,gas,가스 사용량,-0.7118,-31146.8352,485913.71,-6.41,감소,14
05,elect,전기 사용량,-0.4673,-1448926.0714,113555603.83,-1.28,감소,15
05,helect,전기 사용량,-0.9315,-9516.8545,869532.45,-1.09,감소,11
05,waterCool,수도 사용량,0.8868,974493.6429,43257657.17,2.25,증가,15
05,hwaterCool,수도 사용량,-0.9206,-911.3,59710.59,-1.53,감소,11
06,gas,가스 사용량,-0.6397,-14633.6044,220890.57,-6.62,감소,14
06,elect,전기 사용량,-0.4301,-1624781.0357,124465095.92,-1.31,감소,15
06,helect,전기 사용량,-0.1932,-3566.4909,875149.18,-0.41,감소,11
06,waterCool,수도 사용량,0.9327,932467.25,44218743.25,2.11,증가,15
06,hwaterCool,수도 사용량,-0.8655,-790.7545,59258.05,-1.33,감소,11
07,gas,가스 사용량,-0.2674,-1603.411,50422.2,-3.18,감소,14
07,elect,전기 사용량,-0.2975,-1381706.7143,137523281.0,-1.0,감소,15
07,helect,전기 사용량,0.5631,14243.0364,921221.64,1.55,증가,11
07,waterCool,수도 사용량,0.9089,1133055.3929,44894167.58,2.52,증가,15
07,hwaterCool,수도 사용량,-0.8893,-779.5727,61718.86,-1.26,감소,11
08,gas,가스 사용량,-0.5433,-1500.9424,43803.67,-3.43,감소,14
08,elect,전기 사용량,-0.2033,-1614704.6429,174180859.83,-0.93,감소,15
08,helect,전기 사용량,0.5592,22155.3273,1116324.55,1.98,증가,11
08,waterCool,수도 사용량,0.8792,960306.1071,46266177.25,2.08,증가,15
08,hwaterCool,수도 사용량,0.3255,1405.0273,55411.5,2.54,증가,11
09,gas,가스 사용량,-0.0763,-120.8456,25217.01,-0.48,감소,13
09,elect,전기 사용량,-0.0112,-67557.6071,119695679.25,-0.06,감소,15
09,helect,전기 사용량,0.3606,5406.7909,884275.23,0.61,증가,11
09,waterCool,수도 사용량,0.9095,1288073.25,40245799.25,3.2,증가,15
09,hwaterCool,수도 사용량,-0.8475,-735.0,58496.0,-1.26,감소,11
10,gas,가스 사용량,-0.7228,-3322.5224,62313.91,-5.33,감소,14
10,elect,전기 사용량,-0.2427,-707831.9286,107479997.5,-0.66,감소,15
10,helect,전기 사용량,-0.3127,-5845.8182,819958.18,-0.71,감소,11
10,waterCool,수도 사용량,0.9419,1086185.75,41974516.42,2.59,증가,15
10,hwaterCool,수도 사용량,-0.8146,-828.2545,58964.0,-1.4,감소,11
11,gas,가스 사용량,-0.0854,-2843.2857,296157.0,-0.96,감소,15
11,elect,전기 사용량,-0.432,-1483666.2857,126649030.67,-1.17,감소,15
11,helect,전기 사용량,-0.3789,-8454.3091,894046.09,-0.95,감소,11
11,waterCool,수도 사용량,0.9548,1138617.2143,39099988.83,2.91,증가,15
11,hwaterCool,수도 사용량,-0.8406,-702.1182,55459.41,-1.27,감소,11
12,gas,가스 사용량,-0.036,-1793.1071,581944.42,-0.31,감소,15
12,elect,전기 사용량,-0.2435,-833674.7107,127423524.51,-0.65,감소,15
12,helect,전기 사용량,-0.3178,-7035.2273,917269.59,-0.77,감소,11
12,waterCool,수도 사용량,0.9559,1071214.25,40406618.92,2.65,증가,15
12,hwaterCool,수도 사용량,-0.8357,-725.2273,56132.95,-1.29,감소,11
