month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.2903,-2318335.4066,180959935.14,-1.28,감소,14
01,waterHot,급탕 사용량,-0.7856,-791442.3077,29332923.08,-2.7,감소,13
01,hwaterHot,급탕 사용량,-0.7192,-198.9371,7955.32,-2.5,감소,12
01,elect,전기 사용량,0.1113,127991.2264,40863586.17,0.31,증가,14
01,helect,전기 사용량,-0.9536,-4609.1294,337325.46,-1.37,감소,12
01,waterCool,수도 사용량,0.5294,166549.1209,536232.58,31.06,증가,13
02,heat,난방 사용량,-0.5549,-3670519.7609,148923589.44,-2.46,감소,14
02,waterHot,급탕 사용량,0.4702,294857.6669,28793693.69,1.02,증가,13
02,hwaterHot,급탕 사용량,0.6762,188.7091,7891.09,2.39,증가,11
02,elect,전기 사용량,-0.3536,-513679.784,44866534.54,-1.14,감소,14
02,helect,전기 사용량,-0.6945,-4183.7091,325830.36,-1.28,감소,11
02,waterCool,수도 사용량,-0.0023,-376.6104,1305438.79,-0.03,감소,13
03,heat,난방 사용량,-0.3671,-1877639.0651,112848878.77,-1.66,감소,14
03,waterHot,급탕 사용량,-0.7841,-489046.0382,25206784.3,-1.94,감소,13
03,hwaterHot,급탕 사용량,-0.7293,-160.6455,6779.68,-2.37,감소,11
03,elect,전기 사용량,-0.2001,-280574.116,35191169.86,-0.8,감소,14
03,helect,전기 사용량,-0.9154,-6874.0,304544.55,-2.26,감소,11
03,waterCool,수도 사용량,0.3374,89561.1886,2205790.29,4.06,증가,13
04,heat,난방 사용량,-0.6997,-2982015.4556,74210263.38,-4.02,감소,14
04,waterHot,급탕 사용량,-0.8045,-364372.3404,26675882.98,-1.37,감소,13
04,hwaterHot,급탕 사용량,-0.6984,-88.8,7096.09,-1.25,감소,11
04,elect,전기 사용량,-0.1826,-242683.9509,37082962.49,-0.65,감소,14
04,helect,전기 사용량,-0.9078,-6968.9091,321441.18,-2.17,감소,11
04,waterCool,수도 사용량,0.4221,136159.0517,1483800.52,9.18,증가,13
05,heat,난방 사용량,-0.6044,-1311202.0414,30780862.31,-4.26,감소,14
05,waterHot,급탕 사용량,-0.5988,-248924.9817,23158526.78,-1.07,감소,13
05,hwaterHot,급탕 사용량,-0.399,-51.1545,6220.41,-0.82,감소,11
05,elect,전기 사용량,-0.1343,-157368.3627,34477282.62,-0.46,감소,14
05,helect,전기 사용량,-0.9368,-5259.4909,298092.64,-1.76,감소,11
05,waterCool,수도 사용량,0.5016,180580.1614,944085.66,19.13,증가,13
06,heat,난방 사용량,-0.3981,-555353.0,14681893.0,-3.78,감소,14
06,waterHot,급탕 사용량,-0.3366,-134539.9853,19277121.42,-0.7,감소,13
06,hwaterHot,급탕 사용량,-0.0024,-0.3273,5106.55,-0.01,감소,11
06,elect,전기 사용량,-0.1669,-219876.203,37726255.01,-0.58,감소,14
06,helect,전기 사용량,-0.8809,-6234.7,320790.23,-1.94,감소,11
06,waterCool,수도 사용량,0.5957,228798.3364,833311.13,27.46,증가,13
07,heat,난방 사용량,-0.4392,-574294.5148,11585248.54,-4.96,감소,14
07,waterHot,급탕 사용량,0.0134,2406.0895,15185390.68,0.02,증가,13
07,hwaterHot,급탕 사용량,0.257,17.6091,4236.5,0.42,증가,11
07,elect,전기 사용량,0.2986,420940.7136,38627243.98,1.09,증가,14
07,helect,전기 사용량,0.1558,975.4818,329949.05,0.3,증가,11
07,waterCool,수도 사용량,0.4502,110320.5448,1335720.34,8.26,증가,13
08,heat,난방 사용량,-0.286,-362775.3254,10908918.85,-3.33,감소,14
08,waterHot,급탕 사용량,-0.4879,-303137.7476,11351388.48,-2.67,감소,13
08,hwaterHot,급탕 사용량,-0.3529,-80.6273,2860.32,-2.82,감소,11
08,elect,전기 사용량,0.1966,393350.6929,48399287.75,0.81,증가,15
08,helect,전기 사용량,0.3103,4062.3636,393594.45,1.03,증가,11
08,waterCool,수도 사용량,0.7759,245408.9527,1417195.91,17.32,증가,13
09,heat,난방 사용량,-0.6124,-992302.8876,17977034.31,-5.52,감소,14
09,waterHot,급탕 사용량,-0.572,-206390.8657,15545336.02,-1.33,감소,13
09,hwaterHot,급탕 사용량,-0.4662,-60.9818,4214.27,-1.45,감소,11
09,elect,전기 사용량,0.2241,435872.5714,36265429.8,1.2,증가,15
09,helect,전기 사용량,0.3939,4060.2909,315646.45,1.29,증가,11
09,waterCool,수도 사용량,0.2602,51697.1423,1036957.81,4.99,증가,13
10,heat,난방 사용량,-0.1311,-430937.1562,39931673.45,-1.08,감소,14
10,waterHot,급탕 사용량,-0.665,-173858.584,18053467.35,-0.96,감소,13
10,hwaterHot,급탕 사용량,-0.5027,-42.3273,4919.36,-0.86,감소,11
10,elect,전기 사용량,0.0099,10485.9286,33401235.3,0.03,증가,15
10,helect,전기 사용량,-0.8428,-4506.3727,296552.59,-1.52,감소,11
10,waterCool,수도 사용량,-0.0435,-6921.5664,1347473.06,-0.51,감소,13
11,heat,난방 사용량,-0.2385,-1098150.2142,102144822.88,-1.08,감소,14
11,waterHot,급탕 사용량,-0.396,-157125.7988,21401813.08,-0.73,감소,14
11,hwaterHot,급탕 사용량,-0.2072,-33.5606,5868.88,-0.57,감소,10
11,elect,전기 사용량,-0.2341,-252013.4607,38018297.62,-0.66,감소,15
11,helect,전기 사용량,-0.9497,-6247.3139,314169.44,-1.99,감소,10
11,waterCool,수도 사용량,0.3348,69829.7337,1138465.19,6.13,증가,14
12,heat,난방 사용량,-0.3325,-2951221.6791,170625550.34,-1.73,감소,14
12,waterHot,급탕 사용량,-0.7823,-751865.3846,28596846.15,-2.63,감소,13
12,hwaterHot,급탕 사용량,-0.6376,-173.0727,7466.73,-2.32,감소,11
12,elect,전기 사용량,0.0213,27044.8176,37863783.54,0.07,증가,14
12,helect,전기 사용량,-0.8658,-5216.9364,317865.95,-1.64,감소,11
12,waterCool,수도 사용량,0.3364,78054.8901,1040851.81,7.5,증가,13
