month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,hgas,가스 사용량,-0.9271,-150.6,3649.8,-4.13,감소,5
01,elect,전기 사용량,-0.2059,-82256.3857,18586382.57,-0.44,감소,15
01,helect,전기 사용량,-0.543,-1756.014,88337.74,-1.99,감소,12
01,waterCool,수도 사용량,0.9861,274942.5441,6011459.04,4.57,증가,16
01,hwaterCool,수도 사용량,-0.4801,-29.9988,8977.22,-0.33,감소,9
02,hgas,가스 사용량,-0.3667,-58.2,3422.4,-1.7,감소,5
02,elect,전기 사용량,-0.3245,-98258.1357,15291732.68,-0.64,감소,15
02,helect,전기 사용량,-0.5986,-1718.7587,79509.92,-2.16,감소,12
03,hgas,가스 사용량,-0.6463,-129.0,3235.5,-3.99,감소,4
03,elect,전기 사용량,-0.441,-124507.1714,15990999.87,-0.78,감소,15
03,helect,전기 사용량,-0.6417,-2327.9455,83916.36,-2.77,감소,11
03,waterCool,수도 사용량,0.9572,280477.2857,5878891.0,4.77,증가,15
03,hwaterCool,수도 사용량,-0.2416,-27.4011,8768.25,-0.31,감소,9
04,hgas,가스 사용량,-0.6907,-136.6,3301.4,-4.14,감소,4
04,elect,전기 사용량,-0.352,-107337.1692,14019323.89,-0.77,감소,14
04,helect,전기 사용량,-0.6647,-2093.3727,78018.59,-2.68,감소,11
05,hgas,가스 사용량,-0.6351,-68.1,3044.4,-2.24,감소,4
05,elect,전기 사용량,-0.2864,-91898.7824,14295769.66,-0.64,감소,14
05,helect,전기 사용량,-0.4102,-1138.6,72524.64,-1.57,감소,11
05,waterCool,수도 사용량,0.9264,246764.9451,6876470.0,3.59,증가,14
05,hwaterCool,수도 사용량,-0.4876,-44.3239,9201.45,-0.48,감소,10
06,hgas,가스 사용량,-0.0911,-10.3,3228.7,-0.32,감소,4
06,elect,전기 사용량,0.2783,101952.8176,14814248.26,0.69,증가,14
06,helect,전기 사용량,-0.3056,-814.1364,77792.95,-1.05,감소,11
07,hgas,가스 사용량,-0.0339,-3.8,3452.2,-0.11,감소,4
07,elect,전기 사용량,0.0645,47731.875,21690617.54,0.22,증가,15
07,helect,전기 사용량,0.3908,1534.6091,88840.59,1.73,증가,11
07,waterCool,수도 사용량,0.9337,251414.7857,7113869.83,3.53,증가,15
07,hwaterCool,수도 사용량,-0.6526,-117.5691,10316.4,-1.14,감소,9
08,hgas,가스 사용량,-0.6126,-53.4,3943.0,-1.35,감소,5
08,elect,전기 사용량,-0.0279,-28030.3107,20956947.17,-0.13,감소,15
08,helect,전기 사용량,0.7874,3071.2367,76870.27,4.0,증가,10
09,hgas,가스 사용량,-0.9067,-116.9,3859.2,-3.03,감소,5
09,elect,전기 사용량,0.3384,222726.7509,12429008.71,1.79,증가,14
09,helect,전기 사용량,0.7333,1498.6636,59556.77,2.52,증가,11
09,waterCool,수도 사용량,0.9621,249234.3077,7178138.0,3.47,증가,14
09,hwaterCool,수도 사용량,-0.5018,-60.3889,9739.31,-0.62,감소,8
10,hgas,가스 사용량,-0.1609,-28.1,3494.4,-0.8,감소,5
10,elect,전기 사용량,-0.3596,-110757.8821,14972422.84,-0.74,감소,15
10,helect,전기 사용량,0.2581,160.4273,64174.59,0.25,증가,11
11,hgas,가스 사용량,-0.6595,-122.7,3626.2,-3.38,감소,5
11,elect,전기 사용량,-0.239,-86137.15,15638060.92,-0.55,감소,15
11,helect,전기 사용량,0.1262,76.8364,66531.0,0.12,증가,11
11,waterCool,수도 사용량,0.9621,238948.2935,6646954.58,3.59,증가,14
11,hwaterCool,수도 사용량,-0.751,-80.625,9434.25,-0.85,감소,8
12,hgas,가스 사용량,-0.8782,-99.3,3855.4,-2.58,감소,5
12,elect,전기 사용량,-0.2408,-97302.0536,18431667.31,-0.53,감소,15
12,helect,전기 사용량,0.2988,242.7,72130.14,0.34,증가,11
