month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,0.2218,139840.1399,21560657.56,0.65,증가,12
01,helect,전기 사용량,-0.0135,-17.3601,147235.4,-0.01,감소,12
01,waterCool,수도 사용량,0.8978,213935.5594,5907166.92,3.62,증가,12
01,hwaterCool,수도 사용량,-0.0068,-0.4965,7199.73,-0.01,감소,12
02,elect,전기 사용량,-0.3067,-591424.021,27591661.28,-2.14,감소,12
02,helect,전기 사용량,-0.448,-4194.0,180266.67,-2.33,감소,12
02,waterCool,수도 사용량,-0.0977,-38232.2378,7052982.31,-0.54,감소,12
02,hwaterCool,수도 사용량,-0.5082,-286.6678,8723.26,-3.29,감소,12
03,gas,가스 사용량,-1.0,-5645.0,37000.0,-15.26,감소,2
03,elect,전기 사용량,-0.3606,-557972.6364,23013656.82,-2.42,감소,11
03,helect,전기 사용량,-0.4828,-4322.8636,163153.14,-2.65,감소,11
03,waterCool,수도 사용량,-0.012,-6508.0,7786330.0,-0.08,감소,11
03,hwaterCool,수도 사용량,-0.4447,-303.2909,9499.64,-3.19,감소,11
04,elect,전기 사용량,-0.316,-537609.8182,23542320.0,-2.28,감소,11
04,helect,전기 사용량,-0.5006,-4891.3,172227.77,-2.84,감소,11
04,waterCool,수도 사용량,-0.1444,-101312.3636,8310883.64,-1.22,감소,11
04,hwaterCool,수도 사용량,-0.4652,-379.9091,9863.36,-3.85,감소,11
05,elect,전기 사용량,-0.3365,-462971.1818,21494518.64,-2.15,감소,11
05,helect,전기 사용량,-0.5265,-4591.4364,160881.45,-2.85,감소,11
05,waterCool,수도 사용량,-0.1545,-90207.6364,8443789.09,-1.07,감소,11
05,hwaterCool,수도 사용량,-0.5054,-377.5,10113.23,-3.73,감소,11
06,hgas,가스 사용량,1.0,1.0,11.0,9.09,증가,2
06,elect,전기 사용량,-0.3785,-640517.0909,22966527.27,-2.79,감소,11
06,helect,전기 사용량,-0.5304,-5075.6909,165550.36,-3.07,감소,11
06,waterCool,수도 사용량,-0.2531,-144201.8182,9011550.0,-1.6,감소,11
06,hwaterCool,수도 사용량,-0.5911,-421.8364,10568.55,-3.99,감소,11
07,elect,전기 사용량,-0.3112,-536944.0909,23820575.0,-2.25,감소,11
07,helect,전기 사용량,-0.3795,-3380.6455,163035.68,-2.07,감소,11
07,waterCool,수도 사용량,-0.2706,-202229.8182,9782935.45,-2.07,감소,11
07,hwaterCool,수도 사용량,-0.5367,-476.4,11276.82,-4.22,감소,11
08,elect,전기 사용량,-0.2474,-624762.4545,33601321.36,-1.86,감소,11
08,helect,전기 사용량,-0.2105,-2104.0091,197722.32,-1.06,감소,11
08,waterCool,수도 사용량,-0.2718,-181823.7273,9358661.36,-1.94,감소,11
08,hwaterCool,수도 사용량,-0.5643,-463.9636,10889.18,-4.26,감소,11
09,gas,가스 사용량,0.9276,15618.4211,36744.21,42.51,증가,3
09,hgas,가스 사용량,-1.0,-8.5,106.0,-8.02,감소,2
09,elect,전기 사용량,-0.0362,-68817.3541,25133339.0,-0.27,감소,12
09,helect,전기 사용량,-0.1987,-1714.8455,180205.05,-0.95,감소,11
09,waterCool,수도 사용량,0.0419,22689.403,7717621.59,0.29,증가,12
09,hwaterCool,수도 사용량,-0.5284,-421.9,10443.23,-4.04,감소,11
10,elect,전기 사용량,-0.0207,-25545.0068,19231765.47,-0.13,감소,12
10,helect,전기 사용량,-0.3633,-3171.1909,153827.95,-2.06,감소,11
10,waterCool,수도 사용량,0.1267,63602.7544,7327838.11,0.87,증가,12
10,hwaterCool,수도 사용량,-0.4908,-357.2727,10013.64,-3.57,감소,11
11,gas,가스 사용량,-1.0,-60887.5,250140.0,-24.34,감소,2
11,hgas,가스 사용량,-1.0,-22.25,95.0,-23.42,감소,2
11,elect,전기 사용량,0.1994,291239.1705,16329335.61,1.78,증가,13
11,helect,전기 사용량,0.1798,1989.5731,115951.63,1.72,증가,12
11,waterCool,수도 사용량,0.1483,59746.6214,6842795.37,0.87,증가,12
11,hwaterCool,수도 사용량,-0.5058,-304.1091,9210.09,-3.3,감소,11
12,elect,전기 사용량,0.1542,283298.1983,17354732.01,1.63,증가,13
12,helect,전기 사용량,0.1607,1878.1324,120775.7,1.56,증가,12
12,waterCool,수도 사용량,0.1138,52541.6418,7057418.96,0.74,증가,12
12,hwaterCool,수도 사용량,-0.5292,-359.6364,9644.18,-3.73,감소,11
