month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,heat,난방 사용량,-0.1548,-477162.4643,72536713.92,-0.66,감소,15
01,hheat,난방 사용량,-0.2372,-260.4266,30354.35,-0.86,감소,12
01,waterHot,급탕 사용량,0.3898,314348.1786,15468359.42,2.03,증가,15
01,hwaterHot,급탕 사용량,-0.4891,-47.2483,4088.78,-1.16,감소,12
01,elect,전기 사용량,0.0351,29951.9607,29459798.28,0.1,증가,15
01,helect,전기 사용량,-0.5064,-833.9476,185833.13,-0.45,감소,12
01,waterCool,수도 사용량,0.2014,17873.6478,577847.42,3.09,증가,8
02,heat,난방 사용량,-0.196,-427723.1429,53133314.67,-0.8,감소,15
02,hheat,난방 사용량,-0.2555,-224.7727,24035.33,-0.94,감소,12
02,waterHot,급탕 사용량,0.5538,590548.1071,17161523.92,3.44,증가,15
02,hwaterHot,급탕 사용량,-0.0137,-1.8497,5147.76,-0.04,감소,12
02,elect,전기 사용량,-0.0133,-11205.2357,28946867.18,-0.04,감소,15
02,helect,전기 사용량,-0.7475,-1340.1469,187326.64,-0.72,감소,12
02,waterCool,수도 사용량,-0.4402,-190591.1735,2415306.63,-7.89,감소,10
03,heat,난방 사용량,-0.5892,-1133383.5165,42577017.14,-2.66,감소,14
03,hheat,난방 사용량,-0.1527,-134.7364,13710.95,-0.98,감소,11
03,waterHot,급탕 사용량,0.2416,185292.7033,17167638.86,1.08,증가,14
03,hwaterHot,급탕 사용량,-0.3032,-35.4636,4056.68,-0.87,감소,11
03,elect,전기 사용량,-0.2988,-264515.7538,24270819.83,-1.09,감소,14
03,helect,전기 사용량,-0.6881,-1632.7091,165176.27,-0.99,감소,11
03,waterCool,수도 사용량,-0.4902,-181112.5595,3194091.79,-5.67,감소,10
04,heat,난방 사용량,-0.5681,-550629.956,18229684.0,-3.02,감소,14
04,hheat,난방 사용량,-0.2137,-109.3091,6079.09,-1.8,감소,11
04,waterHot,급탕 사용량,0.1331,70608.8571,14444816.0,0.49,증가,14
