month,energy_type,energy_name,correlation,slope,initial_value,annual_growth_rate,trend,data_points
01,elect,전기 사용량,-0.6115,-507086.8321,28080714.29,-1.81,감소,15
01,helect,전기 사용량,-0.0824,-421.458,120500.77,-0.35,감소,12
01,waterCool,수도 사용량,0.9232,173060.9643,4803381.25,3.6,증가,15
01,hwaterCool,수도 사용량,-0.7296,-78.6503,7138.08,-1.1,감소,12
02,elect,전기 사용량,-0.8891,-1168188.4308,30699779.66,-3.81,감소,14
02,helect,전기 사용량,-0.2874,-1604.4909,123129.27,-1.3,감소,11
02,waterCool,수도 사용량,0.9551,240275.3626,4506495.14,5.33,증가,14
02,hwaterCool,수도 사용량,0.0937,9.0455,6576.95,0.14,증가,11
03,elect,전기 사용량,-0.5926,-412714.4879,21590355.03,-1.91,감소,14
03,helect,전기 사용량,0.1626,764.5727,102241.23,0.75,증가,11
03,waterCool,수도 사용량,0.9637,172786.3956,4630827.71,3.73,증가,14
03,hwaterCool,수도 사용량,-0.5823,-45.1364,6451.68,-0.7,감소,11
04,elect,전기 사용량,-0.8212,-712223.9582,23784504.8,-2.99,감소,14
04,helect,전기 사용량,-0.2088,-949.2455,110042.41,-0.86,감소,11
04,waterCool,수도 사용량,0.972,184700.5714,4973540.57,3.71,증가,14
04,hwaterCool,수도 사용량,-0.5429,-57.9545,7007.68,-0.83,감소,11
05,elect,전기 사용량,-0.636,-400972.8286,20930995.6,-1.92,감소,14
05,helect,전기 사용량,-0.0833,-585.4182,107931.73,-0.54,감소,11
05,waterCool,수도 사용량,0.9467,162987.033,5074382.86,3.21,증가,14
05,hwaterCool,수도 사용량,-0.7021,-61.7364,6919.14,-0.89,감소,11
06,elect,전기 사용량,-0.6198,-500876.9275,22527076.74,-2.22,감소,14
06,helect,전기 사용량,-0.2954,-1129.6545,112643.55,-1.0,감소,11
06,waterCool,수도 사용량,0.952,172566.5495,5272057.43,3.27,증가,14
06,hwaterCool,수도 사용량,-0.697,-72.7545,7290.41,-1.0,감소,11
07,elect,전기 사용량,0.1425,148806.7231,21795339.8,0.68,증가,14
07,helect,전기 사용량,0.0659,728.1636,133267.36,0.55,증가,11
07,waterCool,수도 사용량,0.8689,131732.4615,5422962.57,2.43,증가,14
07,hwaterCool,수도 사용량,-0.7747,-87.9455,7331.91,-1.2,감소,11
08,elect,전기 사용량,-0.3128,-550808.011,34211938.86,-1.61,감소,14
08,helect,전기 사용량,0.2362,1846.4818,142186.95,1.3,증가,11
08,waterCool,수도 사용량,0.975,167475.3626,5529949.43,3.03,증가,14
08,hwaterCool,수도 사용량,-0.7362,-77.2,7585.73,-1.02,감소,11
09,elect,전기 사용량,-0.4616,-643251.275,24477602.92,-2.63,감소,15
09,helect,전기 사용량,-0.1929,-855.4182,114266.73,-0.75,감소,11
09,waterCool,수도 사용량,0.9341,168552.022,5463872.57,3.08,증가,14
09,hwaterCool,수도 사용량,-0.6413,-73.5091,7466.55,-0.98,감소,11
10,elect,전기 사용량,-0.682,-441719.3964,21276336.31,-2.08,감소,15
10,helect,전기 사용량,-0.2845,-1262.8727,108193.45,-1.17,감소,11
10,waterCool,수도 사용량,0.9632,174310.8214,5053418.25,3.45,증가,15
10,hwaterCool,수도 사용량,-0.7439,-68.9818,7201.36,-0.96,감소,11
11,elect,전기 사용량,-0.7601,-590007.2536,23793299.11,-2.48,감소,15
11,helect,전기 사용량,-0.3721,-1739.1182,114840.95,-1.51,감소,11
11,waterCool,수도 사용량,0.963,195402.2857,4919722.0,3.97,증가,15
11,hwaterCool,수도 사용량,-0.6336,-60.6364,7214.09,-0.84,감소,11
12,elect,전기 사용량,-0.4102,-284563.5179,24220610.76,-1.17,감소,15
12,helect,전기 사용량,-0.1558,-815.3818,118183.73,-0.69,감소,11
12,waterCool,수도 사용량,0.9706,185470.4643,4786371.42,3.87,증가,15
12,hwaterCool,수도 사용량,-0.6349,-67.6,7006.73,-0.96,감소,11
